LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/10/2010;""15"";""12"";""19"";""11"";""76"";""8"";""4"";""8"";""0"";""1015"";""0"";""0"";""pioggia """
"Torino;2/10/2010;""16"";""14"";""18"";""13"";""85"";""3"";""6"";""51"";""0"";""1019"";""0"";""0"";""pioggia """
"Torino;3/10/2010;""15"";""14"";""16"";""13"";""86"";""2"";""3"";""8"";""0"";""1018"";""0"";""0"";""pioggia """
"Torino;4/10/2010;""15"";""15"";""16"";""14"";""91"";""2"";""6"";""12"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Torino;5/10/2010;""17"";""13"";""21"";""14"";""83"";""9"";""4"";""8"";""0"";""1008"";""0"";""0"";""pioggia """
"Torino;6/10/2010;""17"";""11"";""22"";""13"";""79"";""10"";""3"";""6"";""0"";""1015"";""0"";""0"";"""""
"Torino;7/10/2010;""18"";""13"";""24"";""13"";""76"";""9"";""3"";""6"";""0"";""1020"";""0"";""0"";"""""
"Torino;8/10/2010;""15"";""14"";""17"";""13"";""83"";""6"";""4"";""7"";""0"";""1022"";""0"";""0"";""pioggia """
"Torino;9/10/2010;""14"";""13"";""15"";""9"";""72"";""8"";""4"";""37"";""0"";""1021"";""0"";""0"";"""""
"Torino;10/10/2010;""14"";""12"";""16"";""9"";""74"";""7"";""3"";""6"";""0"";""1013"";""0"";""0"";"""""
"Torino;11/10/2010;""13"";""11"";""15"";""7"";""66"";""9"";""3"";""6"";""0"";""1013"";""0"";""0"";"""""
"Torino;12/10/2010;""12"";""7"";""19"";""6"";""64"";""12"";""3"";""6"";""0"";""1012"";""0"";""0"";"""""
"Torino;13/10/2010;""12"";""7"";""16"";""7"";""72"";""8"";""3"";""6"";""0"";""1011"";""0"";""0"";"""""
"Torino;14/10/2010;""13"";""7"";""17"";""8"";""75"";""5"";""4"";""7"";""0"";""1009"";""0"";""0"";"""""
"Torino;15/10/2010;""13"";""7"";""18"";""9"";""78"";""3"";""3"";""8"";""0"";""1008"";""0"";""0"";"""""
"Torino;16/10/2010;""12"";""10"";""14"";""9"";""82"";""3"";""5"";""8"";""0"";""0"";""0"";""0"";""pioggia """
"Torino;17/10/2010;""9"";""6"";""12"";""7"";""82"";""6"";""3"";""6"";""0"";""1009"";""0"";""0"";""pioggia nebbia """
"Torino;18/10/2010;""11"";""7"";""17"";""6"";""70"";""9"";""3"";""7"";""0"";""1013"";""0"";""0"";"""""
"Torino;19/10/2010;""11"";""5"";""18"";""3"";""63"";""16"";""3"";""7"";""0"";""1008"";""0"";""0"";"""""
"Torino;20/10/2010;""10"";""4"";""18"";""4"";""62"";""19"";""3"";""7"";""0"";""1007"";""0"";""0"";"""""
"Torino;21/10/2010;""8"";""3"";""16"";""1"";""49"";""19"";""4"";""8"";""0"";""1021"";""0"";""0"";"""""
"Torino;22/10/2010;""9"";""3"";""15"";""2"";""60"";""17"";""2"";""6"";""0"";""1025"";""0"";""0"";"""""
"Torino;23/10/2010;""8"";""4"";""13"";""3"";""73"";""5"";""3"";""6"";""0"";""1020"";""0"";""0"";"""""
"Torino;24/10/2010;""9"";""4"";""13"";""4"";""75"";""5"";""3"";""5"";""0"";""1011"";""0"";""0"";""pioggia """
"Torino;25/10/2010;""9"";""7"";""10"";""7"";""88"";""5"";""5"";""27"";""0"";""1004"";""0"";""0"";""pioggia """
"Torino;26/10/2010;""10"";""6"";""15"";""4"";""70"";""11"";""4"";""7"";""0"";""1018"";""0"";""0"";"""""
"Torino;27/10/2010;""8"";""4"";""10"";""4"";""79"";""7"";""2"";""5"";""0"";""1024"";""0"";""0"";"""""
"Torino;28/10/2010;""7"";""2"";""14"";""2"";""66"";""8"";""3"";""7"";""0"";""1024"";""0"";""0"";"""""
"Torino;29/10/2010;""9"";""6"";""17"";""3"";""65"";""9"";""3"";""5"";""0"";""1021"";""0"";""0"";"""""
"Torino;30/10/2010;""9"";""6"";""13"";""5"";""79"";""5"";""4"";""10"";""0"";""1017"";""0"";""0"";""pioggia """
"Torino;31/10/2010;""9"";""8"";""10"";""7"";""87"";""4"";""7"";""15"";""0"";""1009"";""0"";""0"";""pioggia """
