LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/12/2011;""5"";""1"";""10"";""4"";""83"";""4"";""5"";""11"";""0"";""1027"";""0"";""0"";"""""
"Torino;2/12/2011;""7"";""5"";""11"";""5"";""88"";""4"";""4"";""7"";""0"";""1021"";""0"";""0"";"""""
"Torino;3/12/2011;""6"";""2"";""11"";""4"";""87"";""4"";""5"";""11"";""0"";""1017"";""0"";""0"";"""""
"Torino;4/12/2011;""7"";""1"";""13"";""4"";""85"";""5"";""6"";""13"";""0"";""1012"";""0"";""0"";"""""
"Torino;5/12/2011;""8"";""5"";""13"";""6"";""78"";""3"";""8"";""20"";""0"";""1005"";""0"";""0"";"""""
"Torino;6/12/2011;""6"";""1"";""12"";""3"";""60"";""7"";""10"";""17"";""0"";""1011"";""0"";""0"";"""""
"Torino;7/12/2011;""5"";""0"";""10"";""3"";""79"";""7"";""9"";""17"";""0"";""1013"";""0"";""0"";"""""
"Torino;8/12/2011;""8"";""2"";""16"";""2"";""61"";""9"";""10"";""19"";""0"";""1019"";""0"";""0"";""nebbia """
"Torino;9/12/2011;""5"";""1"";""10"";""2"";""71"";""8"";""7"";""13"";""0"";""1020"";""0"";""0"";"""""
"Torino;10/12/2011;""4"";""0"";""11"";""1"";""78"";""8"";""7"";""11"";""0"";""1016"";""0"";""0"";"""""
"Torino;11/12/2011;""5"";""-1"";""12"";""2"";""76"";""10"";""5"";""9"";""0"";""1018"";""0"";""0"";"""""
"Torino;12/12/2011;""5"";""1"";""10"";""3"";""85"";""6"";""6"";""15"";""0"";""1014"";""0"";""0"";"""""
"Torino;13/12/2011;""4"";""-1"";""10"";""1"";""61"";""7"";""7"";""11"";""0"";""1016"";""0"";""0"";"""""
"Torino;14/12/2011;""4"";""0"";""8"";""2"";""76"";""8"";""9"";""15"";""0"";""1015"";""0"";""0"";"""""
Torino;15/12/2011;;;;;;;;;;;;;
"Torino;16/12/2011;""4"";""1"";""9"";""1"";""75"";""10"";""11"";""52"";""70"";""1001"";""0"";""0"";""pioggia """
"Torino;17/12/2011;""8"";""1"";""12"";""0"";""29"";""10"";""22"";""44"";""69"";""1001"";""0"";""0"";"""""
"Torino;18/12/2011;""2"";""-1"";""8"";""0"";""48"";""10"";""9"";""17"";""0"";""1009"";""0"";""0"";"""""
"Torino;19/12/2011;""1"";""-4"";""6"";""0"";""44"";""10"";""7"";""13"";""0"";""1014"";""0"";""0"";"""""
"Torino;20/12/2011;""-1"";""-4"";""4"";""0"";""53"";""10"";""6"";""13"";""0"";""1014"";""0"";""0"";"""""
"Torino;21/12/2011;""2"";""-5"";""11"";""0"";""56"";""10"";""7"";""15"";""0"";""1014"";""0"";""0"";"""""
"Torino;22/12/2011;""1"";""-3"";""7"";""0"";""65"";""7"";""5"";""11"";""0"";""1019"";""0"";""0"";"""""
"Torino;23/12/2011;""2"";""-3"";""8"";""0"";""71"";""6"";""6"";""13"";""0"";""1022"";""0"";""0"";"""""
"Torino;24/12/2011;""4"";""-2"";""14"";""0"";""55"";""4"";""12"";""41"";""59"";""1018"";""0"";""0"";"""""
"Torino;25/12/2011;""2"";""-3"";""12"";""0"";""44"";""0"";""7"";""17"";""0"";""1029"";""0"";""0"";"""""
"Torino;26/12/2011;""3"";""-3"";""11"";""0"";""53"";""0"";""7"";""15"";""0"";""1035"";""0"";""0"";"""""
"Torino;27/12/2011;""4"";""-2"";""11"";""0"";""64"";""8"";""5"";""11"";""0"";""1035"";""0"";""0"";"""""
"Torino;28/12/2011;""4"";""-1"";""11"";""0"";""67"";""7"";""7"";""13"";""0"";""1028"";""0"";""0"";"""""
"Torino;29/12/2011;""2"";""-2"";""7"";""1"";""78"";""6"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Torino;30/12/2011;""3"";""-2"";""8"";""0"";""61"";""9"";""10"";""26"";""0"";""1014"";""0"";""0"";"""""
"Torino;31/12/2011;""3"";""-2"";""10"";""0"";""54"";""0"";""9"";""19"";""0"";""1016"";""0"";""0"";"""""
