LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/2/2012;""-5"";""-8"";""-2"";""0"";""97"";""2"";""6"";""11"";""0"";""1015"";""0"";""0"";""neve nebbia """
"Torino;2/2/2012;""-3"";""-5"";""-1"";""0"";""95"";""3"";""6"";""13"";""0"";""1017"";""0"";""0"";""neve """
"Torino;3/2/2012;""-5"";""-8"";""-3"";""0"";""80"";""7"";""7"";""13"";""0"";""1018"";""0"";""0"";""nebbia """
"Torino;4/2/2012;""-7"";""-11"";""-2"";""0"";""79"";""5"";""6"";""15"";""0"";""1019"";""0"";""0"";"""""
"Torino;5/2/2012;""-8"";""-12"";""-3"";""0"";""80"";""5"";""5"";""11"";""0"";""1023"";""0"";""0"";"""""
"Torino;6/2/2012;""-8"";""-14"";""-3"";""0"";""76"";""6"";""7"";""11"";""0"";""1018"";""0"";""0"";"""""
"Torino;7/2/2012;""-7"";""-14"";""-1"";""0"";""78"";""5"";""9"";""20"";""0"";""1013"";""0"";""0"";"""""
"Torino;8/2/2012;""-1"";""-4"";""2"";""0"";""81"";""7"";""8"";""20"";""0"";""1023"";""0"";""0"";""neve """
"Torino;9/2/2012;""-3"";""-7"";""6"";""0"";""77"";""7"";""6"";""11"";""0"";""1020"";""0"";""0"";"""""
"Torino;10/2/2012;""-3"";""-8"";""0"";""0"";""71"";""6"";""9"";""17"";""0"";""1021"";""0"";""0"";""neve """
"Torino;11/2/2012;""-4"";""-5"";""-3"";""0"";""78"";""5"";""11"";""19"";""0"";""1018"";""0"";""0"";""neve """
"Torino;12/2/2012;""-4"";""-8"";""0"";""0"";""74"";""5"";""9"";""19"";""0"";""1019"";""0"";""0"";""neve """
"Torino;13/2/2012;""-4"";""-9"";""1"";""0"";""70"";""7"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Torino;14/2/2012;""-2"";""-9"";""6"";""0"";""71"";""5"";""6"";""13"";""0"";""1013"";""0"";""0"";"""""
"Torino;15/2/2012;""1"";""-5"";""12"";""0"";""61"";""6"";""8"";""26"";""46"";""1008"";""0"";""0"";"""""
"Torino;16/2/2012;""3"";""-1"";""12"";""0"";""59"";""7"";""9"";""17"";""0"";""1012"";""0"";""0"";"""""
"Torino;17/2/2012;""3"";""-1"";""8"";""0"";""66"";""5"";""9"";""15"";""0"";""1020"";""0"";""0"";"""""
"Torino;18/2/2012;""2"";""-2"";""6"";""1"";""78"";""4"";""5"";""11"";""0"";""1019"";""0"";""0"";"""""
"Torino;19/2/2012;""3"";""-1"";""9"";""2"";""87"";""3"";""5"";""11"";""0"";""1017"";""0"";""0"";"""""
"Torino;20/2/2012;""3"";""1"";""5"";""2"";""90"";""3"";""7"";""19"";""0"";""1024"";""0"";""0"";""pioggia nebbia """
"Torino;21/2/2012;""4"";""2"";""8"";""1"";""74"";""6"";""8"";""17"";""0"";""1029"";""0"";""0"";"""""
"Torino;22/2/2012;""5"";""-1"";""11"";""0"";""65"";""9"";""9"";""17"";""0"";""1027"";""0"";""0"";"""""
"Torino;23/2/2012;""4"";""-1"";""13"";""0"";""61"";""10"";""9"";""17"";""0"";""1023"";""0"";""0"";"""""
"Torino;24/2/2012;""10"";""1"";""19"";""2"";""54"";""0"";""7"";""13"";""0"";""1022"";""0"";""0"";"""""
"Torino;25/2/2012;""11"";""4"";""20"";""3"";""58"";""0"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Torino;26/2/2012;""9"";""4"";""19"";""3"";""60"";""10"";""12"";""30"";""0"";""1012"";""0"";""0"";"""""
"Torino;27/2/2012;""9"";""2"";""15"";""0"";""37"";""0"";""14"";""100"";""0"";""1019"";""0"";""0"";"""""
"Torino;28/2/2012;""7"";""1"";""12"";""1"";""60"";""8"";""8"";""13"";""0"";""1021"";""0"";""0"";"""""
"Torino;29/2/2012;""12"";""2"";""22"";""3"";""54"";""8"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
