LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/5/2012;""12"";""10"";""15"";""11"";""94"";""7"";""8"";""22"";""0"";""1016"";""0"";""0"";""pioggia """
"Torino;2/5/2012;""13"";""10"";""16"";""10"";""80"";""9"";""9"";""22"";""0"";""1016"";""0"";""0"";""pioggia """
"Torino;3/5/2012;""16"";""8"";""23"";""8"";""64"";""10"";""6"";""11"";""0"";""1010"";""0"";""0"";"""""
"Torino;4/5/2012;""15"";""10"";""21"";""11"";""76"";""10"";""8"";""19"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Torino;5/5/2012;""14"";""10"";""19"";""10"";""78"";""9"";""12"";""24"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Torino;6/5/2012;""15"";""12"";""19"";""10"";""72"";""10"";""8"";""17"";""0"";""1009"";""0"";""0"";"""""
"Torino;7/5/2012;""16"";""9"";""22"";""9"";""64"";""10"";""9"";""83"";""0"";""1013"";""0"";""0"";"""""
"Torino;8/5/2012;""16"";""12"";""19"";""11"";""77"";""10"";""10"";""17"";""0"";""1018"";""0"";""0"";""pioggia """
"Torino;9/5/2012;""18"";""13"";""23"";""12"";""69"";""10"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Torino;10/5/2012;""20"";""13"";""26"";""13"";""66"";""0"";""6"";""13"";""0"";""1023"";""0"";""0"";"""""
"Torino;11/5/2012;""22"";""15"";""28"";""15"";""66"";""0"";""7"";""13"";""0"";""1024"";""0"";""0"";"""""
"Torino;12/5/2012;""24"";""17"";""29"";""16"";""62"";""10"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Torino;13/5/2012;""16"";""12"";""21"";""10"";""72"";""9"";""15"";""33"";""46"";""1016"";""0"";""0"";""pioggia """
"Torino;14/5/2012;""15"";""11"";""20"";""6"";""58"";""10"";""8"";""15"";""0"";""1015"";""0"";""0"";"""""
"Torino;15/5/2012;""16"";""9"";""22"";""6"";""50"";""10"";""9"";""39"";""63"";""1009"";""0"";""0"";"""""
"Torino;16/5/2012;""16"";""12"";""19"";""0"";""18"";""10"";""21"";""52"";""76"";""1012"";""0"";""0"";"""""
"Torino;17/5/2012;""11"";""6"";""18"";""1"";""42"";""0"";""10"";""20"";""0"";""1018"";""0"";""0"";"""""
"Torino;18/5/2012;""15"";""12"";""19"";""4"";""49"";""10"";""9"";""19"";""0"";""1016"";""0"";""0"";""pioggia """
"Torino;19/5/2012;""14"";""10"";""18"";""8"";""68"";""10"";""6"";""11"";""0"";""1015"";""0"";""0"";""pioggia """
"Torino;20/5/2012;""13"";""11"";""16"";""10"";""82"";""7"";""6"";""15"";""0"";""1013"";""0"";""0"";""pioggia """
"Torino;21/5/2012;""11"";""10"";""18"";""9"";""88"";""6"";""15"";""26"";""0"";""1003"";""0"";""0"";""pioggia """
"Torino;22/5/2012;""15"";""11"";""20"";""9"";""70"";""9"";""9"";""20"";""0"";""1007"";""0"";""0"";""pioggia """
"Torino;23/5/2012;""21"";""13"";""28"";""11"";""54"";""10"";""9"";""17"";""0"";""1013"";""0"";""0"";"""""
"Torino;24/5/2012;""23"";""15"";""30"";""12"";""52"";""10"";""8"";""15"";""0"";""1017"";""0"";""0"";"""""
"Torino;25/5/2012;""21"";""15"";""25"";""14"";""65"";""9"";""13"";""35"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Torino;26/5/2012;""19"";""15"";""23"";""13"";""68"";""10"";""11"";""28"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Torino;27/5/2012;""19"";""16"";""22"";""12"";""66"";""9"";""11"";""20"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Torino;28/5/2012;""20"";""14"";""24"";""13"";""66"";""9"";""8"";""13"";""0"";""1014"";""0"";""0"";""nebbia """
"Torino;29/5/2012;""21"";""14"";""27"";""11"";""56"";""10"";""10"";""20"";""0"";""1011"";""0"";""0"";"""""
"Torino;30/5/2012;""22"";""15"";""27"";""13"";""59"";""10"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Torino;31/5/2012;""22"";""18"";""26"";""15"";""64"";""10"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
