LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/11/2012;""9"";""3"";""15"";""5"";""78"";""9"";""7"";""13"";""0"";""995"";""0"";""0"";""pioggia nebbia """
"Torino;2/11/2012;""10"";""4"";""16"";""5"";""76"";""10"";""7"";""13"";""0"";""1006"";""0"";""0"";"""""
"Torino;3/11/2012;""10"";""7"";""14"";""7"";""81"";""8"";""7"";""17"";""0"";""1013"";""0"";""0"";"""""
"Torino;4/11/2012;""11"";""10"";""12"";""9"";""90"";""4"";""4"";""9"";""0"";""1009"";""0"";""0"";""pioggia """
"Torino;5/11/2012;""12"";""6"";""20"";""8"";""63"";""1"";""13"";""30"";""0"";""1001"";""0"";""0"";""pioggia nebbia """
"Torino;6/11/2012;""9"";""4"";""16"";""2"";""51"";""10"";""9"";""17"";""0"";""1013"";""0"";""0"";"""""
"Torino;7/11/2012;""7"";""1"";""14"";""1"";""50"";""0"";""7"";""13"";""0"";""1025"";""0"";""0"";"""""
"Torino;8/11/2012;""7"";""1"";""15"";""1"";""59"";""10"";""5"";""9"";""0"";""1025"";""0"";""0"";"""""
"Torino;9/11/2012;""8"";""2"";""15"";""4"";""69"";""7"";""4"";""7"";""0"";""1019"";""0"";""0"";"""""
"Torino;10/11/2012;""9"";""8"";""9"";""8"";""94"";""4"";""7"";""13"";""0"";""1016"";""0"";""0"";""pioggia """
"Torino;11/11/2012;""9"";""7"";""13"";""7"";""88"";""7"";""5"";""7"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Torino;12/11/2012;""9"";""4"";""16"";""6"";""80"";""3"";""5"";""13"";""0"";""1021"";""0"";""0"";""nebbia """
"Torino;13/11/2012;""10"";""5"";""17"";""5"";""71"";""10"";""6"";""15"";""0"";""1027"";""0"";""0"";"""""
"Torino;14/11/2012;""10"";""7"";""15"";""5"";""74"";""10"";""5"";""15"";""0"";""1027"";""0"";""0"";"""""
"Torino;15/11/2012;""9"";""3"";""13"";""5"";""76"";""8"";""6"";""11"";""0"";""1023"";""0"";""0"";"""""
"Torino;16/11/2012;""8"";""3"";""11"";""4"";""73"";""5"";""5"";""11"";""0"";""1022"";""0"";""0"";"""""
"Torino;17/11/2012;""4"";""1"";""8"";""2"";""75"";""5"";""4"";""7"";""0"";""1019"";""0"";""0"";"""""
"Torino;18/11/2012;""5"";""1"";""10"";""1"";""72"";""5"";""5"";""9"";""0"";""1016"";""0"";""0"";"""""
"Torino;19/11/2012;""6"";""0"";""13"";""1"";""69"";""8"";""4"";""9"";""0"";""1016"";""0"";""0"";""nebbia """
"Torino;20/11/2012;""8"";""3"";""16"";""2"";""63"";""10"";""7"";""13"";""0"";""1017"";""0"";""0"";"""""
"Torino;21/11/2012;""8"";""3"";""13"";""3"";""73"";""6"";""8"";""15"";""0"";""1020"";""0"";""0"";"""""
"Torino;22/11/2012;""9"";""5"";""13"";""3"";""70"";""6"";""5"";""9"";""0"";""1022"";""0"";""0"";"""""
"Torino;23/11/2012;""9"";""4"";""14"";""4"";""73"";""4"";""5"";""11"";""0"";""1023"";""0"";""0"";"""""
"Torino;24/11/2012;""8"";""4"";""12"";""5"";""81"";""4"";""4"";""9"";""0"";""1023"";""0"";""0"";""nebbia """
"Torino;25/11/2012;""7"";""3"";""12"";""4"";""78"";""8"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Torino;26/11/2012;""8"";""6"";""10"";""6"";""85"";""3"";""5"";""9"";""0"";""1017"";""0"";""0"";"""""
"Torino;27/11/2012;""9"";""8"";""9"";""7"";""89"";""5"";""12"";""15"";""0"";""1007"";""0"";""0"";""pioggia """
"Torino;28/11/2012;""8"";""8"";""9"";""7"";""89"";""5"";""15"";""30"";""0"";""993"";""0"";""0"";""pioggia """
"Torino;29/11/2012;""8"";""6"";""9"";""6"";""87"";""8"";""8"";""19"";""0"";""991"";""0"";""0"";""pioggia """
"Torino;30/11/2012;""6"";""5"";""9"";""2"";""71"";""10"";""6"";""11"";""0"";""1000"";""0"";""0"";""pioggia """
