LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/8/2013;""25"";""18"";""30"";""17"";""64"";""10"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Torino;2/8/2013;""27"";""20"";""31"";""19"";""65"";""10"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Torino;3/8/2013;""26"";""22"";""32"";""19"";""67"";""10"";""9"";""33"";""0"";""1018"";""0"";""0"";"""""
"Torino;4/8/2013;""27"";""20"";""33"";""19"";""63"";""10"";""6"";""9"";""0"";""1018"";""0"";""0"";"""""
"Torino;5/8/2013;""27"";""22"";""32"";""20"";""65"";""10"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Torino;6/8/2013;""27"";""22"";""32"";""20"";""67"";""10"";""9"";""17"";""0"";""1015"";""0"";""0"";""pioggia """
"Torino;7/8/2013;""24"";""20"";""27"";""18"";""72"";""10"";""15"";""32"";""46"";""1012"";""0"";""0"";""pioggia temporale """
"Torino;8/8/2013;""21"";""17"";""26"";""17"";""78"";""10"";""12"";""32"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Torino;9/8/2013;""23"";""16"";""29"";""15"";""63"";""10"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Torino;10/8/2013;""23"";""16"";""29"";""11"";""48"";""0"";""13"";""100"";""0"";""1015"";""0"";""0"";"""""
"Torino;11/8/2013;""23"";""17"";""29"";""14"";""57"";""0"";""8"";""15"";""0"";""1017"";""0"";""0"";"""""
"Torino;12/8/2013;""23"";""17"";""29"";""16"";""65"";""10"";""8"";""13"";""0"";""1016"";""0"";""0"";"""""
"Torino;13/8/2013;""24"";""18"";""30"";""17"";""66"";""10"";""8"";""13"";""0"";""1013"";""0"";""0"";"""""
"Torino;14/8/2013;""21"";""19"";""23"";""17"";""76"";""10"";""12"";""26"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Torino;15/8/2013;""22"";""17"";""27"";""14"";""63"";""10"";""8"";""17"";""0"";""1020"";""0"";""0"";""pioggia """
"Torino;16/8/2013;""22"";""16"";""28"";""14"";""62"";""10"";""7"";""13"";""0"";""1020"";""0"";""0"";"""""
"Torino;17/8/2013;""23"";""16"";""29"";""16"";""65"";""10"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Torino;18/8/2013;""24"";""18"";""30"";""17"";""66"";""10"";""8"";""19"";""0"";""1016"";""0"";""0"";""pioggia """
"Torino;19/8/2013;""23"";""20"";""27"";""17"";""70"";""10"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Torino;20/8/2013;""23"";""15"";""28"";""12"";""53"";""10"";""10"";""20"";""0"";""1018"";""0"";""0"";"""""
"Torino;21/8/2013;""22"";""17"";""28"";""11"";""53"";""10"";""9"";""17"";""0"";""1020"";""0"";""0"";"""""
"Torino;22/8/2013;""22"";""14"";""28"";""13"";""58"";""10"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Torino;23/8/2013;""23"";""17"";""28"";""15"";""63"";""10"";""8"";""17"";""0"";""1015"";""0"";""0"";"""""
"Torino;24/8/2013;""21"";""18"";""27"";""16"";""73"";""10"";""10"";""28"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Torino;25/8/2013;""20"";""15"";""25"";""14"";""71"";""9"";""9"";""17"";""32"";""1007"";""0"";""0"";""pioggia temporale """
"Torino;26/8/2013;""18"";""14"";""23"";""14"";""79"";""10"";""10"";""26"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Torino;27/8/2013;""18"";""12"";""22"";""13"";""74"";""12"";""8"";""25"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Torino;28/8/2013;""19"";""13"";""27"";""12"";""63"";""28"";""8"";""18"";""0"";""1012"";""0"";""0"";"""""
"Torino;29/8/2013;""20"";""17"";""24"";""14"";""68"";""10"";""8"";""15"";""35"";""1018"";""0"";""0"";"""""
"Torino;30/8/2013;""21"";""18"";""25"";""15"";""72"";""9"";""9"";""15"";""0"";""1019"";""0"";""0"";""pioggia temporale """
"Torino;31/8/2013;""21"";""16"";""27"";""15"";""70"";""10"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
