LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/1/2014;""1"";""-3"";""6"";""0"";""73"";""11"";""4"";""11"";""0"";""1019"";""0"";""0"";"""""
"Torino;2/1/2014;""1"";""-1"";""4"";""1"";""84"";""9"";""5"";""9"";""0"";""1017"";""0"";""0"";"""""
"Torino;3/1/2014;""2"";""-1"";""6"";""1"";""85"";""6"";""4"";""9"";""0"";""1020"";""0"";""0"";"""""
"Torino;4/1/2014;""3"";""2"";""5"";""2"";""93"";""7"";""7"";""15"";""0"";""1014"";""0"";""0"";""pioggia nebbia """
"Torino;5/1/2014;""5"";""3"";""10"";""3"";""85"";""9"";""8"";""19"";""0"";""1006"";""0"";""0"";""pioggia """
"Torino;6/1/2014;""5"";""-1"";""11"";""1"";""68"";""21"";""6"";""11"";""0"";""1019"";""0"";""0"";"""""
"Torino;7/1/2014;""4"";""0"";""10"";""0"";""76"";""15"";""4"";""7"";""0"";""1024"";""0"";""0"";"""""
"Torino;8/1/2014;""4"";""0"";""10"";""2"";""79"";""15"";""5"";""9"";""0"";""1026"";""0"";""0"";"""""
"Torino;9/1/2014;""4"";""0"";""9"";""2"";""80"";""9"";""5"";""9"";""0"";""1022"";""0"";""0"";"""""
"Torino;10/1/2014;""7"";""4"";""13"";""4"";""79"";""10"";""5"";""11"";""0"";""1019"";""0"";""0"";"""""
"Torino;11/1/2014;""7"";""6"";""8"";""5"";""87"";""5"";""4"";""9"";""0"";""1021"";""0"";""0"";"""""
"Torino;12/1/2014;""6"";""0"";""12"";""4"";""84"";""6"";""5"";""7"";""0"";""1022"";""0"";""0"";"""""
"Torino;13/1/2014;""3"";""3"";""4"";""3"";""98"";""1"";""5"";""9"";""0"";""1019"";""0"";""0"";""pioggia nebbia """
"Torino;14/1/2014;""4"";""2"";""5"";""2"";""89"";""9"";""7"";""15"";""0"";""1007"";""0"";""0"";""pioggia """
"Torino;15/1/2014;""3"";""-1"";""9"";""1"";""85"";""7"";""5"";""7"";""0"";""1011"";""0"";""0"";""nebbia """
"Torino;16/1/2014;""3"";""1"";""5"";""2"";""87"";""7"";""6"";""9"";""0"";""1014"";""0"";""0"";""pioggia """
"Torino;17/1/2014;""3"";""1"";""5"";""2"";""93"";""6"";""4"";""7"";""0"";""1010"";""0"";""0"";""pioggia """
"Torino;18/1/2014;""4"";""3"";""5"";""3"";""91"";""9"";""8"";""17"";""0"";""1009"";""0"";""0"";""pioggia """
"Torino;19/1/2014;""5"";""4"";""6"";""4"";""94"";""6"";""9"";""19"";""0"";""1003"";""0"";""0"";""pioggia """
"Torino;20/1/2014;""6"";""3"";""10"";""5"";""91"";""11"";""9"";""100"";""0"";""1001"";""0"";""0"";"""""
"Torino;21/1/2014;""8"";""3"";""15"";""3"";""75"";""12"";""6"";""13"";""0"";""1004"";""0"";""0"";"""""
"Torino;22/1/2014;""6"";""1"";""11"";""0"";""67"";""18"";""5"";""9"";""0"";""1011"";""0"";""0"";"""""
"Torino;23/1/2014;""6"";""2"";""10"";""2"";""75"";""11"";""5"";""9"";""0"";""1014"";""0"";""0"";"""""
"Torino;24/1/2014;""4"";""-1"";""11"";""2"";""55"";""22"";""10"";""22"";""0"";""1008"";""0"";""0"";"""""
"Torino;25/1/2014;""4"";""-3"";""13"";""0"";""49"";""28"";""6"";""17"";""0"";""1010"";""0"";""0"";"""""
"Torino;26/1/2014;""6"";""0"";""11"";""0"";""55"";""14"";""8"";""20"";""0"";""1008"";""0"";""0"";"""""
"Torino;27/1/2014;""4"";""1"";""8"";""1"";""75"";""8"";""7"";""17"";""0"";""1001"";""0"";""0"";"""""
"Torino;28/1/2014;""2"";""-2"";""7"";""-2"";""78"";""6"";""6"";""13"";""0"";""1000"";""0"";""0"";"""""
"Torino;29/1/2014;""0"";""-2"";""2"";""0"";""91"";""4"";""8"";""74"";""0"";""1004"";""0"";""0"";""pioggia neve nebbia """
"Torino;30/1/2014;""1"";""0"";""2"";""1"";""97"";""3"";""6"";""13"";""0"";""1008"";""0"";""0"";""pioggia neve nebbia """
"Torino;31/1/2014;""3"";""1"";""6"";""3"";""95"";""6"";""5"";""9"";""0"";""1010"";""0"";""0"";""pioggia nebbia """
