LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/7/2016;""24"";""18"";""29"";""17"";""66"";""13"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Torino;2/7/2016;""23"";""21"";""27"";""20"";""80"";""10"";""8"";""15"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Torino;3/7/2016;""24"";""17"";""29"";""16"";""64"";""17"";""6"";""9"";""0"";""1015"";""0"";""0"";"""""
"Torino;4/7/2016;""23"";""20"";""25"";""18"";""73"";""11"";""8"";""15"";""0"";""1019"";""0"";""0"";"""""
"Torino;5/7/2016;""24"";""18"";""28"";""18"";""70"";""12"";""7"";""15"";""0"";""1017"";""0"";""0"";""pioggia """
"Torino;6/7/2016;""25"";""17"";""30"";""15"";""56"";""23"";""7"";""15"";""0"";""1015"";""0"";""0"";"""""
"Torino;7/7/2016;""25"";""20"";""30"";""17"";""59"";""13"";""8"";""15"";""0"";""1017"";""0"";""0"";"""""
"Torino;8/7/2016;""25"";""22"";""29"";""19"";""69"";""10"";""7"";""15"";""0"";""1018"";""0"";""0"";"""""
"Torino;9/7/2016;""27"";""20"";""33"";""17"";""55"";""28"";""7"";""11"";""28"";""1017"";""0"";""0"";"""""
"Torino;10/7/2016;""27"";""21"";""31"";""19"";""61"";""11"";""7"";""13"";""0"";""1017"";""0"";""0"";"""""
"Torino;11/7/2016;""26"";""22"";""30"";""20"";""68"";""11"";""10"";""35"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Torino;12/7/2016;""23"";""20"";""26"";""20"";""81"";""13"";""6"";""13"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Torino;13/7/2016;""23"";""16"";""28"";""14"";""60"";""13"";""9"";""39"";""57"";""1009"";""0"";""0"";""pioggia temporale """
"Torino;14/7/2016;""19"";""11"";""26"";""7"";""49"";""18"";""11"";""33"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Torino;15/7/2016;""20"";""11"";""26"";""6"";""42"";""24"";""7"";""15"";""0"";""1018"";""0"";""0"";"""""
"Torino;16/7/2016;""21"";""12"";""28"";""6"";""40"";""41"";""8"";""17"";""0"";""1019"";""0"";""0"";"""""
"Torino;17/7/2016;""23"";""15"";""30"";""11"";""47"";""32"";""6"";""13"";""0"";""1020"";""0"";""0"";"""""
"Torino;18/7/2016;""25"";""17"";""31"";""15"";""53"";""46"";""6"";""9"";""0"";""1020"";""0"";""0"";"""""
"Torino;19/7/2016;""26"";""21"";""32"";""17"";""57"";""38"";""6"";""13"";""0"";""1019"";""0"";""0"";"""""
"Torino;20/7/2016;""27"";""21"";""33"";""19"";""60"";""18"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Torino;21/7/2016;""26"";""23"";""30"";""18"";""61"";""11"";""8"";""15"";""0"";""1016"";""0"";""0"";""pioggia """
"Torino;22/7/2016;""22"";""17"";""26"";""19"";""79"";""10"";""9"";""54"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Torino;23/7/2016;""22"";""20"";""27"";""18"";""77"";""11"";""9"";""26"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Torino;24/7/2016;""23"";""17"";""29"";""16"";""66"";""16"";""6"";""11"";""0"";""1017"";""0"";""0"";"""""
"Torino;25/7/2016;""26"";""19"";""31"";""16"";""56"";""20"";""6"";""11"";""0"";""1016"";""0"";""0"";"""""
"Torino;26/7/2016;""26"";""20"";""30"";""18"";""64"";""12"";""9"";""26"";""0"";""1017"";""0"";""0"";""temporale """
"Torino;27/7/2016;""24"";""20"";""29"";""18"";""70"";""11"";""9"";""28"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Torino;28/7/2016;""23"";""17"";""29"";""18"";""73"";""14"";""6"";""13"";""0"";""1016"";""0"";""0"";"""""
"Torino;29/7/2016;""25"";""20"";""29"";""18"";""66"";""11"";""6"";""11"";""0"";""1015"";""0"";""0"";"""""
"Torino;30/7/2016;""26"";""21"";""30"";""19"";""67"";""13"";""6"";""11"";""0"";""1015"";""0"";""0"";"""""
"Torino;31/7/2016;""24"";""19"";""28"";""19"";""75"";""11"";""9"";""24"";""0"";""1014"";""0"";""0"";""pioggia temporale """
