LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/9/2017;""22"";""17"";""27"";""16"";""70"";""19"";""10"";""21"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Torino;2/9/2017;""18"";""15"";""23"";""12"";""67"";""19"";""8"";""15"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Torino;3/9/2017;""19"";""11"";""26"";""5"";""44"";""21"";""7"";""13"";""0"";""1012"";""0"";""0"";"""""
"Torino;4/9/2017;""19"";""14"";""25"";""9"";""54"";""20"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Torino;5/9/2017;""21"";""13"";""27"";""12"";""59"";""20"";""6"";""11"";""0"";""1019"";""0"";""0"";"""""
"Torino;6/9/2017;""22"";""16"";""28"";""14"";""63"";""20"";""6"";""11"";""0"";""1017"";""0"";""0"";"""""
"Torino;7/9/2017;""22"";""16"";""28"";""13"";""60"";""20"";""8"";""28"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Torino;8/9/2017;""19"";""17"";""23"";""14"";""73"";""20"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Torino;9/9/2017;""18"";""15"";""21"";""15"";""84"";""11"";""8"";""15"";""0"";""1004"";""0"";""0"";""pioggia """
"Torino;10/9/2017;""17"";""13"";""22"";""12"";""74"";""21"";""8"";""18"";""0"";""1003"";""0"";""0"";""pioggia nebbia """
"Torino;11/9/2017;""18"";""11"";""25"";""11"";""67"";""20"";""6"";""11"";""0"";""1003"";""0"";""0"";"""""
"Torino;12/9/2017;""21"";""14"";""28"";""7"";""39"";""20"";""10"";""24"";""0"";""1006"";""0"";""0"";"""""
"Torino;13/9/2017;""18"";""12"";""23"";""9"";""55"";""20"";""8"";""13"";""0"";""1018"";""0"";""0"";"""""
"Torino;14/9/2017;""18"";""14"";""22"";""12"";""72"";""21"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Torino;15/9/2017;""14"";""10"";""25"";""5"";""52"";""20"";""6"";""15"";""0"";""1012"";""0"";""0"";""pioggia """
"Torino;16/9/2017;""15"";""10"";""21"";""9"";""67"";""20"";""7"";""18"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Torino;17/9/2017;""15"";""9"";""22"";""8"";""65"";""19"";""6"";""11"";""0"";""1011"";""0"";""0"";"""""
"Torino;18/9/2017;""14"";""9"";""18"";""8"";""69"";""19"";""6"";""13"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Torino;19/9/2017;""15"";""7"";""22"";""5"";""56"";""21"";""6"";""13"";""0"";""1012"";""0"";""0"";"""""
"Torino;20/9/2017;""16"";""5"";""24"";""1"";""36"";""21"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Torino;21/9/2017;""16"";""8"";""23"";""2"";""41"";""18"";""7"";""11"";""0"";""1019"";""0"";""0"";"""""
"Torino;22/9/2017;""16"";""10"";""23"";""7"";""56"";""20"";""5"";""9"";""0"";""1020"";""0"";""0"";"""""
"Torino;23/9/2017;""17"";""11"";""23"";""10"";""64"";""21"";""5"";""9"";""0"";""1021"";""0"";""0"";"""""
"Torino;24/9/2017;""19"";""14"";""24"";""12"";""64"";""20"";""6"";""17"";""0"";""1018"";""0"";""0"";"""""
"Torino;25/9/2017;""17"";""15"";""20"";""10"";""65"";""21"";""7"";""11"";""0"";""1020"";""0"";""0"";"""""
"Torino;26/9/2017;""17"";""15"";""21"";""10"";""63"";""20"";""6"";""9"";""0"";""1022"";""0"";""0"";""pioggia """
"Torino;27/9/2017;""18"";""14"";""23"";""10"";""62"";""19"";""5"";""9"";""0"";""1024"";""0"";""0"";"""""
"Torino;28/9/2017;""18"";""12"";""25"";""10"";""63"";""18"";""6"";""11"";""0"";""1026"";""0"";""0"";"""""
"Torino;29/9/2017;""18"";""16"";""22"";""12"";""65"";""13"";""6"";""11"";""0"";""1024"";""0"";""0"";"""""
"Torino;30/9/2017;""17"";""16"";""18"";""11"";""66"";""19"";""6"";""8"";""0"";""1021"";""0"";""0"";"""""
