"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"3";"0";"8";"83"
"2010-01-02";"4";"-1";"9";"40"
"2010-01-03";"-1";"-4";"3";"37"
"2010-01-04";"-1";"-2";"0";"65"
"2010-01-05";"0";"-2";"1";"63"
"2010-01-06";"0";"-4";"7";"61"
"2010-01-07";"0";"-5";"4";"64"
"2010-01-08";"1";"0";"2";"84"
"2010-01-09";"3";"1";"5";"87"
"2010-01-10";"2";"-1";"7";"85"
"2010-01-11";"0";"-4";"6";"79"
"2010-01-12";"1";"-3";"5";"69"
"2010-01-13";"1";"0";"4";"82"
"2010-01-14";"0";"-2";"2";"83"
"2010-01-15";"2";"-1";"6";"78"
"2010-01-16";"0";"-4";"3";"79"
"2010-01-17";"1";"-1";"3";"86"
"2010-01-18";"-2";"-5";"1";"85"
"2010-01-19";"-1";"-6";"5";"71"
"2010-01-20";"-1";"-5";"2";"70"
"2010-01-21";"-3";"-5";"-1";"90"
"2010-01-22";"-4";"-4";"-3";"93"
"2010-01-23";"-2";"-4";"-1";"77"
"2010-01-24";"-2";"-3";"-2";"76"
"2010-01-25";"-1";"-2";"1";"84"
"2010-01-26";"0";"-1";"1";"91"
"2010-01-27";"1";"-2";"5";"83"
"2010-01-28";"0";"-4";"5";"82"
"2010-01-29";"-1";"-4";"1";"85"
"2010-01-30";"-1";"-5";"3";"78"
"2010-01-31";"0";"-5";"5";"36"
"2010-02-01";"-1";"-6";"6";"41"
"2010-02-02";"-1";"-6";"7";"47"
"2010-02-03";"0";"-6";"7";"51"
"2010-02-04";"2";"-1";"3";"69"
"2010-02-05";"0";"0";"1";"91"
"2010-02-06";"2";"-2";"7";"80"
"2010-02-07";"1";"-5";"7";"80"
"2010-02-08";"-1";"-5";"3";"93"
"2010-02-09";"-1";"-2";"1";"96"
"2010-02-10";"3";"-1";"8";"79"
"2010-02-11";"1";"0";"2";"91"
"2010-02-12";"1";"-1";"6";"81"
"2010-02-13";"1";"-5";"7";"61"
"2010-02-14";"1";"-3";"4";"78"
"2010-02-15";"0";"-3";"4";"83"
"2010-02-16";"2";"-1";"3";"92"
"2010-02-17";"3";"1";"5";"92"
"2010-02-18";"3";"1";"9";"91"
"2010-02-19";"5";"3";"8";"91"
"2010-02-20";"6";"2";"14";"55"
"2010-02-21";"4";"-1";"7";"58"
"2010-02-22";"4";"3";"5";"91"
"2010-02-23";"5";"3";"9";"88"
"2010-02-24";"5";"0";"12";"78"
"2010-02-25";"7";"1";"12";"81"
