LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/11/2011;""8"";""1"";""15"";""4"";""77"";""12"";""4"";""6"";""0"";""1021"";""0"";""0"";"""""
"Trento;2/11/2011;""8"";""1"";""15"";""5"";""79"";""10"";""5"";""13"";""0"";""1021"";""0"";""0"";"""""
"Trento;3/11/2011;""10"";""8"";""12"";""7"";""80"";""9"";""3"";""6"";""0"";""1018"";""0"";""0"";"""""
"Trento;4/11/2011;""10"";""9"";""13"";""9"";""90"";""6"";""4"";""6"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;5/11/2011;""12"";""10"";""14"";""11"";""94"";""5"";""3"";""4"";""0"";""1015"";""0"";""0"";""pioggia """
"Trento;6/11/2011;""12"";""10"";""16"";""11"";""93"";""9"";""4"";""7"";""0"";""1015"";""0"";""0"";""nebbia """
"Trento;7/11/2011;""13"";""11"";""17"";""10"";""84"";""8"";""6"";""19"";""0"";""1019"";""0"";""0"";""pioggia nebbia """
"Trento;8/11/2011;""12"";""10"";""14"";""10"";""88"";""7"";""6"";""11"";""0"";""1024"";""0"";""0"";""pioggia """
"Trento;9/11/2011;""12"";""7"";""18"";""7"";""77"";""11"";""5"";""7"";""0"";""1024"";""0"";""0"";"""""
"Trento;10/11/2011;""9"";""3"";""16"";""4"";""72"";""10"";""3"";""6"";""0"";""1021"";""0"";""0"";"""""
"Trento;11/11/2011;""8"";""1"";""13"";""4"";""70"";""12"";""4"";""7"";""0"";""1025"";""0"";""0"";"""""
"Trento;12/11/2011;""9"";""3"";""16"";""4"";""71"";""13"";""5"";""7"";""0"";""1031"";""0"";""0"";"""""
"Trento;13/11/2011;""5"";""0"";""13"";""2"";""76"";""10"";""3"";""6"";""0"";""1034"";""0"";""0"";"""""
"Trento;14/11/2011;""5"";""-2"";""12"";""1"";""68"";""18"";""3"";""6"";""0"";""1028"";""0"";""0"";"""""
"Trento;15/11/2011;""4"";""-3"";""12"";""0"";""69"";""11"";""3"";""6"";""0"";""1021"";""0"";""0"";"""""
"Trento;16/11/2011;""3"";""-3"";""12"";""0"";""69"";""12"";""4"";""22"";""0"";""1023"";""0"";""0"";"""""
"Trento;17/11/2011;""3"";""-4"";""11"";""0"";""66"";""15"";""3"";""6"";""0"";""1026"";""0"";""0"";"""""
"Trento;18/11/2011;""3"";""-3"";""11"";""0"";""69"";""21"";""3"";""6"";""0"";""1026"";""0"";""0"";"""""
"Trento;19/11/2011;""2"";""-4"";""10"";""0"";""68"";""18"";""3"";""6"";""0"";""1025"";""0"";""0"";"""""
"Trento;20/11/2011;""3"";""-5"";""10"";""2"";""69"";""17"";""4"";""6"";""0"";""1024"";""0"";""0"";"""""
"Trento;21/11/2011;""2"";""-4"";""9"";""0"";""71"";""11"";""3"";""7"";""0"";""1023"";""0"";""0"";"""""
"Trento;22/11/2011;""2"";""-4"";""12"";""1"";""75"";""16"";""3"";""7"";""0"";""1023"";""0"";""0"";"""""
"Trento;23/11/2011;""3"";""-3"";""11"";""1"";""73"";""16"";""3"";""6"";""0"";""1025"";""0"";""0"";"""""
"Trento;24/11/2011;""3"";""-4"";""12"";""0"";""69"";""11"";""3"";""7"";""0"";""1031"";""0"";""0"";"""""
"Trento;25/11/2011;""2"";""-4"";""10"";""0"";""70"";""15"";""4"";""6"";""0"";""1030"";""0"";""0"";"""""
"Trento;26/11/2011;""3"";""-4"";""11"";""0"";""66"";""12"";""4"";""9"";""0"";""1030"";""0"";""0"";"""""
"Trento;27/11/2011;""3"";""-4"";""11"";""0"";""65"";""14"";""3"";""6"";""0"";""1028"";""0"";""0"";"""""
"Trento;28/11/2011;""2"";""-4"";""10"";""0"";""75"";""12"";""3"";""6"";""0"";""1028"";""0"";""0"";"""""
"Trento;29/11/2011;""3"";""-3"";""10"";""0"";""73"";""12"";""3"";""6"";""0"";""1027"";""0"";""0"";"""""
"Trento;30/11/2011;""2"";""-3"";""10"";""1"";""75"";""14"";""4"";""6"";""0"";""1029"";""0"";""0"";"""""
