LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/3/2012;""14"";""5"";""22"";""3"";""51"";""0"";""8"";""15"";""0"";""1023"";""0"";""0"";"""""
"Trento;2/3/2012;""14"";""4"";""24"";""2"";""48"";""0"";""6"";""9"";""0"";""1022"";""0"";""0"";"""""
"Trento;3/3/2012;""14"";""3"";""22"";""4"";""51"";""10"";""10"";""20"";""0"";""1019"";""0"";""0"";"""""
"Trento;4/3/2012;""11"";""9"";""12"";""9"";""93"";""8"";""8"";""15"";""0"";""1019"";""0"";""0"";""pioggia """
"Trento;5/3/2012;""8"";""5"";""10"";""6"";""90"";""7"";""11"";""26"";""0"";""1016"";""0"";""0"";""pioggia nebbia """
"Trento;6/3/2012;""8"";""3"";""13"";""2"";""66"";""10"";""4"";""7"";""0"";""1020"";""0"";""0"";"""""
"Trento;7/3/2012;""9"";""0"";""15"";""0"";""55"";""10"";""7"";""9"";""0"";""1023"";""0"";""0"";"""""
"Trento;8/3/2012;""10"";""2"";""15"";""1"";""45"";""10"";""16"";""26"";""0"";""1020"";""0"";""0"";"""""
"Trento;9/3/2012;""11"";""4"";""15"";""0"";""33"";""10"";""7"";""13"";""0"";""1032"";""0"";""0"";"""""
"Trento;10/3/2012;""9"";""-1"";""16"";""0"";""45"";""0"";""4"";""7"";""0"";""1030"";""0"";""0"";"""""
"Trento;11/3/2012;""12"";""0"";""20"";""0"";""44"";""10"";""16"";""39"";""65"";""1022"";""0"";""0"";"""""
"Trento;12/3/2012;""18"";""11"";""23"";""0"";""23"";""10"";""25"";""39"";""69"";""1020"";""0"";""0"";"""""
"Trento;13/3/2012;""16"";""5"";""24"";""2"";""35"";""0"";""10"";""28"";""43"";""1023"";""0"";""0"";"""""
"Trento;14/3/2012;""14"";""3"";""24"";""1"";""39"";""0"";""7"";""22"";""0"";""1025"";""0"";""0"";"""""
"Trento;15/3/2012;""16"";""4"";""24"";""0"";""31"";""0"";""6"";""13"";""0"";""1026"";""0"";""0"";"""""
"Trento;16/3/2012;""15"";""4"";""21"";""4"";""38"";""0"";""9"";""35"";""0"";""1026"";""0"";""0"";"""""
"Trento;17/3/2012;""14"";""6"";""19"";""3"";""47"";""8"";""14"";""61"";""0"";""1024"";""0"";""0"";"""""
"Trento;18/3/2012;""11"";""6"";""14"";""4"";""62"";""9"";""9"";""17"";""0"";""1021"";""0"";""0"";""pioggia """
"Trento;19/3/2012;""9"";""8"";""11"";""6"";""81"";""10"";""9"";""17"";""0"";""1024"";""0"";""0"";""pioggia """
"Trento;20/3/2012;""12"";""2"";""18"";""3"";""54"";""10"";""5"";""9"";""0"";""1034"";""0"";""0"";"""""
"Trento;21/3/2012;""13"";""5"";""19"";""2"";""47"";""0"";""4"";""7"";""0"";""1033"";""0"";""0"";"""""
"Trento;22/3/2012;""15"";""4"";""22"";""3"";""48"";""10"";""7"";""15"";""0"";""1029"";""0"";""0"";"""""
"Trento;23/3/2012;""15"";""6"";""23"";""2"";""44"";""10"";""7"";""13"";""0"";""1024"";""0"";""0"";"""""
"Trento;24/3/2012;""14"";""6"";""21"";""4"";""54"";""10"";""12"";""28"";""52"";""1023"";""0"";""0"";""pioggia temporale """
"Trento;25/3/2012;""15"";""5"";""21"";""4"";""50"";""10"";""7"";""19"";""0"";""1026"";""0"";""0"";"""""
"Trento;26/3/2012;""16"";""6"";""24"";""1"";""39"";""0"";""5"";""9"";""0"";""1027"";""0"";""0"";"""""
"Trento;27/3/2012;""16"";""6"";""24"";""1"";""35"";""0"";""8"";""20"";""43"";""1026"";""0"";""0"";"""""
"Trento;28/3/2012;""18"";""7"";""26"";""2"";""35"";""0"";""5"";""11"";""0"";""1024"";""0"";""0"";"""""
"Trento;29/3/2012;""19"";""7"";""26"";""3"";""33"";""10"";""9"";""24"";""0"";""1014"";""0"";""0"";"""""
"Trento;30/3/2012;""19"";""10"";""25"";""1"";""30"";""10"";""15"";""24"";""52"";""1008"";""0"";""0"";"""""
"Trento;31/3/2012;""18"";""7"";""26"";""1"";""32"";""0"";""7"";""20"";""0"";""1005"";""0"";""0"";"""""
