LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/12/2014;""10"";""9"";""11"";""9"";""99"";""7"";""5"";""15"";""0"";""1005"";""0"";""0"";""pioggia """
"Trento;2/12/2014;""9"";""7"";""12"";""9"";""94"";""12"";""3"";""6"";""0"";""1006"";""0"";""0"";""pioggia """
"Trento;3/12/2014;""9"";""5"";""13"";""7"";""91"";""11"";""3"";""7"";""0"";""1012"";""0"";""0"";""nebbia """
"Trento;4/12/2014;""9"";""8"";""11"";""8"";""96"";""9"";""2"";""4"";""0"";""1015"";""0"";""0"";""pioggia """
"Trento;5/12/2014;""7"";""4"";""11"";""7"";""95"";""9"";""3"";""6"";""0"";""1016"";""0"";""0"";""nebbia """
"Trento;6/12/2014;""8"";""5"";""11"";""6"";""85"";""11"";""2"";""4"";""0"";""1015"";""0"";""0"";""pioggia """
"Trento;7/12/2014;""7"";""4"";""12"";""6"";""90"";""10"";""3"";""6"";""0"";""1016"";""0"";""0"";"""""
"Trento;8/12/2014;""5"";""0"";""11"";""3"";""86"";""14"";""4"";""7"";""0"";""1016"";""0"";""0"";"""""
"Trento;9/12/2014;""8"";""2"";""13"";""4"";""54"";""16"";""9"";""19"";""0"";""1020"";""0"";""0"";"""""
"Trento;10/12/2014;""3"";""-2"";""8"";""0"";""57"";""14"";""4"";""7"";""0"";""1024"";""0"";""0"";"""""
"Trento;11/12/2014;""2"";""-3"";""8"";""0"";""74"";""19"";""3"";""6"";""0"";""1019"";""0"";""0"";"""""
"Trento;12/12/2014;""1"";""-4"";""11"";""4"";""82"";""12"";""4"";""7"";""0"";""1021"";""0"";""0"";"""""
"Trento;13/12/2014;""2"";""-3"";""4"";""0"";""80"";""10"";""4"";""6"";""0"";""1023"";""0"";""0"";"""""
"Trento;14/12/2014;""5"";""3"";""11"";""2"";""78"";""9"";""2"";""6"";""0"";""1023"";""0"";""0"";"""""
"Trento;15/12/2014;""6"";""5"";""7"";""5"";""89"";""9"";""3"";""6"";""0"";""1022"";""0"";""0"";""pioggia """
"Trento;16/12/2014;""7"";""6"";""8"";""7"";""98"";""4"";""3"";""6"";""0"";""1013"";""0"";""0"";""pioggia nebbia """
"Trento;17/12/2014;""6"";""1"";""8"";""4"";""91"";""10"";""3"";""4"";""0"";""1014"";""0"";""0"";"""""
"Trento;18/12/2014;""4"";""0"";""8"";""3"";""90"";""10"";""4"";""7"";""0"";""1021"";""0"";""0"";"""""
"Trento;19/12/2014;""5"";""-1"";""12"";""4"";""88"";""10"";""4"";""7"";""0"";""1022"";""0"";""0"";"""""
"Trento;20/12/2014;""4"";""0"";""11"";""3"";""89"";""0"";""4"";""6"";""0"";""1022"";""0"";""0"";"""""
"Trento;21/12/2014;""8"";""0"";""15"";""0"";""44"";""0"";""7"";""15"";""35"";""1029"";""0"";""0"";"""""
"Trento;22/12/2014;""2"";""-2"";""6"";""0"";""76"";""10"";""4"";""7"";""0"";""1029"";""0"";""0"";"""""
"Trento;23/12/2014;""2"";""-3"";""9"";""0"";""78"";""10"";""3"";""6"";""0"";""1027"";""0"";""0"";"""""
"Trento;24/12/2014;""0"";""-4"";""5"";""0"";""89"";""10"";""4"";""11"";""0"";""1026"";""0"";""0"";"""""
"Trento;25/12/2014;""1"";""-3"";""7"";""0"";""82"";""10"";""4"";""7"";""0"";""1022"";""0"";""0"";"""""
"Trento;26/12/2014;""6"";""0"";""10"";""0"";""39"";""10"";""8"";""13"";""37"";""1023"";""0"";""0"";"""""
"Trento;27/12/2014;""-1"";""-4"";""1"";""0"";""87"";""7"";""4"";""7"";""0"";""1009"";""0"";""0"";""neve """
"Trento;28/12/2014;""3"";""-6"";""9"";""0"";""56"";""10"";""15"";""30"";""59"";""1006"";""0"";""0"";"""""
"Trento;29/12/2014;""4"";""-1"";""7"";""0"";""27"";""0"";""9"";""17"";""32"";""1024"";""0"";""0"";"""""
"Trento;30/12/2014;""4"";""2"";""6"";""0"";""38"";""10"";""12"";""20"";""44"";""1027"";""0"";""0"";"""""
"Trento;31/12/2014;""0"";""-4"";""4"";""0"";""72"";""10"";""6"";""13"";""0"";""1029"";""0"";""0"";"""""
