LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/6/2014;""19"";""9"";""27"";""6"";""45"";""14"";""7"";""17"";""0"";""1016"";""0"";""0"";"""""
"Trento;2/6/2014;""20"";""11"";""26"";""10"";""56"";""13"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Trento;3/6/2014;""20"";""12"";""26"";""11"";""57"";""12"";""8"";""19"";""37"";""1013"";""0"";""0"";""pioggia temporale """
"Trento;4/6/2014;""19"";""12"";""23"";""13"";""69"";""10"";""6"";""13"";""0"";""1011"";""0"";""0"";""pioggia """
"Trento;5/6/2014;""21"";""14"";""27"";""13"";""60"";""12"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Trento;6/6/2014;""23"";""13"";""29"";""13"";""55"";""11"";""8"";""19"";""0"";""1018"";""0"";""0"";"""""
"Trento;7/6/2014;""26"";""16"";""34"";""15"";""52"";""12"";""9"";""19"";""0"";""1017"";""0"";""0"";"""""
"Trento;8/6/2014;""27"";""17"";""36"";""16"";""50"";""15"";""8"";""15"";""0"";""1019"";""0"";""0"";"""""
"Trento;9/6/2014;""28"";""19"";""34"";""16"";""48"";""16"";""6"";""15"";""0"";""1019"";""0"";""0"";"""""
"Trento;10/6/2014;""28"";""16"";""35"";""15"";""48"";""15"";""6"";""11"";""0"";""1018"";""0"";""0"";"""""
"Trento;11/6/2014;""26"";""19"";""35"";""18"";""60"";""10"";""5"";""19"";""0"";""1020"";""0"";""0"";""pioggia temporale """
"Trento;12/6/2014;""26"";""17"";""34"";""17"";""58"";""12"";""6"";""19"";""54"";""1020"";""0"";""0"";""temporale """
"Trento;13/6/2014;""26"";""18"";""34"";""16"";""53"";""13"";""7"";""22"";""30"";""1015"";""0"";""0"";""temporale """
"Trento;14/6/2014;""25"";""17"";""32"";""14"";""51"";""14"";""9"";""26"";""0"";""1050"";""0"";""0"";""temporale """
"Trento;15/6/2014;""21"";""17"";""26"";""15"";""69"";""12"";""9"";""17"";""26"";""1014"";""0"";""0"";""pioggia """
"Trento;16/6/2014;""21"";""14"";""27"";""13"";""62"";""12"";""10"";""19"";""44"";""1014"";""0"";""0"";"""""
"Trento;17/6/2014;""22"";""14"";""28"";""11"";""50"";""11"";""9"";""19"";""0"";""1013"";""0"";""0"";"""""
"Trento;18/6/2014;""22"";""13"";""28"";""10"";""47"";""12"";""9"";""15"";""0"";""1015"";""0"";""0"";"""""
"Trento;19/6/2014;""24"";""15"";""30"";""12"";""50"";""13"";""7"";""19"";""0"";""1014"";""0"";""0"";"""""
"Trento;20/6/2014;""24"";""16"";""29"";""10"";""40"";""12"";""9"";""22"";""41"";""1012"";""0"";""0"";"""""
"Trento;21/6/2014;""24"";""14"";""30"";""12"";""46"";""17"";""11"";""19"";""0"";""1014"";""0"";""0"";"""""
"Trento;22/6/2014;""26"";""20"";""32"";""16"";""53"";""11"";""12"";""22"";""48"";""1015"";""0"";""0"";""pioggia temporale """
"Trento;23/6/2014;""24"";""17"";""32"";""17"";""65"";""13"";""10"";""32"";""41"";""1017"";""0"";""0"";""pioggia temporale """
"Trento;24/6/2014;""21"";""17"";""27"";""17"";""79"";""10"";""7"";""17"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Trento;25/6/2014;""21"";""17"";""26"";""17"";""79"";""11"";""9"";""19"";""0"";""1007"";""0"";""0"";""pioggia """
"Trento;26/6/2014;""22"";""13"";""29"";""13"";""56"";""17"";""9"";""20"";""39"";""1011"";""0"";""0"";"""""
"Trento;27/6/2014;""23"";""17"";""29"";""17"";""68"";""12"";""9"";""17"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;28/6/2014;""23"";""18"";""29"";""17"";""72"";""11"";""8"";""19"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;29/6/2014;""22"";""14"";""26"";""16"";""70"";""11"";""10"";""22"";""44"";""1010"";""0"";""0"";""pioggia temporale """
Trento;30/6/2014;;;;;;;;;;;;;
