LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/9/2014;""21"";""14"";""25"";""7"";""42"";""14"";""15"";""26"";""56"";""1011"";""0"";""0"";"""""
"Trento;2/9/2014;""21"";""12"";""26"";""7"";""42"";""12"";""12"";""28"";""48"";""1014"";""0"";""0"";"""""
"Trento;3/9/2014;""20"";""14"";""26"";""14"";""73"";""11"";""3"";""6"";""0"";""1015"";""0"";""0"";""pioggia """
"Trento;4/9/2014;""20"";""16"";""24"";""17"";""85"";""11"";""3"";""6"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;5/9/2014;""21"";""17"";""25"";""18"";""82"";""8"";""4"";""11"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Trento;6/9/2014;""22"";""16"";""29"";""18"";""79"";""8"";""6"";""17"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Trento;7/9/2014;""23"";""18"";""29"";""18"";""74"";""7"";""7"";""17"";""0"";""1013"";""0"";""0"";""pioggia """
"Trento;8/9/2014;""23"";""16"";""29"";""18"";""73"";""8"";""4"";""11"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;9/9/2014;""23"";""17"";""29"";""17"";""70"";""11"";""7"";""24"";""44"";""1016"";""0"";""0"";""pioggia temporale """
"Trento;10/9/2014;""20"";""14"";""27"";""16"";""79"";""12"";""5"";""11"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Trento;11/9/2014;""20"";""13"";""26"";""15"";""73"";""12"";""5"";""11"";""0"";""1010"";""0"";""0"";""pioggia """
"Trento;12/9/2014;""19"";""10"";""25"";""10"";""60"";""13"";""5"";""11"";""0"";""1012"";""0"";""0"";"""""
"Trento;13/9/2014;""19"";""10"";""27"";""11"";""63"";""16"";""5"";""13"";""0"";""1015"";""0"";""0"";"""""
"Trento;14/9/2014;""20"";""11"";""27"";""13"";""65"";""17"";""6"";""13"";""0"";""1015"";""0"";""0"";"""""
"Trento;15/9/2014;""22"";""16"";""27"";""15"";""64"";""12"";""8"";""17"";""0"";""1015"";""0"";""0"";"""""
"Trento;16/9/2014;""22"";""17"";""27"";""16"";""70"";""11"";""9"";""17"";""0"";""1015"";""0"";""0"";""pioggia """
"Trento;17/9/2014;""21"";""17"";""24"";""16"";""76"";""11"";""5"";""11"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;18/9/2014;""21"";""18"";""24"";""16"";""68"";""10"";""5"";""9"";""0"";""1017"";""0"";""0"";"""""
"Trento;19/9/2014;""19"";""17"";""24"";""17"";""86"";""8"";""4"";""9"";""0"";""1019"";""0"";""0"";""pioggia """
"Trento;20/9/2014;""20"";""17"";""24"";""18"";""89"";""9"";""3"";""7"";""0"";""1017"";""0"";""0"";""pioggia """
"Trento;21/9/2014;""21"";""15"";""27"";""16"";""76"";""14"";""7"";""17"";""41"";""1013"";""0"";""0"";""pioggia temporale """
"Trento;22/9/2014;""21"";""13"";""27"";""9"";""52"";""13"";""7"";""20"";""37"";""1011"";""0"";""0"";"""""
"Trento;23/9/2014;""18"";""9"";""25"";""6"";""46"";""25"";""6"";""19"";""28"";""1017"";""0"";""0"";"""""
"Trento;24/9/2014;""16"";""10"";""19"";""10"";""69"";""11"";""4"";""9"";""0"";""1017"";""0"";""0"";"""""
"Trento;25/9/2014;""19"";""13"";""26"";""10"";""59"";""13"";""5"";""11"";""0"";""1016"";""0"";""0"";""pioggia """
"Trento;26/9/2014;""16"";""8"";""23"";""8"";""63"";""13"";""4"";""7"";""0"";""1022"";""0"";""0"";"""""
"Trento;27/9/2014;""19"";""8"";""27"";""12"";""67"";""19"";""6"";""13"";""0"";""1025"";""0"";""0"";"""""
"Trento;28/9/2014;""19"";""12"";""26"";""14"";""75"";""10"";""5"";""11"";""0"";""1028"";""0"";""0"";"""""
"Trento;29/9/2014;""20"";""14"";""27"";""14"";""70"";""12"";""7"";""15"";""0"";""1027"";""0"";""0"";"""""
"Trento;30/9/2014;""21"";""15"";""26"";""15"";""69"";""10"";""8"";""13"";""30"";""1025"";""0"";""0"";"""""
