LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/5/2016;""11"";""9"";""13"";""10"";""92"";""10"";""4"";""7"";""0"";""1013"";""0"";""0"";""pioggia """
"Trento;2/5/2016;""18"";""11"";""23"";""4"";""44"";""10"";""10"";""20"";""43"";""1013"";""0"";""0"";"""""
"Trento;3/5/2016;""19"";""9"";""24"";""4"";""32"";""10"";""9"";""22"";""44"";""1014"";""0"";""0"";"""""
"Trento;4/5/2016;""18"";""15"";""22"";""0"";""20"";""10"";""19"";""24"";""48"";""1019"";""0"";""0"";"""""
"Trento;5/5/2016;""18"";""8"";""23"";""3"";""34"";""10"";""7"";""13"";""28"";""1021"";""0"";""0"";"""""
"Trento;6/5/2016;""20"";""8"";""26"";""4"";""39"";""10"";""9"";""19"";""50"";""1017"";""0"";""0"";"""""
"Trento;7/5/2016;""19"";""7"";""26"";""6"";""46"";""10"";""8"";""13"";""0"";""1013"";""0"";""0"";"""""
"Trento;8/5/2016;""21"";""9"";""27"";""5"";""42"";""10"";""10"";""19"";""0"";""1014"";""0"";""0"";"""""
"Trento;9/5/2016;""17"";""14"";""21"";""9"";""60"";""10"";""6"";""9"";""0"";""1018"";""0"";""0"";""pioggia """
"Trento;10/5/2016;""16"";""14"";""20"";""12"";""77"";""10"";""5"";""9"";""0"";""1014"";""0"";""0"";""pioggia """
"Trento;11/5/2016;""15"";""13"";""16"";""14"";""90"";""8"";""6"";""11"";""0"";""1009"";""0"";""0"";""pioggia """
"Trento;12/5/2016;""13"";""11"";""14"";""12"";""91"";""9"";""6"";""13"";""32"";""1000"";""0"";""0"";""pioggia """
"Trento;13/5/2016;""14"";""10"";""18"";""12"";""86"";""8"";""4"";""7"";""0"";""999"";""0"";""0"";""pioggia """
"Trento;14/5/2016;""16"";""10"";""22"";""11"";""73"";""10"";""7"";""17"";""35"";""1004"";""0"";""0"";""pioggia temporale """
"Trento;15/5/2016;""18"";""8"";""23"";""7"";""38"";""10"";""10"";""20"";""41"";""1011"";""0"";""0"";"""""
"Trento;16/5/2016;""15"";""6"";""20"";""2"";""43"";""10"";""7"";""15"";""52"";""1016"";""0"";""0"";"""""
"Trento;17/5/2016;""17"";""6"";""23"";""3"";""38"";""10"";""8"";""15"";""30"";""1015"";""0"";""0"";"""""
"Trento;18/5/2016;""18"";""10"";""23"";""5"";""43"";""10"";""10"";""19"";""43"";""1014"";""0"";""0"";"""""
"Trento;19/5/2016;""13"";""12"";""14"";""11"";""88"";""8"";""6"";""15"";""39"";""1011"";""0"";""0"";""pioggia """
"Trento;20/5/2016;""21"";""7"";""28"";""5"";""44"";""10"";""5"";""11"";""0"";""1016"";""0"";""0"";"""""
"Trento;21/5/2016;""23"";""11"";""29"";""9"";""43"";""10"";""9"";""17"";""37"";""1018"";""0"";""0"";"""""
"Trento;22/5/2016;""24"";""14"";""30"";""11"";""46"";""10"";""10"";""19"";""33"";""1014"";""0"";""0"";"""""
"Trento;23/5/2016;""14"";""9"";""21"";""10"";""78"";""9"";""10"";""24"";""57"";""1010"";""0"";""0"";""pioggia temporale """
"Trento;24/5/2016;""19"";""8"";""25"";""5"";""46"";""10"";""8"";""19"";""43"";""1008"";""0"";""0"";"""""
"Trento;25/5/2016;""22"";""10"";""28"";""8"";""43"";""10"";""9"";""19"";""43"";""1011"";""0"";""0"";"""""
"Trento;26/5/2016;""23"";""12"";""28"";""11"";""49"";""10"";""9"";""17"";""33"";""1014"";""0"";""0"";"""""
"Trento;27/5/2016;""24"";""14"";""30"";""12"";""49"";""10"";""10"";""20"";""39"";""1015"";""0"";""0"";"""""
"Trento;28/5/2016;""26"";""19"";""31"";""14"";""49"";""10"";""11"";""19"";""50"";""1012"";""0"";""0"";"""""
"Trento;29/5/2016;""18"";""15"";""22"";""15"";""86"";""9"";""9"";""30"";""57"";""1008"";""0"";""0"";""pioggia temporale """
"Trento;30/5/2016;""16"";""15"";""18"";""15"";""94"";""8"";""5"";""11"";""0"";""1009"";""0"";""0"";""pioggia """
"Trento;31/5/2016;""19"";""14"";""22"";""14"";""73"";""10"";""6"";""11"";""30"";""1012"";""0"";""0"";""pioggia """
