LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/2/2017;""4"";""1"";""5"";""3"";""93"";""3"";""1"";""4"";""0"";""1020"";""0"";""0"";""pioggia """
"Trento;2/2/2017;""5"";""3"";""6"";""4"";""95"";""2"";""2"";""5"";""0"";""1020"";""0"";""0"";""pioggia nebbia """
"Trento;3/2/2017;""5"";""4"";""7"";""5"";""98"";""1"";""2"";""9"";""0"";""1012"";""0"";""0"";""pioggia nebbia """
"Trento;4/2/2017;""6"";""4"";""8"";""6"";""97"";""2"";""4"";""8"";""0"";""1007"";""0"";""0"";""pioggia nebbia """
"Trento;5/2/2017;""4"";""1"";""6"";""3"";""92"";""11"";""3"";""8"";""0"";""1007"";""0"";""0"";""pioggia nebbia """
"Trento;6/2/2017;""6"";""2"";""11"";""3"";""82"";""14"";""4"";""8"";""0"";""1008"";""0"";""0"";""pioggia """
"Trento;7/2/2017;""7"";""1"";""13"";""1"";""62"";""21"";""3"";""8"";""0"";""1014"";""0"";""0"";"""""
"Trento;8/2/2017;""7"";""2"";""11"";""2"";""71"";""19"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Trento;9/2/2017;""7"";""0"";""11"";""2"";""62"";""23"";""5"";""11"";""0"";""1021"";""0"";""0"";"""""
"Trento;10/2/2017;""4"";""2"";""7"";""2"";""83"";""8"";""4"";""9"";""0"";""1022"";""0"";""0"";""pioggia """
"Trento;11/2/2017;""5"";""3"";""8"";""3"";""84"";""11"";""1"";""4"";""0"";""1024"";""0"";""0"";"""""
"Trento;12/2/2017;""7"";""1"";""11"";""2"";""72"";""20"";""3"";""8"";""0"";""1028"";""0"";""0"";"""""
"Trento;13/2/2017;""7"";""-2"";""12"";""1"";""66"";""21"";""7"";""18"";""0"";""1028"";""0"";""0"";"""""
"Trento;14/2/2017;""9"";""4"";""14"";""1"";""54"";""21"";""3"";""5"";""0"";""1033"";""0"";""0"";"""""
"Trento;15/2/2017;""7"";""-1"";""14"";""3"";""59"";""21"";""2"";""5"";""0"";""1035"";""0"";""0"";"""""
"Trento;16/2/2017;""8"";""-1"";""16"";""0"";""54"";""21"";""3"";""5"";""0"";""1029"";""0"";""0"";"""""
"Trento;17/2/2017;""6"";""0"";""11"";""0"";""60"";""21"";""3"";""9"";""0"";""1022"";""0"";""0"";"""""
"Trento;18/2/2017;""7"";""-2"";""16"";""0"";""49"";""21"";""3"";""9"";""0"";""1023"";""0"";""0"";"""""
"Trento;19/2/2017;""6"";""-2"";""13"";""0"";""53"";""19"";""3"";""8"";""0"";""1023"";""0"";""0"";"""""
"Trento;20/2/2017;""6"";""-3"";""14"";""0"";""58"";""19"";""4"";""11"";""0"";""1022"";""0"";""0"";"""""
"Trento;21/2/2017;""6"";""0"";""12"";""0"";""60"";""20"";""4"";""11"";""0"";""1017"";""0"";""0"";"""""
"Trento;22/2/2017;""7"";""0"";""13"";""3"";""71"";""15"";""6"";""13"";""0"";""1016"";""0"";""0"";"""""
"Trento;23/2/2017;""10"";""5"";""13"";""4"";""68"";""6"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Trento;24/2/2017;""10"";""7"";""13"";""5"";""59"";""13"";""8"";""21"";""0"";""1008"";""0"";""0"";""pioggia """
"Trento;25/2/2017;""8"";""2"";""15"";""0"";""31"";""22"";""3"";""8"";""0"";""1021"";""0"";""0"";"""""
"Trento;26/2/2017;""7"";""-1"";""12"";""0"";""42"";""21"";""1"";""5"";""0"";""1019"";""0"";""0"";"""""
"Trento;27/2/2017;""9"";""1"";""16"";""0"";""46"";""21"";""7"";""18"";""0"";""1014"";""0"";""0"";"""""
"Trento;28/2/2017;""7"";""6"";""9"";""6"";""90"";""9"";""4"";""9"";""0"";""1002"";""0"";""0"";""pioggia """
