LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trento;1/1/2019;""1"";""-3"";""8"";""0"";""77"";""17"";""3"";""5"";""0"";""1025"";""0"";""0"";"""""
"Trento;2/1/2019;""7"";""4"";""10"";""0"";""26"";""21"";""24"";""33"";""0"";""1022"";""0"";""0"";"""""
"Trento;3/1/2019;""5"";""4"";""7"";""0"";""17"";""19"";""25"";""35"";""0"";""1028"";""0"";""0"";"""""
"Trento;4/1/2019;""5"";""-1"";""9"";""0"";""27"";""18"";""14"";""30"";""0"";""1027"";""0"";""0"";"""""
"Trento;5/1/2019;""6"";""-6"";""14"";""0"";""49"";""19"";""9"";""21"";""0"";""1021"";""0"";""0"";"""""
"Trento;6/1/2019;""11"";""4"";""14"";""7"";""32"";""20"";""16"";""30"";""0"";""1021"";""0"";""0"";"""""
"Trento;7/1/2019;""8"";""0"";""14"";""0"";""40"";""18"";""9"";""18"";""0"";""1025"";""0"";""0"";"""""
"Trento;8/1/2019;""2"";""-2"";""7"";""0"";""73"";""20"";""5"";""8"";""0"";""1013"";""0"";""0"";"""""
"Trento;9/1/2019;""5"";""-1"";""8"";""0"";""47"";""21"";""10"";""17"";""0"";""1007"";""0"";""0"";"""""
"Trento;10/1/2019;""5"";""1"";""9"";""0"";""30"";""19"";""12"";""22"";""0"";""1014"";""0"";""0"";"""""
"Trento;11/1/2019;""4"";""-2"";""8"";""0"";""26"";""19"";""6"";""13"";""0"";""1020"";""0"";""0"";"""""
"Trento;12/1/2019;""-1"";""-5"";""4"";""0"";""67"";""17"";""3"";""8"";""0"";""1017"";""0"";""0"";"""""
"Trento;13/1/2019;""5"";""-2"";""10"";""1"";""66"";""21"";""6"";""17"";""0"";""1008"";""0"";""0"";"""""
"Trento;14/1/2019;""7"";""4"";""11"";""4"";""67"";""17"";""7"";""17"";""0"";""1007"";""0"";""0"";""pioggia """
"Trento;15/1/2019;""5"";""0"";""11"";""0"";""48"";""20"";""5"";""11"";""0"";""1018"";""0"";""0"";"""""
"Trento;16/1/2019;""2"";""-4"";""8"";""0"";""66"";""21"";""2"";""5"";""0"";""1018"";""0"";""0"";"""""
"Trento;17/1/2019;""4"";""2"";""6"";""1"";""71"";""18"";""1"";""4"";""0"";""1013"";""0"";""0"";""pioggia """
"Trento;18/1/2019;""5"";""-1"";""10"";""0"";""48"";""21"";""9"";""21"";""0"";""1014"";""0"";""0"";"""""
"Trento;19/1/2019;""2"";""-3"";""6"";""0"";""49"";""21"";""3"";""5"";""0"";""1015"";""0"";""0"";"""""
"Trento;20/1/2019;""-1"";""-5"";""5"";""0"";""60"";""19"";""1"";""5"";""0"";""1015"";""0"";""0"";"""""
"Trento;21/1/2019;""-1"";""-6"";""6"";""0"";""58"";""21"";""2"";""5"";""0"";""1017"";""0"";""0"";"""""
"Trento;22/1/2019;""-1"";""-6"";""6"";""0"";""58"";""19"";""3"";""8"";""0"";""1007"";""0"";""0"";"""""
"Trento;23/1/2019;""-1"";""-4"";""4"";""0"";""72"";""16"";""3"";""9"";""0"";""996"";""0"";""0"";"""""
"Trento;24/1/2019;""2"";""-5"";""7"";""0"";""52"";""20"";""4"";""18"";""0"";""1002"";""0"";""0"";"""""
"Trento;25/1/2019;""5"";""-1"";""9"";""0"";""26"";""21"";""9"";""17"";""0"";""1009"";""0"";""0"";"""""
"Trento;26/1/2019;""3"";""-2"";""9"";""0"";""45"";""22"";""5"";""9"";""0"";""1009"";""0"";""0"";"""""
"Trento;27/1/2019;""0"";""-4"";""2"";""0"";""81"";""15"";""2"";""5"";""0"";""1000"";""0"";""0"";""neve """
"Trento;28/1/2019;""3"";""-4"";""10"";""2"";""64"";""17"";""6"";""15"";""0"";""997"";""0"";""0"";"""""
"Trento;29/1/2019;""3"";""-3"";""10"";""0"";""50"";""21"";""4"";""8"";""0"";""1005"";""0"";""0"";"""""
"Trento;30/1/2019;""1"";""-5"";""4"";""0"";""66"";""18"";""1"";""5"";""0"";""1000"";""0"";""0"";"""""
"Trento;31/1/2019;""2"";""0"";""5"";""1"";""85"";""11"";""2"";""5"";""0"";""1002"";""0"";""0"";""neve """
