"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"1";"-1";"4";"97"
"2010-01-02";"4";"0";"8";"43"
"2010-01-03";"-2";"-6";"6";"48"
"2010-01-04";"-3";"-8";"0";"56"
"2010-01-05";"-1";"-3";"0";"53"
"2010-01-06";"0";"-2";"4";"70"
"2010-01-07";"1";"-3";"5";"85"
"2010-01-08";"2";"0";"3";"96"
"2010-01-09";"2";"0";"4";"97"
"2010-01-10";"3";"1";"6";"96"
"2010-01-11";"3";"2";"5";"79"
"2010-01-12";"2";"1";"3";"95"
"2010-01-13";"2";"0";"4";"92"
"2010-01-14";"2";"-3";"5";"81"
"2010-01-15";"1";"-3";"6";"78"
"2010-01-16";"-1";"-6";"5";"79"
"2010-01-17";"1";"-3";"5";"79"
"2010-01-18";"0";"-4";"7";"74"
"2010-01-19";"-1";"-6";"6";"72"
"2010-01-20";"-2";"-7";"5";"71"
"2010-01-21";"-1";"-6";"5";"70"
"2010-01-22";"-1";"-7";"4";"76"
"2010-01-23";"-1";"-5";"5";"69"
"2010-01-24";"-2";"-8";"3";"74"
"2010-01-25";"0";"-2";"2";"65"
"2010-01-26";"-2";"-4";"1";"72"
"2010-01-27";"-1";"-6";"4";"59"
"2010-01-28";"0";"-5";"5";"62"
"2010-01-29";"-1";"-7";"3";"66"
"2010-01-30";"2";"-1";"5";"60"
"2010-01-31";"3";"-2";"5";"20"
"2010-02-01";"-2";"-8";"3";"47"
"2010-02-02";"-1";"-8";"5";"55"
"2010-02-03";"-1";"-8";"6";"56"
"2010-02-04";"0";"-6";"5";"66"
"2010-02-05";"0";"0";"1";"94"
"2010-02-06";"3";"1";"5";"93"
"2010-02-07";"7";"0";"12";"46"
"2010-02-08";"2";"-2";"8";"56"
"2010-02-09";"0";"-5";"4";"66"
"2010-02-10";"3";"-2";"6";"58"
"2010-02-11";"3";"1";"4";"53"
"2010-02-12";"3";"-2";"9";"50"
"2010-02-13";"1";"-3";"7";"52"
"2010-02-14";"1";"-3";"7";"58"
"2010-02-15";"2";"-5";"7";"59"
"2010-02-16";"4";"0";"7";"58"
"2010-02-17";"6";"1";"9";"55"
"2010-02-18";"6";"2";"11";"74"
"2010-02-19";"4";"3";"5";"91"
"2010-02-20";"7";"2";"9";"39"
"2010-02-21";"4";"-2";"9";"52"
"2010-02-22";"4";"2";"5";"71"
"2010-02-23";"6";"2";"11";"66"
"2010-02-24";"7";"2";"12";"68"
"2010-02-25";"9";"3";"14";"66"
"2010-02-26";"6";"2";"7";"89"
"2010-02-27";"7";"0";"12";"57"
"2010-02-28";"7";"4";"9";"64"
"2010-03-01";"9";"1";"15";"56"
"2010-03-02";"10";"4";"16";"46"
"2010-03-03";"8";"1";"12";"51"
"2010-03-04";"9";"4";"14";"52"
"2010-03-05";"5";"1";"13";"21"
"2010-03-06";"2";"-4";"5";"35"
"2010-03-07";"2";"-3";"8";"35"
"2010-03-08";"3";"-3";"9";"23"
"2010-03-09";"3";"-4";"6";"27"
"2010-03-10";"6";"2";"10";"53"
"2010-03-11";"5";"1";"9";"68"
"2010-03-12";"7";"1";"12";"58"
"2010-03-13";"8";"-1";"14";"37"
"2010-03-14";"11";"0";"17";"30"
"2010-03-15";"9";"1";"14";"29"
"2010-03-16";"10";"-1";"17";"35"
"2010-03-17";"8";"0";"14";"42"
"2010-03-18";"10";"1";"17";"45"
"2010-03-19";"12";"8";"17";"49"
"2010-03-20";"12";"8";"14";"58"
"2010-03-21";"12";"9";"14";"75"
"2010-03-22";"14";"9";"18";"67"
"2010-03-23";"14";"10";"18";"69"
"2010-03-24";"15";"7";"22";"52"
"2010-03-25";"13";"6";"18";"59"
"2010-03-26";"12";"8";"16";"74"
"2010-03-27";"11";"4";"16";"59"
"2010-03-28";"12";"4";"19";"47"
"2010-03-29";"12";"5";"18";"52"
"2010-03-30";"13";"8";"16";"66"
"2010-03-31";"9";"5";"14";"71"
"2010-04-01";"5";"2";"8";"83"
"2010-04-02";"7";"0";"13";"55"
"2010-04-03";"8";"3";"14";"62"
"2010-04-04";"10";"6";"13";"80"
"2010-04-05";"13";"6";"17";"33"
"2010-04-06";"12";"2";"20";"40"
"2010-04-07";"14";"1";"22";"46"
"2010-04-08";"15";"6";"22";"49"
"2010-04-09";"17";"7";"25";"42"
"2010-04-10";"16";"6";"24";"37"
"2010-04-11";"12";"5";"17";"37"
"2010-04-12";"10";"2";"16";"52"
"2010-04-13";"11";"3";"16";"49"
"2010-04-14";"12";"6";"18";"52"
"2010-04-15";"12";"3";"20";"46"
"2010-04-16";"13";"5";"19";"50"
"2010-04-17";"13";"5";"19";"57"
"2010-04-18";"12";"9";"16";"69"
"2010-04-19";"15";"6";"23";"46"
"2010-04-20";"16";"6";"24";"39"
"2010-04-21";"18";"8";"24";"34"
"2010-04-22";"16";"7";"23";"44"
"2010-04-23";"17";"13";"20";"56"
"2010-04-24";"18";"10";"25";"57"
"2010-04-25";"20";"12";"27";"55"
"2010-04-26";"18";"12";"25";"67"
"2010-04-27";"17";"11";"22";"67"
"2010-04-28";"19";"10";"26";"47"
"2010-04-29";"20";"14";"26";"49"
"2010-04-30";"21";"15";"25";"52"
"2010-05-01";"20";"15";"23";"54"
"2010-05-02";"16";"14";"19";"74"
"2010-05-03";"15";"11";"19";"77"
"2010-05-04";"14";"12";"18";"89"
"2010-05-05";"13";"12";"13";"92"
"2010-05-06";"15";"10";"23";"68"
"2010-05-07";"14";"8";"19";"60"
"2010-05-08";"14";"10";"19";"73"
"2010-05-09";"16";"12";"20";"64"
"2010-05-10";"16";"13";"19";"69"
"2010-05-11";"15";"12";"16";"88"
"2010-05-12";"16";"12";"20";"75"
"2010-05-13";"16";"12";"21";"68"
"2010-05-14";"15";"11";"18";"73"
"2010-05-15";"16";"10";"19";"49"
"2010-05-16";"17";"14";"20";"27"
"2010-05-17";"17";"9";"22";"31"
"2010-05-18";"17";"8";"21";"32"
"2010-05-19";"17";"10";"21";"25"
"2010-05-20";"19";"10";"25";"34"
"2010-05-21";"20";"10";"26";"35"
"2010-05-22";"20";"19";"28";"40"
"2010-05-23";"21";"12";"29";"37"
"2010-05-24";"7";"21";"29";"42"
