LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/7/2010;""27"";""25"";""31"";""18"";""56"";""13"";""5"";""12"";""0"";""1015"";""0"";""0"";"""""
"Trieste;2/7/2010;""27"";""23"";""31"";""19"";""61"";""11"";""3"";""10"";""0"";""1015"";""0"";""0"";"""""
"Trieste;3/7/2010;""28"";""25"";""31"";""21"";""65"";""18"";""3"";""6"";""0"";""1015"";""0"";""0"";"""""
"Trieste;4/7/2010;""28"";""24"";""33"";""21"";""65"";""11"";""4"";""13"";""0"";""1014"";""0"";""0"";""pioggia """
"Trieste;5/7/2010;""28"";""23"";""31"";""20"";""61"";""13"";""3"";""6"";""0"";""1014"";""0"";""0"";"""""
"Trieste;6/7/2010;""24"";""20"";""28"";""18"";""70"";""11"";""8"";""23"";""51"";""1015"";""0"";""0"";""pioggia temporale """
"Trieste;7/7/2010;""25"";""21"";""29"";""10"";""38"";""13"";""9"";""16"";""33"";""1018"";""0"";""0"";"""""
"Trieste;8/7/2010;""23"";""20"";""26"";""13"";""51"";""20"";""4"";""12"";""35"";""1021"";""0"";""0"";"""""
"Trieste;9/7/2010;""25"";""19"";""30"";""19"";""71"";""15"";""2"";""5"";""0"";""1020"";""0"";""0"";"""""
"Trieste;10/7/2010;""26"";""22"";""30"";""21"";""74"";""13"";""2"";""6"";""0"";""1019"";""0"";""0"";"""""
"Trieste;11/7/2010;""27"";""24"";""31"";""19"";""60"";""15"";""3"";""7"";""0"";""1017"";""0"";""0"";"""""
"Trieste;12/7/2010;""28"";""23"";""32"";""21"";""64"";""16"";""3"";""6"";""0"";""1014"";""0"";""0"";"""""
"Trieste;13/7/2010;""27"";""24"";""30"";""22"";""71"";""13"";""4"";""13"";""33"";""1012"";""0"";""0"";"""""
"Trieste;14/7/2010;""28"";""24"";""32"";""23"";""74"";""10"";""3"";""8"";""0"";""1012"";""0"";""0"";"""""
"Trieste;15/7/2010;""29"";""25"";""34"";""24"";""71"";""15"";""3"";""5"";""0"";""1011"";""0"";""0"";"""""
"Trieste;16/7/2010;""30"";""25"";""35"";""23"";""64"";""13"";""3"";""5"";""0"";""1013"";""0"";""0"";"""""
"Trieste;17/7/2010;""32"";""29"";""34"";""24"";""65"";""11"";""6"";""13"";""0"";""1012"";""0"";""0"";"""""
"Trieste;18/7/2010;""25"";""20"";""28"";""18"";""65"";""10"";""13"";""20"";""45"";""1015"";""0"";""0"";""pioggia temporale """
"Trieste;19/7/2010;""26"";""22"";""30"";""14"";""44"";""14"";""14"";""23"";""45"";""1016"";""0"";""0"";"""""
"Trieste;20/7/2010;""26"";""24"";""30"";""18"";""59"";""13"";""9"";""16"";""33"";""1014"";""0"";""0"";"""""
"Trieste;21/7/2010;""26"";""21"";""29"";""21"";""73"";""13"";""2"";""5"";""0"";""1012"";""0"";""0"";"""""
"Trieste;22/7/2010;""26"";""22"";""30"";""20"";""69"";""18"";""3"";""8"";""0"";""1013"";""0"";""0"";"""""
"Trieste;23/7/2010;""28"";""24"";""32"";""22"";""70"";""16"";""4"";""10"";""33"";""1011"";""0"";""0"";"""""
"Trieste;24/7/2010;""24"";""19"";""27"";""16"";""62"";""741"";""9"";""22"";""43"";""1008"";""0"";""0"";""pioggia temporale """
"Trieste;25/7/2010;""22"";""19"";""27"";""13"";""57"";""1940"";""7"";""15"";""27"";""1009"";""0"";""0"";""pioggia temporale """
"Trieste;26/7/2010;""22"";""18"";""26"";""10"";""48"";""12"";""7"";""10"";""23"";""1010"";""0"";""0"";"""""
"Trieste;27/7/2010;""22"";""19"";""27"";""14"";""58"";""1475"";""6"";""14"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Trieste;28/7/2010;""22"";""17"";""26"";""15"";""62"";""20"";""3"";""5"";""0"";""1015"";""0"";""0"";"""""
"Trieste;29/7/2010;""20"";""18"";""22"";""17"";""83"";""4697"";""6"";""13"";""29"";""1010"";""0"";""0"";""pioggia temporale """
"Trieste;30/7/2010;""19"";""16"";""22"";""11"";""62"";""11"";""14"";""21"";""39"";""1009"";""0"";""0"";""pioggia """
"Trieste;31/7/2010;""23"";""20"";""27"";""12"";""49"";""13"";""10"";""18"";""40"";""1014"";""0"";""0"";"""""
