LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/11/2010;""19"";""18"";""20"";""14"";""75"";""10"";""6"";""10"";""24"";""1012"";""0"";""0"";""pioggia """
"Trieste;2/11/2010;""17"";""15"";""19"";""13"";""75"";""10"";""6"";""16"";""28"";""1012"";""0"";""0"";""pioggia """
"Trieste;3/11/2010;""16"";""13"";""18"";""13"";""82"";""12"";""7"";""17"";""31"";""1018"";""0"";""0"";""pioggia """
"Trieste;4/11/2010;""14"";""12"";""18"";""12"";""89"";""18"";""3"";""5"";""0"";""1027"";""0"";""0"";"""""
"Trieste;5/11/2010;""14"";""12"";""15"";""13"";""93"";""7"";""2"";""4"";""0"";""1028"";""0"";""0"";"""""
"Trieste;6/11/2010;""14"";""13"";""15"";""13"";""89"";""7"";""2"";""6"";""0"";""1019"";""0"";""0"";""pioggia """
"Trieste;7/11/2010;""15"";""13"";""17"";""13"";""88"";""10"";""4"";""8"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Trieste;8/11/2010;""13"";""12"";""16"";""11"";""82"";""9"";""6"";""12"";""0"";""988"";""0"";""0"";""pioggia temporale """
"Trieste;9/11/2010;""12"";""10"";""16"";""9"";""83"";""10"";""5"";""12"";""22"";""986"";""0"";""0"";""pioggia """
"Trieste;10/11/2010;""12"";""11"";""13"";""10"";""86"";""10"";""4"";""8"";""0"";""995"";""0"";""0"";""pioggia temporale """
"Trieste;11/11/2010;""12"";""10"";""15"";""10"";""89"";""11"";""3"";""6"";""0"";""1010"";""0"";""0"";""temporale """
"Trieste;12/11/2010;""12"";""11"";""14"";""11"";""91"";""8"";""2"";""6"";""0"";""1010"";""0"";""0"";"""""
"Trieste;13/11/2010;""13"";""12"";""13"";""11"";""92"";""5"";""1"";""1"";""0"";""1013"";""0"";""0"";"""""
"Trieste;14/11/2010;""13"";""12"";""14"";""12"";""91"";""7"";""1"";""2"";""0"";""1015"";""0"";""0"";"""""
"Trieste;15/11/2010;""14"";""13"";""16"";""13"";""93"";""8"";""2"";""4"";""0"";""1015"";""0"";""0"";"""""
"Trieste;16/11/2010;""15"";""13"";""19"";""13"";""86"";""9"";""4"";""9"";""0"";""1009"";""0"";""0"";""pioggia """
"Trieste;17/11/2010;""13"";""11"";""15"";""12"";""91"";""11"";""2"";""7"";""0"";""1008"";""0"";""0"";""pioggia """
"Trieste;18/11/2010;""12"";""10"";""15"";""10"";""88"";""11"";""3"";""10"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;19/11/2010;""13"";""11"";""15"";""10"";""83"";""11"";""5"";""12"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Trieste;20/11/2010;""12"";""10"";""15"";""8"";""77"";""12"";""3"";""6"";""0"";""1017"";""0"";""0"";"""""
"Trieste;21/11/2010;""13"";""11"";""15"";""10"";""79"";""10"";""8"";""15"";""30"";""1007"";""0"";""0"";""pioggia temporale """
"Trieste;22/11/2010;""13"";""10"";""16"";""10"";""83"";""11"";""4"";""7"";""0"";""998"";""0"";""0"";""pioggia """
"Trieste;23/11/2010;""11"";""9"";""15"";""7"";""79"";""11"";""4"";""7"";""0"";""997"";""0"";""0"";""pioggia """
"Trieste;24/11/2010;""10"";""8"";""13"";""2"";""50"";""15"";""5"";""15"";""0"";""1004"";""0"";""0"";"""""
"Trieste;25/11/2010;""8"";""5"";""13"";""2"";""49"";""20"";""4"";""9"";""0"";""1005"";""0"";""0"";"""""
"Trieste;26/11/2010;""5"";""3"";""7"";""2"";""75"";""11"";""11"";""20"";""37"";""999"";""0"";""0"";""pioggia """
"Trieste;27/11/2010;""7"";""5"";""11"";""2"";""60"";""13"";""4"";""7"";""0"";""1007"";""0"";""0"";"""""
"Trieste;28/11/2010;""6"";""5"";""8"";""3"";""71"";""10"";""19"";""31"";""61"";""1001"";""0"";""0"";""pioggia """
"Trieste;29/11/2010;""7"";""5"";""10"";""5"";""84"";""10"";""8"";""18"";""31"";""1000"";""0"";""0"";""pioggia temporale """
"Trieste;30/11/2010;""7"";""5"";""9"";""2"";""55"";""13"";""15"";""25"";""55"";""1007"";""0"";""0"";"""""
