LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/8/2012;""28"";""25"";""33"";""15"";""45"";""14"";""14"";""28"";""56"";""1014"";""0"";""0"";"""""
"Trieste;2/8/2012;""28"";""24"";""32"";""16"";""47"";""20"";""3"";""9"";""0"";""1013"";""0"";""0"";"""""
"Trieste;3/8/2012;""27"";""23"";""30"";""19"";""59"";""20"";""3"";""6"";""0"";""1012"";""0"";""0"";"""""
"Trieste;4/8/2012;""28"";""24"";""31"";""19"";""56"";""14"";""8"";""22"";""41"";""1012"";""0"";""0"";"""""
"Trieste;5/8/2012;""27"";""23"";""31"";""21"";""68"";""18"";""4"";""9"";""0"";""1011"";""0"";""0"";"""""
"Trieste;6/8/2012;""29"";""25"";""33"";""21"";""57"";""13"";""6"";""15"";""0"";""1012"";""0"";""0"";"""""
"Trieste;7/8/2012;""28"";""26"";""31"";""21"";""64"";""13"";""6"";""11"";""0"";""1016"";""0"";""0"";"""""
"Trieste;8/8/2012;""29"";""24"";""34"";""12"";""35"";""15"";""19"";""28"";""70"";""1016"";""0"";""0"";"""""
"Trieste;9/8/2012;""28"";""24"";""34"";""14"";""39"";""13"";""21"";""37"";""67"";""1017"";""0"";""0"";""pioggia """
"Trieste;10/8/2012;""27"";""23"";""32"";""12"";""39"";""15"";""21"";""37"";""67"";""1017"";""0"";""0"";"""""
"Trieste;11/8/2012;""24"";""19"";""28"";""14"";""54"";""12"";""16"";""28"";""59"";""1016"";""0"";""0"";""pioggia temporale """
"Trieste;12/8/2012;""23"";""19"";""28"";""12"";""50"";""15"";""16"";""32"";""67"";""1014"";""0"";""0"";"""""
"Trieste;13/8/2012;""24"";""20"";""28"";""13"";""50"";""20"";""11"";""26"";""46"";""1013"";""0"";""0"";"""""
"Trieste;14/8/2012;""24"";""21"";""28"";""16"";""57"";""20"";""5"";""13"";""0"";""1013"";""0"";""0"";"""""
"Trieste;15/8/2012;""25"";""21"";""28"";""19"";""69"";""20"";""6"";""37"";""0"";""1013"";""0"";""0"";"""""
"Trieste;16/8/2012;""26"";""24"";""29"";""20"";""70"";""14"";""10"";""33"";""100"";""1013"";""0"";""0"";"""""
"Trieste;17/8/2012;""27"";""24"";""32"";""16"";""49"";""18"";""15"";""26"";""63"";""1016"";""0"";""0"";"""""
"Trieste;18/8/2012;""28"";""24"";""33"";""18"";""52"";""14"";""9"";""22"";""50"";""1018"";""0"";""0"";"""""
"Trieste;19/8/2012;""29"";""25"";""33"";""17"";""47"";""18"";""5"";""11"";""0"";""1020"";""0"";""0"";"""""
"Trieste;20/8/2012;""29"";""26"";""32"";""16"";""43"";""20"";""7"";""22"";""46"";""1019"";""0"";""0"";"""""
"Trieste;21/8/2012;""27"";""23"";""30"";""17"";""52"";""15"";""5"";""7"";""0"";""1016"";""0"";""0"";"""""
"Trieste;22/8/2012;""27"";""23"";""30"";""20"";""63"";""20"";""6"";""9"";""0"";""1015"";""0"";""0"";"""""
"Trieste;23/8/2012;""29"";""24"";""35"";""19"";""57"";""20"";""8"";""24"";""44"";""1014"";""0"";""0"";"""""
"Trieste;24/8/2012;""28"";""25"";""31"";""20"";""61"";""18"";""5"";""9"";""0"";""1011"";""0"";""0"";"""""
"Trieste;25/8/2012;""29"";""26"";""33"";""19"";""54"";""20"";""8"";""15"";""0"";""1010"";""0"";""0"";"""""
"Trieste;26/8/2012;""24"";""17"";""28"";""17"";""66"";""10"";""18"";""46"";""83"";""1009"";""0"";""0"";""pioggia temporale """
"Trieste;27/8/2012;""23"";""18"";""27"";""10"";""44"";""20"";""15"";""28"";""63"";""1018"";""0"";""0"";"""""
"Trieste;28/8/2012;""20"";""18"";""26"";""11"";""54"";""20"";""4"";""6"";""0"";""1020"";""0"";""0"";"""""
"Trieste;29/8/2012;""25"";""20"";""29"";""15"";""51"";""20"";""7"";""9"";""0"";""1017"";""0"";""0"";"""""
"Trieste;30/8/2012;""25"";""22"";""29"";""14"";""47"";""17"";""2"";""4"";""0"";""1016"";""0"";""0"";"""""
"Trieste;31/8/2012;""22"";""19"";""24"";""16"";""70"";""9"";""11"";""17"";""39"";""1011"";""0"";""0"";""pioggia temporale """
