LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/4/2014;""12"";""6"";""17"";""7"";""72"";""6"";""6"";""15"";""0"";""1014"";""0"";""0"";"""""
"Trieste;2/4/2014;""12"";""7"";""17"";""7"";""73"";""9"";""7"";""17"";""0"";""1013"";""0"";""0"";"""""
"Trieste;3/4/2014;""13"";""10"";""16"";""8"";""71"";""10"";""4"";""7"";""0"";""1012"";""0"";""0"";"""""
"Trieste;4/4/2014;""14"";""8"";""19"";""7"";""62"";""10"";""6"";""13"";""0"";""1008"";""0"";""0"";""nebbia """
"Trieste;5/4/2014;""14"";""10"";""17"";""10"";""79"";""9"";""7"";""82"";""0"";""1009"";""0"";""0"";""pioggia """
"Trieste;6/4/2014;""16"";""9"";""23"";""9"";""66"";""10"";""6"";""13"";""0"";""1015"";""0"";""0"";"""""
"Trieste;7/4/2014;""17"";""8"";""24"";""8"";""58"";""10"";""5"";""13"";""0"";""1018"";""0"";""0"";"""""
"Trieste;8/4/2014;""15"";""9"";""21"";""8"";""61"";""10"";""5"";""13"";""0"";""1017"";""0"";""0"";""pioggia """
"Trieste;9/4/2014;""15"";""11"";""20"";""7"";""61"";""10"";""8"";""17"";""0"";""1017"";""0"";""0"";""pioggia nebbia """
"Trieste;10/4/2014;""13"";""8"";""17"";""5"";""58"";""10"";""6"";""15"";""0"";""1018"";""0"";""0"";"""""
"Trieste;11/4/2014;""13"";""7"";""17"";""4"";""57"";""10"";""4"";""9"";""0"";""1017"";""0"";""0"";"""""
"Trieste;12/4/2014;""13"";""10"";""18"";""7"";""64"";""10"";""4"";""13"";""0"";""1017"";""0"";""0"";"""""
"Trieste;13/4/2014;""13"";""9"";""18"";""8"";""69"";""10"";""3"";""9"";""0"";""1017"";""0"";""0"";"""""
"Trieste;14/4/2014;""13"";""7"";""18"";""8"";""75"";""10"";""6"";""17"";""0"";""1014"";""0"";""0"";""temporale nebbia """
"Trieste;15/4/2014;""12"";""7"";""18"";""4"";""50"";""10"";""12"";""28"";""33"";""1013"";""0"";""0"";""pioggia """
"Trieste;16/4/2014;""7"";""2"";""16"";""1"";""47"";""10"";""9"";""20"";""0"";""1020"";""0"";""0"";"""""
"Trieste;17/4/2014;""11"";""4"";""18"";""0"";""34"";""10"";""9"";""19"";""37"";""1018"";""0"";""0"";"""""
"Trieste;18/4/2014;""12"";""3"";""20"";""4"";""51"";""10"";""6"";""13"";""0"";""1009"";""0"";""0"";""pioggia """
"Trieste;19/4/2014;""14"";""10"";""16"";""6"";""58"";""10"";""7"";""28"";""0"";""1006"";""0"";""0"";""pioggia """
"Trieste;20/4/2014;""13"";""10"";""16"";""8"";""74"";""10"";""8"";""17"";""0"";""1007"";""0"";""0"";""pioggia """
"Trieste;21/4/2014;""13"";""11"";""15"";""10"";""82"";""9"";""6"";""15"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Trieste;22/4/2014;""14"";""9"";""18"";""11"";""79"";""10"";""6"";""13"";""0"";""1012"";""0"";""0"";""pioggia nebbia """
"Trieste;23/4/2014;""16"";""9"";""23"";""9"";""65"";""10"";""10"";""28"";""39"";""1015"";""0"";""0"";""pioggia """
"Trieste;24/4/2014;""16"";""13"";""20"";""11"";""70"";""10"";""5"";""11"";""0"";""1014"";""0"";""0"";"""""
"Trieste;25/4/2014;""17"";""10"";""25"";""11"";""67"";""10"";""5"";""15"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;26/4/2014;""17"";""12"";""23"";""12"";""71"";""10"";""5"";""13"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Trieste;27/4/2014;""16"";""12"";""20"";""11"";""75"";""10"";""5"";""11"";""0"";""1005"";""0"";""0"";""pioggia """
"Trieste;28/4/2014;""15"";""14"";""18"";""12"";""81"";""10"";""4"";""7"";""0"";""1004"";""0"";""0"";""pioggia nebbia """
"Trieste;29/4/2014;""16"";""13"";""22"";""11"";""74"";""10"";""6"";""15"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Trieste;30/4/2014;""15"";""10"";""23"";""10"";""70"";""10"";""5"";""20"";""41"";""1008"";""0"";""0"";""pioggia temporale """
