LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/1/2014;""6"";""2"";""12"";""2"";""68"";""10"";""3"";""6"";""0"";""1019"";""0"";""0"";"""""
"Trieste;2/1/2014;""6"";""1"";""9"";""3"";""80"";""8"";""4"";""6"";""0"";""1017"";""0"";""0"";""pioggia nebbia """
"Trieste;3/1/2014;""8"";""7"";""10"";""6"";""86"";""6"";""3"";""6"";""0"";""1019"";""0"";""0"";""pioggia """
"Trieste;4/1/2014;""10"";""7"";""14"";""8"";""91"";""5"";""9"";""30"";""46"";""1016"";""0"";""0"";""pioggia nebbia """
"Trieste;5/1/2014;""12"";""10"";""14"";""10"";""87"";""8"";""8"";""24"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Trieste;6/1/2014;""10"";""6"";""14"";""7"";""79"";""10"";""4"";""9"";""0"";""1018"";""0"";""0"";""nebbia """
"Trieste;7/1/2014;""10"";""6"";""15"";""8"";""86"";""6"";""4"";""7"";""0"";""1024"";""0"";""0"";""nebbia """
"Trieste;8/1/2014;""8"";""6"";""10"";""6"";""86"";""3"";""2"";""4"";""0"";""1026"";""0"";""0"";""nebbia """
"Trieste;9/1/2014;""8"";""7"";""9"";""6"";""88"";""2"";""2"";""4"";""0"";""1022"";""0"";""0"";""nebbia """
"Trieste;10/1/2014;""8"";""7"";""9"";""6"";""84"";""2"";""2"";""4"";""0"";""1019"";""0"";""0"";"""""
"Trieste;11/1/2014;""8"";""6"";""9"";""5"";""84"";""2"";""2"";""4"";""0"";""1022"";""0"";""0"";""nebbia """
"Trieste;12/1/2014;""9"";""8"";""11"";""6"";""84"";""3"";""3"";""7"";""0"";""1023"";""0"";""0"";"""""
"Trieste;13/1/2014;""8"";""8"";""10"";""6"";""83"";""5"";""3"";""7"";""0"";""1020"";""0"";""0"";"""""
"Trieste;14/1/2014;""10"";""8"";""12"";""8"";""87"";""6"";""7"";""22"";""48"";""1008"";""0"";""0"";""pioggia """
"Trieste;15/1/2014;""9"";""6"";""11"";""6"";""81"";""5"";""3"";""6"";""0"";""1011"";""0"";""0"";""nebbia """
"Trieste;16/1/2014;""7"";""5"";""9"";""4"";""80"";""5"";""3"";""7"";""0"";""1015"";""0"";""0"";"""""
"Trieste;17/1/2014;""10"";""7"";""12"";""8"";""86"";""7"";""6"";""17"";""0"";""1011"";""0"";""0"";""pioggia """
"Trieste;18/1/2014;""11"";""10"";""12"";""9"";""89"";""8"";""4"";""9"";""0"";""1009"";""0"";""0"";""pioggia """
"Trieste;19/1/2014;""13"";""11"";""15"";""10"";""82"";""9"";""9"";""17"";""44"";""1004"";""0"";""0"";""pioggia temporale """
"Trieste;20/1/2014;""11"";""8"";""13"";""8"";""83"";""9"";""5"";""13"";""0"";""1001"";""0"";""0"";""pioggia nebbia """
"Trieste;21/1/2014;""9"";""6"";""14"";""5"";""78"";""10"";""3"";""7"";""0"";""1003"";""0"";""0"";""nebbia """
"Trieste;22/1/2014;""9"";""6"";""12"";""5"";""78"";""10"";""3"";""13"";""0"";""1011"";""0"";""0"";"""""
"Trieste;23/1/2014;""9"";""7"";""12"";""6"";""81"";""7"";""3"";""4"";""0"";""1015"";""0"";""0"";""pioggia nebbia """
"Trieste;24/1/2014;""7"";""5"";""8"";""4"";""68"";""9"";""10"";""28"";""46"";""1008"";""0"";""0"";""pioggia """
"Trieste;25/1/2014;""5"";""0"";""10"";""1"";""53"";""10"";""6"";""26"";""0"";""1010"";""0"";""0"";"""""
"Trieste;26/1/2014;""4"";""1"";""8"";""1"";""64"";""10"";""4"";""9"";""0"";""1009"";""0"";""0"";"""""
"Trieste;27/1/2014;""5"";""2"";""8"";""2"";""71"";""9"";""6"";""17"";""0"";""1002"";""0"";""0"";""pioggia """
"Trieste;28/1/2014;""4"";""1"";""7"";""0"";""55"";""10"";""9"";""35"";""63"";""999"";""0"";""0"";"""""
"Trieste;29/1/2014;""3"";""1"";""6"";""0"";""57"";""10"";""4"";""9"";""0"";""1006"";""0"";""0"";"""""
"Trieste;30/1/2014;""5"";""2"";""7"";""2"";""74"";""8"";""15"";""35"";""0"";""992"";""0"";""0"";""pioggia """
"Trieste;31/1/2014;""9"";""6"";""10"";""6"";""81"";""7"";""17"";""28"";""0"";""1011"";""0"";""0"";""pioggia """
