LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/10/2014;""18"";""15"";""22"";""15"";""84"";""8"";""4"";""9"";""0"";""1024"";""0"";""0"";""pioggia """
"Trieste;2/10/2014;""19"";""13"";""25"";""12"";""67"";""10"";""8"";""17"";""0"";""1024"";""0"";""0"";""pioggia """
"Trieste;3/10/2014;""17"";""11"";""24"";""10"";""65"";""10"";""11"";""28"";""32"";""1023"";""0"";""0"";"""""
"Trieste;4/10/2014;""17"";""11"";""22"";""10"";""64"";""10"";""12"";""22"";""0"";""1019"";""0"";""0"";"""""
"Trieste;5/10/2014;""16"";""9"";""22"";""9"";""63"";""10"";""9"";""24"";""0"";""1017"";""0"";""0"";"""""
"Trieste;6/10/2014;""17"";""11"";""24"";""9"";""62"";""10"";""5"";""13"";""0"";""1015"";""0"";""0"";"""""
"Trieste;7/10/2014;""17"";""11"";""22"";""12"";""74"";""10"";""6"";""15"";""0"";""1017"";""0"";""0"";"""""
"Trieste;8/10/2014;""18"";""16"";""21"";""17"";""91"";""8"";""10"";""20"";""43"";""1018"";""0"";""0"";""pioggia """
"Trieste;9/10/2014;""19"";""16"";""23"";""17"";""87"";""9"";""8"";""20"";""0"";""1018"";""0"";""0"";""pioggia """
"Trieste;10/10/2014;""20"";""17"";""24"";""16"";""81"";""10"";""5"";""11"";""0"";""1019"";""0"";""0"";"""""
"Trieste;11/10/2014;""19"";""16"";""23"";""16"";""82"";""10"";""5"";""9"";""0"";""1017"";""0"";""0"";""pioggia nebbia """
"Trieste;12/10/2014;""19"";""14"";""24"";""16"";""82"";""8"";""4"";""9"";""0"";""1016"";""0"";""0"";""nebbia """
"Trieste;13/10/2014;""20"";""17"";""22"";""17"";""85"";""9"";""6"";""30"";""61"";""1014"";""0"";""0"";""pioggia temporale """
"Trieste;14/10/2014;""20"";""17"";""23"";""16"";""82"";""10"";""5"";""15"";""0"";""1012"";""0"";""0"";""temporale nebbia """
"Trieste;15/10/2014;""18"";""15"";""21"";""16"";""88"";""10"";""5"";""11"";""0"";""1009"";""0"";""0"";""pioggia """
"Trieste;16/10/2014;""19"";""17"";""21"";""17"";""88"";""6"";""5"";""13"";""0"";""1012"";""0"";""0"";""nebbia """
"Trieste;17/10/2014;""20"";""18"";""23"";""17"";""87"";""9"";""6"";""11"";""0"";""0"";""0"";""0"";""pioggia """
"Trieste;18/10/2014;""20"";""15"";""25"";""15"";""74"";""10"";""5"";""13"";""0"";""1022"";""0"";""0"";"""""
"Trieste;19/10/2014;""18"";""13"";""24"";""14"";""79"";""10"";""5"";""9"";""0"";""1025"";""0"";""0"";"""""
"Trieste;20/10/2014;""18"";""17"";""20"";""17"";""91"";""8"";""4"";""9"";""0"";""1021"";""0"";""0"";"""""
"Trieste;21/10/2014;""19"";""17"";""21"";""17"";""90"";""4"";""6"";""22"";""0"";""1011"";""0"";""0"";""temporale """
"Trieste;22/10/2014;""13"";""7"";""21"";""8"";""67"";""9"";""14"";""52"";""85"";""1005"";""0"";""0"";""pioggia temporale """
"Trieste;23/10/2014;""10"";""7"";""12"";""4"";""67"";""10"";""6"";""19"";""0"";""1008"";""0"";""0"";"""""
"Trieste;24/10/2014;""13"";""7"";""19"";""8"";""73"";""10"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Trieste;25/10/2014;""12"";""7"";""16"";""4"";""57"";""10"";""14"";""30"";""0"";""1021"";""0"";""0"";"""""
"Trieste;26/10/2014;""11"";""4"";""16"";""3"";""61"";""10"";""13"";""30"";""0"";""1025"";""0"";""0"";"""""
"Trieste;27/10/2014;""9"";""3"";""15"";""2"";""61"";""9"";""14"";""39"";""0"";""1027"";""0"";""0"";"""""
"Trieste;28/10/2014;""9"";""2"";""16"";""2"";""57"";""0"";""10"";""30"";""0"";""1023"";""0"";""0"";"""""
"Trieste;29/10/2014;""8"";""0"";""17"";""2"";""57"";""0"";""4"";""11"";""0"";""1020"";""0"";""0"";"""""
"Trieste;30/10/2014;""10"";""3"";""18"";""3"";""59"";""0"";""6"";""13"";""0"";""1023"";""0"";""0"";"""""
"Trieste;31/10/2014;""10"";""4"";""19"";""4"";""67"";""0"";""3"";""7"";""0"";""1026"";""0"";""0"";"""""
