LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/9/2014;""17"";""13"";""22"";""11"";""73"";""10"";""15"";""35"";""50"";""1007"";""0"";""0"";""pioggia temporale """
"Trieste;2/9/2014;""15"";""12"";""18"";""12"";""80"";""10"";""7"";""20"";""0"";""1011"";""0"";""0"";""pioggia """
"Trieste;3/9/2014;""19"";""15"";""26"";""15"";""80"";""10"";""4"";""7"";""0"";""1012"";""0"";""0"";""pioggia """
"Trieste;4/9/2014;""20"";""18"";""24"";""17"";""84"";""10"";""5"";""11"";""0"";""1014"";""0"";""0"";""pioggia """
"Trieste;5/9/2014;""22"";""18"";""27"";""17"";""75"";""10"";""7"";""17"";""33"";""1013"";""0"";""0"";""pioggia """
"Trieste;6/9/2014;""21"";""16"";""25"";""16"";""74"";""10"";""7"";""24"";""0"";""1011"";""0"";""0"";"""""
"Trieste;7/9/2014;""21"";""16"";""27"";""14"";""66"";""10"";""6"";""13"";""0"";""1013"";""0"";""0"";""pioggia """
"Trieste;8/9/2014;""21"";""15"";""27"";""16"";""73"";""10"";""6"";""9"";""0"";""1016"";""0"";""0"";"""""
"Trieste;9/9/2014;""22"";""16"";""27"";""17"";""77"";""9"";""5"";""13"";""0"";""1015"";""0"";""0"";"""""
"Trieste;10/9/2014;""20"";""18"";""25"";""17"";""80"";""9"";""8"";""19"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Trieste;11/9/2014;""17"";""13"";""19"";""14"";""83"";""9"";""5"";""9"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;12/9/2014;""16"";""12"";""20"";""12"";""81"";""10"";""5"";""13"";""0"";""1011"";""0"";""0"";""pioggia """
"Trieste;13/9/2014;""16"";""13"";""21"";""13"";""82"";""10"";""6"";""15"";""0"";""1015"";""0"";""0"";""pioggia """
"Trieste;14/9/2014;""17"";""12"";""23"";""14"";""81"";""10"";""4"";""9"";""0"";""1015"";""0"";""0"";"""""
"Trieste;15/9/2014;""19"";""12"";""25"";""14"";""76"";""10"";""5"";""15"";""0"";""1015"";""0"";""0"";""pioggia """
"Trieste;16/9/2014;""20"";""16"";""25"";""15"";""72"";""10"";""6"";""19"";""39"";""1016"";""0"";""0"";""pioggia """
"Trieste;17/9/2014;""19"";""13"";""24"";""12"";""64"";""10"";""11"";""28"";""0"";""1016"";""0"";""0"";"""""
"Trieste;18/9/2014;""19"";""13"";""24"";""12"";""67"";""10"";""5"";""13"";""0"";""1017"";""0"";""0"";"""""
"Trieste;19/9/2014;""18"";""14"";""22"";""15"";""81"";""9"";""3"";""9"";""0"";""1019"";""0"";""0"";""pioggia """
"Trieste;20/9/2014;""20"";""18"";""22"";""19"";""93"";""7"";""6"";""15"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Trieste;21/9/2014;""21"";""18"";""24"";""18"";""86"";""8"";""5"";""11"";""0"";""1014"";""0"";""0"";""pioggia temporale nebbia """
"Trieste;22/9/2014;""19"";""13"";""25"";""14"";""75"";""9"";""11"";""37"";""63"";""1009"";""0"";""0"";""pioggia temporale """
"Trieste;23/9/2014;""15"";""8"";""21"";""8"";""67"";""10"";""6"";""13"";""0"";""1016"";""0"";""0"";"""""
"Trieste;24/9/2014;""16"";""11"";""20"";""10"";""71"";""10"";""5"";""11"";""0"";""1017"";""0"";""0"";"""""
"Trieste;25/9/2014;""16"";""11"";""21"";""11"";""72"";""10"";""7"";""19"";""0"";""1017"";""0"";""0"";""pioggia """
"Trieste;26/9/2014;""15"";""8"";""22"";""8"";""66"";""10"";""5"";""11"";""0"";""1022"";""0"";""0"";"""""
"Trieste;27/9/2014;""17"";""10"";""25"";""12"";""74"";""8"";""4"";""9"";""0"";""1025"";""0"";""0"";"""""
"Trieste;28/9/2014;""18"";""12"";""24"";""12"";""72"";""10"";""5"";""9"";""0"";""1028"";""0"";""0"";""nebbia """
"Trieste;29/9/2014;""17"";""11"";""23"";""13"";""78"";""8"";""5"";""11"";""0"";""1028"";""0"";""0"";""nebbia """
"Trieste;30/9/2014;""18"";""13"";""23"";""15"";""82"";""8"";""6"";""9"";""0"";""1026"";""0"";""0"";"""""
