LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/6/2016;""18"";""14"";""21"";""13"";""71"";""10"";""4"";""13"";""0"";""1013"";""0"";""0"";"""""
"Trieste;2/6/2016;""18"";""16"";""21"";""15"";""81"";""10"";""6"";""15"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Trieste;3/6/2016;""19"";""12"";""23"";""14"";""73"";""10"";""5"";""13"";""0"";""1011"";""0"";""0"";"""""
"Trieste;4/6/2016;""21"";""15"";""24"";""16"";""74"";""10"";""6"";""13"";""0"";""1012"";""0"";""0"";"""""
"Trieste;5/6/2016;""21"";""15"";""24"";""16"";""73"";""10"";""5"";""13"";""0"";""1014"";""0"";""0"";""temporale """
"Trieste;6/6/2016;""22"";""16"";""26"";""16"";""67"";""10"";""7"";""19"";""0"";""1017"";""0"";""0"";""temporale """
"Trieste;7/6/2016;""24"";""15"";""29"";""16"";""62"";""10"";""7"";""20"";""0"";""1019"";""0"";""0"";""temporale """
"Trieste;8/6/2016;""22"";""17"";""27"";""16"";""72"";""10"";""6"";""13"";""0"";""1016"";""0"";""0"";""pioggia """
"Trieste;9/6/2016;""18"";""17"";""20"";""16"";""86"";""9"";""5"";""9"";""0"";""1012"";""0"";""0"";""pioggia """
"Trieste;10/6/2016;""20"";""16"";""24"";""15"";""70"";""10"";""7"";""13"";""0"";""1011"";""0"";""0"";""pioggia """
"Trieste;11/6/2016;""20"";""15"";""23"";""17"";""83"";""10"";""9"";""20"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Trieste;12/6/2016;""20"";""15"";""25"";""15"";""76"";""10"";""8"";""17"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Trieste;13/6/2016;""21"";""15"";""26"";""15"";""69"";""10"";""6"";""13"";""0"";""1003"";""0"";""0"";""pioggia temporale """
"Trieste;14/6/2016;""19"";""16"";""21"";""16"";""80"";""10"";""5"";""11"";""0"";""1001"";""0"";""0"";""pioggia """
"Trieste;15/6/2016;""20"";""16"";""24"";""16"";""79"";""9"";""11"";""20"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Trieste;16/6/2016;""23"";""21"";""25"";""18"";""73"";""10"";""8"";""15"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Trieste;17/6/2016;""23"";""19"";""25"";""14"";""59"";""10"";""14"";""22"";""0"";""1011"";""0"";""0"";"""""
"Trieste;18/6/2016;""22"";""17"";""25"";""13"";""54"";""10"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Trieste;19/6/2016;""22"";""14"";""26"";""13"";""56"";""10"";""15"";""39"";""46"";""1015"";""0"";""0"";"""""
"Trieste;20/6/2016;""20"";""16"";""23"";""15"";""72"";""10"";""5"";""15"";""0"";""1017"";""0"";""0"";""pioggia """
"Trieste;21/6/2016;""23"";""15"";""27"";""16"";""64"";""10"";""6"";""11"";""0"";""1021"";""0"";""0"";"""""
"Trieste;22/6/2016;""27"";""17"";""31"";""17"";""57"";""10"";""14"";""30"";""0"";""1021"";""0"";""0"";"""""
"Trieste;23/6/2016;""29"";""22"";""33"";""20"";""57"";""10"";""16"";""28"";""44"";""1019"";""0"";""0"";"""""
"Trieste;24/6/2016;""30"";""23"";""35"";""22"";""61"";""10"";""7"";""17"";""0"";""1014"";""0"";""0"";"""""
"Trieste;25/6/2016;""29"";""22"";""33"";""23"";""67"";""10"";""7"";""20"";""0"";""1009"";""0"";""0"";""temporale """
"Trieste;26/6/2016;""24"";""20"";""30"";""19"";""71"";""10"";""9"";""19"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Trieste;27/6/2016;""24"";""19"";""27"";""15"";""59"";""10"";""13"";""28"";""50"";""1013"";""0"";""0"";""temporale """
"Trieste;28/6/2016;""23"";""14"";""28"";""14"";""54"";""10"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Trieste;29/6/2016;""25"";""16"";""30"";""15"";""54"";""10"";""6"";""13"";""0"";""1015"";""0"";""0"";"""""
"Trieste;30/6/2016;""25"";""16"";""30"";""17"";""58"";""10"";""5"";""11"";""0"";""1014"";""0"";""0"";"""""
