LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/3/2017;""9"";""5"";""13"";""5"";""76"";""20"";""4"";""18"";""0"";""1008"";""0"";""0"";""pioggia """
"Trieste;2/3/2017;""9"";""5"";""15"";""5"";""72"";""18"";""1"";""4"";""0"";""1015"";""0"";""0"";"""""
"Trieste;3/3/2017;""11"";""8"";""14"";""6"";""73"";""18"";""1"";""8"";""0"";""1018"";""0"";""0"";"""""
"Trieste;4/3/2017;""12"";""9"";""14"";""7"";""75"";""18"";""5"";""11"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;5/3/2017;""10"";""9"";""12"";""7"";""77"";""21"";""2"";""5"";""0"";""1009"";""0"";""0"";""pioggia """
"Trieste;6/3/2017;""10"";""8"";""14"";""6"";""76"";""20"";""3"";""9"";""0"";""1005"";""0"";""0"";""pioggia """
"Trieste;7/3/2017;""11"";""8"";""16"";""3"";""44"";""19"";""7"";""24"";""0"";""1005"";""0"";""0"";"""""
"Trieste;8/3/2017;""12"";""6"";""16"";""0"";""34"";""20"";""8"";""22"";""0"";""1018"";""0"";""0"";"""""
"Trieste;9/3/2017;""12"";""9"";""14"";""5"";""51"";""18"";""6"";""21"";""0"";""1018"";""0"";""0"";"""""
"Trieste;10/3/2017;""13"";""8"";""17"";""4"";""37"";""21"";""7"";""15"";""0"";""1015"";""0"";""0"";"""""
"Trieste;11/3/2017;""11"";""9"";""14"";""2"";""39"";""20"";""4"";""17"";""0"";""1019"";""0"";""0"";"""""
"Trieste;12/3/2017;""10"";""8"";""15"";""4"";""50"";""18"";""7"";""22"";""0"";""1016"";""0"";""0"";"""""
"Trieste;13/3/2017;""10"";""7"";""13"";""4"";""54"";""21"";""10"";""24"";""0"";""1022"";""0"";""0"";"""""
"Trieste;14/3/2017;""9"";""6"";""13"";""4"";""68"";""21"";""1"";""2"";""0"";""1027"";""0"";""0"";"""""
"Trieste;15/3/2017;""12"";""8"";""15"";""5"";""56"";""18"";""2"";""8"";""0"";""1027"";""0"";""0"";"""""
"Trieste;16/3/2017;""11"";""7"";""15"";""5"";""68"";""18"";""1"";""4"";""0"";""1023"";""0"";""0"";"""""
"Trieste;17/3/2017;""11"";""7"";""15"";""6"";""74"";""9"";""0"";""2"";""0"";""1018"";""0"";""0"";"""""
"Trieste;18/3/2017;""12"";""8"";""16"";""7"";""71"";""17"";""2"";""8"";""0"";""1010"";""0"";""0"";"""""
"Trieste;19/3/2017;""12"";""10"";""15"";""9"";""82"";""19"";""0"";""5"";""0"";""1011"";""0"";""0"";"""""
"Trieste;20/3/2017;""12"";""9"";""15"";""9"";""84"";""13"";""1"";""9"";""0"";""1013"";""0"";""0"";""nebbia """
"Trieste;21/3/2017;""12"";""10"";""13"";""9"";""86"";""9"";""0"";""2"";""0"";""1012"";""0"";""0"";""nebbia """
"Trieste;22/3/2017;""12"";""10"";""13"";""10"";""88"";""7"";""0"";""4"";""0"";""1012"";""0"";""0"";""pioggia """
"Trieste;23/3/2017;""13"";""11"";""17"";""10"";""78"";""19"";""0"";""2"";""0"";""1017"";""0"";""0"";"""""
"Trieste;24/3/2017;""13"";""9"";""18"";""8"";""74"";""19"";""0"";""2"";""0"";""1022"";""0"";""0"";"""""
"Trieste;25/3/2017;""16"";""11"";""22"";""5"";""50"";""20"";""13"";""31"";""0"";""1019"";""0"";""0"";"""""
"Trieste;26/3/2017;""12"";""8"";""16"";""6"";""52"";""20"";""10"";""26"";""0"";""1017"";""0"";""0"";"""""
"Trieste;27/3/2017;""13"";""8"";""19"";""7"";""38"";""18"";""7"";""15"";""0"";""1024"";""0"";""0"";"""""
"Trieste;28/3/2017;""13"";""10"";""18"";""4"";""46"";""20"";""2"";""5"";""0"";""1023"";""0"";""0"";"""""
"Trieste;29/3/2017;""14"";""6"";""22"";""5"";""55"";""22"";""1"";""5"";""0"";""1022"";""0"";""0"";"""""
"Trieste;30/3/2017;""17"";""11"";""22"";""6"";""49"";""19"";""2"";""17"";""0"";""1024"";""0"";""0"";"""""
"Trieste;31/3/2017;""15"";""12"";""19"";""8"";""61"";""19"";""0"";""2"";""0"";""1022"";""0"";""0"";"""""
