LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/2/2018;""11"";""8"";""12"";""6"";""69"";""14"";""8"";""18"";""0"";""1007"";""0"";""0"";""pioggia """
"Trieste;2/2/2018;""6"";""3"";""9"";""3"";""83"";""9"";""23"";""35"";""0"";""1004"";""0"";""0"";""pioggia """
"Trieste;3/2/2018;""4"";""2"";""5"";""0"";""70"";""13"";""28"";""37"";""0"";""1000"";""0"";""0"";""pioggia neve """
"Trieste;4/2/2018;""8"";""4"";""10"";""0"";""50"";""18"";""7"";""13"";""0"";""1014"";""0"";""0"";"""""
"Trieste;5/2/2018;""7"";""3"";""10"";""0"";""53"";""20"";""13"";""24"";""0"";""1022"";""0"";""0"";"""""
"Trieste;6/2/2018;""7"";""4"";""10"";""1"";""53"";""17"";""19"";""24"";""0"";""1015"";""0"";""0"";""pioggia """
"Trieste;7/2/2018;""4"";""2"";""6"";""1"";""74"";""18"";""26"";""42"";""0"";""1005"";""0"";""0"";""pioggia """
"Trieste;8/2/2018;""9"";""7"";""11"";""5"";""74"";""20"";""1"";""5"";""0"";""1013"";""0"";""0"";"""""
"Trieste;9/2/2018;""9"";""7"";""11"";""4"";""71"";""20"";""2"";""9"";""0"";""1015"";""0"";""0"";"""""
"Trieste;10/2/2018;""7"";""5"";""8"";""1"";""59"";""21"";""21"";""30"";""0"";""1012"";""0"";""0"";"""""
"Trieste;11/2/2018;""7"";""4"";""10"";""0"";""51"";""19"";""5"";""11"";""0"";""1011"";""0"";""0"";"""""
"Trieste;12/2/2018;""5"";""3"";""6"";""1"";""73"";""18"";""11"";""24"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;13/2/2018;""5"";""3"";""7"";""0"";""55"";""20"";""10"";""18"";""0"";""1011"";""0"";""0"";"""""
"Trieste;14/2/2018;""6"";""2"";""9"";""0"";""43"";""22"";""8"";""15"";""0"";""1014"";""0"";""0"";"""""
"Trieste;15/2/2018;""6"";""2"";""9"";""0"";""46"";""18"";""10"";""18"";""0"";""1022"";""0"";""0"";"""""
"Trieste;16/2/2018;""6"";""1"";""9"";""1"";""58"";""22"";""1"";""2"";""0"";""1024"";""0"";""0"";"""""
"Trieste;17/2/2018;""9"";""6"";""13"";""4"";""63"";""18"";""5"";""18"";""0"";""1021"";""0"";""0"";"""""
"Trieste;18/2/2018;""6"";""6"";""7"";""2"";""61"";""22"";""30"";""37"";""0"";""1019"";""0"";""0"";""pioggia """
"Trieste;19/2/2018;""4"";""3"";""5"";""0"";""55"";""20"";""28"";""33"";""0"";""1017"";""0"";""0"";"""""
"Trieste;20/2/2018;""5"";""4"";""6"";""0"";""53"";""21"";""28"";""33"";""0"";""1009"";""0"";""0"";"""""
"Trieste;21/2/2018;""6"";""5"";""6"";""0"";""51"";""23"";""42"";""48"";""0"";""1008"";""0"";""0"";"""""
Trieste;22/2/2018;;;;;;;;;;;;;
Trieste;23/2/2018;;;;;;;;;;;;;
"Trieste;24/2/2018;""6"";""4"";""6"";""0"";""49"";""22"";""45"";""48"";""0"";""1010"";""0"";""0"";"""""
Trieste;25/2/2018;;;;;;;;;;;;;
Trieste;26/2/2018;;;;;;;;;;;;;
"Trieste;27/2/2018;""-3"";""-4"";""-2"";""0"";""43"";""17"";""9"";""15"";""0"";""1009"";""0"";""0"";"""""
Trieste;28/2/2018;;;;;;;;;;;;;
