LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/12/2019;""9"";""7"";""11"";""3"";""58"";""17"";""0"";""0"";""0"";""1020"";""0"";""0"";""pioggia """
"Trieste;2/12/2019;""11"";""9"";""13"";""9"";""87"";""19"";""3"";""37"";""0"";""1014"";""0"";""0"";""pioggia """
"Trieste;3/12/2019;""7"";""6"";""9"";""0"";""43"";""21"";""0"";""0"";""0"";""1024"";""0"";""0"";"""""
"Trieste;4/12/2019;""7"";""4"";""9"";""0"";""43"";""20"";""0"";""0"";""0"";""1024"";""0"";""0"";"""""
"Trieste;5/12/2019;""9"";""5"";""13"";""3"";""56"";""19"";""0"";""0"";""0"";""1025"";""0"";""0"";"""""
"Trieste;6/12/2019;""10"";""9"";""11"";""6"";""75"";""25"";""0"";""0"";""0"";""1023"";""0"";""0"";"""""
"Trieste;7/12/2019;""10"";""8"";""12"";""6"";""78"";""18"";""0"";""0"";""0"";""1018"";""0"";""0"";"""""
"Trieste;8/12/2019;""10"";""8"";""11"";""7"";""85"";""21"";""1"";""13"";""0"";""1019"";""0"";""0"";"""""
"Trieste;9/12/2019;""11"";""9"";""12"";""10"";""92"";""10"";""0"";""0"";""0"";""1007"";""0"";""0"";""pioggia """
"Trieste;10/12/2019;""11"";""9"";""15"";""2"";""44"";""16"";""0"";""0"";""0"";""1016"";""0"";""0"";"""""
"Trieste;11/12/2019;""6"";""5"";""8"";""0"";""34"";""17"";""0"";""0"";""0"";""1015"";""0"";""0"";"""""
"Trieste;12/12/2019;""4"";""3"";""6"";""1"";""69"";""17"";""0"";""0"";""0"";""1004"";""0"";""0"";""pioggia """
"Trieste;13/12/2019;""6"";""5"";""9"";""5"";""90"";""12"";""0"";""0"";""0"";""989"";""0"";""0"";""pioggia """
"Trieste;14/12/2019;""10"";""6"";""14"";""4"";""68"";""21"";""0"";""0"";""0"";""1002"";""0"";""0"";"""""
"Trieste;15/12/2019;""13"";""10"";""15"";""11"";""87"";""19"";""0"";""0"";""0"";""1014"";""0"";""0"";"""""
"Trieste;16/12/2019;""13"";""11"";""14"";""12"";""92"";""21"";""0"";""0"";""0"";""1020"";""0"";""0"";"""""
"Trieste;17/12/2019;""15"";""13"";""17"";""13"";""84"";""20"";""0"";""0"";""0"";""1020"";""0"";""0"";"""""
"Trieste;18/12/2019;""16"";""15"";""17"";""13"";""82"";""21"";""0"";""0"";""0"";""1023"";""0"";""0"";""pioggia """
"Trieste;19/12/2019;""16"";""14"";""17"";""12"";""81"";""17"";""0"";""0"";""0"";""1020"";""0"";""0"";""pioggia """
"Trieste;20/12/2019;""14"";""12"";""15"";""11"";""82"";""16"";""0"";""0"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;21/12/2019;""14"";""12"";""17"";""13"";""89"";""21"";""0"";""0"";""0"";""991"";""0"";""0"";""pioggia """
"Trieste;22/12/2019;""10"";""8"";""12"";""8"";""83"";""13"";""0"";""0"";""0"";""985"";""0"";""0"";""pioggia """
"Trieste;23/12/2019;""11"";""8"";""12"";""9"";""91"";""23"";""0"";""0"";""0"";""1002"";""0"";""0"";"""""
"Trieste;24/12/2019;""9"";""6"";""12"";""7"";""82"";""19"";""0"";""0"";""0"";""1014"";""0"";""0"";"""""
"Trieste;25/12/2019;""8"";""5"";""11"";""6"";""85"";""19"";""0"";""0"";""0"";""1014"";""0"";""0"";"""""
"Trieste;26/12/2019;""10"";""8"";""13"";""4"";""61"";""21"";""0"";""0"";""0"";""1021"";""0"";""0"";"""""
"Trieste;27/12/2019;""9"";""6"";""11"";""4"";""71"";""19"";""0"";""0"";""0"";""1021"";""0"";""0"";"""""
"Trieste;28/12/2019;""8"";""5"";""12"";""1"";""42"";""20"";""0"";""0"";""0"";""1029"";""0"";""0"";"""""
"Trieste;29/12/2019;""4"";""2"";""7"";""0"";""43"";""19"";""0"";""0"";""0"";""1034"";""0"";""0"";"""""
"Trieste;30/12/2019;""6"";""2"";""10"";""0"";""37"";""18"";""0"";""0"";""0"";""1035"";""0"";""0"";"""""
"Trieste;31/12/2019;""8"";""4"";""11"";""1"";""57"";""20"";""0"";""0"";""0"";""1029"";""0"";""0"";"""""
