LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Trieste;1/5/2019;""16"";""12"";""18"";""10"";""67"";""21"";""2"";""5"";""0"";""1012"";""0"";""0"";"""""
"Trieste;2/5/2019;""18"";""14"";""20"";""10"";""61"";""22"";""3"";""11"";""0"";""1012"";""0"";""0"";"""""
"Trieste;3/5/2019;""14"";""12"";""16"";""12"";""88"";""18"";""3"";""9"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Trieste;4/5/2019;""14"";""12"";""17"";""12"";""83"";""21"";""2"";""5"";""0"";""1004"";""0"";""0"";""pioggia """
"Trieste;5/5/2019;""10"";""9"";""10"";""3"";""65"";""19"";""33"";""44"";""0"";""1001"";""0"";""0"";""pioggia """
"Trieste;6/5/2019;""13"";""10"";""15"";""4"";""57"";""21"";""5"";""13"";""0"";""1011"";""0"";""0"";"""""
"Trieste;7/5/2019;""13"";""10"";""15"";""4"";""54"";""22"";""2"";""5"";""0"";""1019"";""0"";""0"";"""""
"Trieste;8/5/2019;""15"";""12"";""16"";""9"";""68"";""21"";""2"";""8"";""0"";""1015"";""0"";""0"";""pioggia """
"Trieste;9/5/2019;""13"";""12"";""15"";""11"";""86"";""10"";""1"";""4"";""0"";""1004"";""0"";""0"";""pioggia """
"Trieste;10/5/2019;""16"";""12"";""18"";""12"";""75"";""22"";""1"";""2"";""0"";""1011"";""0"";""0"";"""""
"Trieste;11/5/2019;""17"";""14"";""18"";""13"";""76"";""20"";""2"";""5"";""0"";""1013"";""0"";""0"";"""""
"Trieste;12/5/2019;""14"";""13"";""16"";""8"";""66"";""18"";""10"";""21"";""0"";""1012"";""0"";""0"";""pioggia """
"Trieste;13/5/2019;""15"";""14"";""16"";""4"";""46"";""20"";""18"";""33"";""0"";""1017"";""0"";""0"";"""""
"Trieste;14/5/2019;""12"";""10"";""13"";""1"";""46"";""20"";""27"";""37"";""0"";""1018"";""0"";""0"";"""""
"Trieste;15/5/2019;""13"";""10"";""15"";""6"";""60"";""18"";""8"";""11"";""0"";""1013"";""0"";""0"";"""""
"Trieste;16/5/2019;""17"";""13"";""19"";""9"";""59"";""23"";""7"";""13"";""0"";""1011"";""0"";""0"";"""""
"Trieste;17/5/2019;""16"";""14"";""17"";""11"";""70"";""20"";""3"";""15"";""0"";""1010"";""0"";""0"";"""""
"Trieste;18/5/2019;""16"";""15"";""19"";""12"";""77"";""15"";""16"";""74"";""0"";""1007"";""0"";""0"";""pioggia """
"Trieste;19/5/2019;""15"";""14"";""16"";""14"";""93"";""19"";""3"";""5"";""0"";""1005"";""0"";""0"";""pioggia """
"Trieste;20/5/2019;""15"";""14"";""17"";""13"";""88"";""18"";""4"";""8"";""0"";""1005"";""0"";""0"";""pioggia """
"Trieste;21/5/2019;""15"";""13"";""17"";""13"";""89"";""16"";""4"";""8"";""0"";""1009"";""0"";""0"";""pioggia """
"Trieste;22/5/2019;""18"";""15"";""19"";""15"";""83"";""21"";""3"";""9"";""0"";""1014"";""0"";""0"";"""""
"Trieste;23/5/2019;""19"";""16"";""21"";""15"";""79"";""21"";""2"";""5"";""0"";""1014"";""0"";""0"";"""""
"Trieste;24/5/2019;""21"";""18"";""23"";""15"";""67"";""20"";""4"";""18"";""0"";""1013"";""0"";""0"";"""""
"Trieste;25/5/2019;""21"";""18"";""23"";""15"";""68"";""20"";""3"";""5"";""0"";""1013"";""0"";""0"";"""""
"Trieste;26/5/2019;""20"";""18"";""21"";""16"";""80"";""20"";""4"";""8"";""0"";""1014"";""0"";""0"";""pioggia """
"Trieste;27/5/2019;""16"";""15"";""17"";""15"";""91"";""13"";""8"";""13"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;28/5/2019;""18"";""16"";""20"";""16"";""86"";""22"";""1"";""8"";""0"";""1003"";""0"";""0"";"""""
"Trieste;29/5/2019;""15"";""15"";""16"";""11"";""73"";""21"";""19"";""41"";""0"";""1010"";""0"";""0"";""pioggia """
"Trieste;30/5/2019;""17"";""15"";""19"";""8"";""56"";""18"";""9"";""18"";""0"";""1021"";""0"";""0"";"""""
"Trieste;31/5/2019;""19"";""15"";""21"";""14"";""72"";""21"";""3"";""5"";""0"";""1022"";""0"";""0"";"""""
