LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/6/2010;""20"";""13"";""26"";""13"";""65"";""14"";""9"";""17"";""0"";""1007"";""0"";""0"";"""""
"Venezia;2/6/2010;""19"";""16"";""23"";""14"";""74"";""10"";""6"";""20"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Venezia;3/6/2010;""19"";""15"";""23"";""14"";""73"";""11"";""6"";""13"";""0"";""1010"";""0"";""0"";"""""
"Venezia;4/6/2010;""21"";""18"";""25"";""15"";""65"";""14"";""6"";""12"";""0"";""1015"";""0"";""0"";""pioggia """
"Venezia;5/6/2010;""22"";""17"";""26"";""16"";""70"";""13"";""4"";""8"";""0"";""1019"";""0"";""0"";"""""
"Venezia;6/6/2010;""23"";""18"";""27"";""17"";""71"";""11"";""5"";""10"";""0"";""1016"";""0"";""0"";"""""
"Venezia;7/6/2010;""23"";""19"";""26"";""18"";""75"";""11"";""4"";""7"";""0"";""1012"";""0"";""0"";"""""
"Venezia;8/6/2010;""24"";""20"";""27"";""19"";""76"";""10"";""5"";""12"";""0"";""1011"";""0"";""0"";"""""
"Venezia;9/6/2010;""24"";""22"";""27"";""20"";""77"";""11"";""7"";""10"";""0"";""1012"";""0"";""0"";"""""
"Venezia;10/6/2010;""24"";""20"";""27"";""19"";""71"";""19"";""7"";""62"";""0"";""1013"";""0"";""0"";"""""
"Venezia;11/6/2010;""24"";""20"";""28"";""20"";""73"";""14"";""5"";""9"";""0"";""1012"";""0"";""0"";"""""
"Venezia;12/6/2010;""25"";""20"";""29"";""20"";""72"";""10"";""5"";""9"";""0"";""1011"";""0"";""0"";"""""
"Venezia;13/6/2010;""25"";""21"";""28"";""21"";""81"";""10"";""6"";""20"";""52"";""1010"";""0"";""0"";""pioggia temporale """
"Venezia;14/6/2010;""23"";""19"";""28"";""17"";""68"";""13"";""9"";""16"";""0"";""1011"";""0"";""0"";"""""
"Venezia;15/6/2010;""22"";""19"";""24"";""18"";""82"";""10"";""8"";""13"";""0"";""1014"";""0"";""0"";""pioggia """
"Venezia;16/6/2010;""21"";""19"";""23"";""19"";""88"";""10"";""6"";""15"";""0"";""1012"";""0"";""0"";""pioggia """
"Venezia;17/6/2010;""21"";""18"";""25"";""18"";""82"";""12"";""5"";""15"";""31"";""1014"";""0"";""0"";""pioggia """
"Venezia;18/6/2010;""22"";""16"";""27"";""16"";""71"";""12"";""6"";""13"";""0"";""1009"";""0"";""0"";"""""
"Venezia;19/6/2010;""19"";""16"";""23"";""16"";""82"";""11"";""8"";""13"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Venezia;20/6/2010;""15"";""14"";""17"";""13"";""86"";""9"";""15"";""27"";""0"";""1001"";""0"";""0"";""pioggia temporale """
"Venezia;21/6/2010;""17"";""16"";""19"";""12"";""71"";""12"";""5"";""13"";""0"";""1007"";""0"";""0"";""pioggia """
"Venezia;22/6/2010;""21"";""14"";""26"";""12"";""58"";""15"";""4"";""7"";""0"";""1013"";""0"";""0"";"""""
"Venezia;23/6/2010;""22"";""18"";""25"";""14"";""59"";""17"";""5"";""9"";""0"";""1016"";""0"";""0"";"""""
"Venezia;24/6/2010;""22"";""18"";""25"";""15"";""65"";""13"";""7"";""76"";""0"";""1015"";""0"";""0"";"""""
"Venezia;25/6/2010;""22"";""18"";""26"";""16"";""66"";""13"";""5"";""9"";""0"";""1014"";""0"";""0"";"""""
"Venezia;26/6/2010;""23"";""19"";""27"";""18"";""74"";""10"";""5"";""9"";""0"";""1013"";""0"";""0"";"""""
"Venezia;27/6/2010;""25"";""20"";""28"";""19"";""69"";""11"";""5"";""9"";""0"";""1015"";""0"";""0"";"""""
"Venezia;28/6/2010;""25"";""20"";""28"";""19"";""70"";""11"";""4"";""9"";""0"";""1016"";""0"";""0"";"""""
"Venezia;29/6/2010;""26"";""23"";""29"";""20"";""68"";""11"";""4"";""8"";""0"";""1016"";""0"";""0"";"""""
"Venezia;30/6/2010;""27"";""22"";""32"";""21"";""67"";""11"";""4"";""9"";""0"";""1015"";""0"";""0"";"""""
