LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/5/2010;""18"";""13"";""24"";""14"";""76"";""9"";""6"";""14"";""0"";""1013"";""0"";""0"";"""""
"Venezia;2/5/2010;""17"";""13"";""20"";""13"";""77"";""10"";""7"";""16"";""0"";""1011"";""0"";""0"";""pioggia """
"Venezia;3/5/2010;""18"";""13"";""21"";""16"";""90"";""8"";""7"";""14"";""0"";""1008"";""0"";""0"";""pioggia """
"Venezia;4/5/2010;""17"";""14"";""18"";""16"";""95"";""8"";""12"";""21"";""0"";""0"";""0"";""0"";""pioggia """
"Venezia;5/5/2010;""17"";""15"";""20"";""14"";""80"";""10"";""12"";""24"";""32"";""1005"";""0"";""0"";""pioggia temporale """
"Venezia;6/5/2010;""15"";""12"";""19"";""12"";""80"";""9"";""8"";""15"";""0"";""1003"";""0"";""0"";""pioggia temporale """
"Venezia;7/5/2010;""14"";""8"";""18"";""9"";""75"";""9"";""5"";""12"";""0"";""1008"";""0"";""0"";""pioggia nebbia """
"Venezia;8/5/2010;""14"";""11"";""18"";""11"";""79"";""11"";""5"";""13"";""0"";""1009"";""0"";""0"";""pioggia """
"Venezia;9/5/2010;""15"";""10"";""20"";""12"";""79"";""9"";""5"";""9"";""0"";""1011"";""0"";""0"";""pioggia """
"Venezia;10/5/2010;""16"";""13"";""19"";""14"";""87"";""9"";""4"";""12"";""0"";""1009"";""0"";""0"";""pioggia """
"Venezia;11/5/2010;""16"";""14"";""18"";""15"";""94"";""8"";""7"";""14"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Venezia;12/5/2010;""16"";""13"";""20"";""15"";""88"";""8"";""5"";""18"";""0"";""1007"";""0"";""0"";""pioggia temporale nebbia """
"Venezia;13/5/2010;""16"";""13"";""20"";""13"";""84"";""11"";""5"";""13"";""33"";""1006"";""0"";""0"";""pioggia temporale """
"Venezia;14/5/2010;""16"";""11"";""21"";""12"";""76"";""8"";""7"";""14"";""0"";""1006"";""0"";""0"";""nebbia """
"Venezia;15/5/2010;""14"";""12"";""15"";""12"";""87"";""9"";""6"";""14"";""0"";""1000"";""0"";""0"";""pioggia """
"Venezia;16/5/2010;""17"";""13"";""20"";""11"";""69"";""13"";""8"";""13"";""15"";""1006"";""0"";""0"";"""""
"Venezia;17/5/2010;""18"";""13"";""22"";""12"";""71"";""11"";""6"";""13"";""0"";""1013"";""0"";""0"";"""""
"Venezia;18/5/2010;""18"";""12"";""24"";""11"";""68"";""9"";""7"";""20"";""0"";""1016"";""0"";""0"";"""""
"Venezia;19/5/2010;""17"";""13"";""21"";""6"";""45"";""19"";""6"";""14"";""0"";""1018"";""0"";""0"";"""""
"Venezia;20/5/2010;""18"";""14"";""20"";""9"";""56"";""17"";""5"";""9"";""0"";""1020"";""0"";""0"";"""""
"Venezia;21/5/2010;""19"";""13"";""24"";""11"";""59"";""13"";""5"";""12"";""0"";""1020"";""0"";""0"";"""""
"Venezia;22/5/2010;""20"";""15"";""26"";""11"";""57"";""14"";""4"";""9"";""0"";""1018"";""0"";""0"";"""""
"Venezia;23/5/2010;""21"";""15"";""25"";""14"";""67"";""13"";""4"";""8"";""0"";""1017"";""0"";""0"";"""""
"Venezia;24/5/2010;""3"";""0"";""25"";""16"";""64"";""2"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Venezia;25/5/2010;""21"";""17"";""26"";""16"";""73"";""13"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Venezia;26/5/2010;""21"";""16"";""26"";""16"";""73"";""11"";""7"";""17"";""0"";""1011"";""0"";""0"";"""""
"Venezia;27/5/2010;""20"";""16"";""24"";""14"";""69"";""13"";""5"";""10"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Venezia;28/5/2010;""20"";""17"";""23"";""16"";""73"";""11"";""4"";""8"";""0"";""1013"";""0"";""0"";"""""
"Venezia;29/5/2010;""20"";""16"";""24"";""17"";""83"";""8"";""4"";""8"";""0"";""1016"";""0"";""0"";""pioggia """
"Venezia;30/5/2010;""20"";""15"";""23"";""16"";""77"";""10"";""4"";""13"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Venezia;31/5/2010;""19"";""16"";""23"";""14"";""71"";""11"";""9"";""18"";""0"";""1005"";""0"";""0"";"""""
