LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/1/2011;""2"";""-1"";""4"";""1"";""89"";""4"";""1"";""4"";""0"";""1020"";""0"";""0"";"""""
"Venezia;2/1/2011;""3"";""1"";""7"";""1"";""88"";""6"";""4"";""9"";""0"";""1015"";""0"";""0"";"""""
"Venezia;3/1/2011;""2"";""-1"";""6"";""0"";""63"";""19"";""5"";""9"";""0"";""1021"";""0"";""0"";"""""
"Venezia;4/1/2011;""0"";""-2"";""3"";""0"";""68"";""13"";""4"";""8"";""0"";""0"";""0"";""0"";"""""
"Venezia;5/1/2011;""-1"";""-3"";""1"";""0"";""73"";""9"";""3"";""10"";""0"";""1021"";""0"";""0"";"""""
"Venezia;6/1/2011;""0"";""0"";""2"";""0"";""87"";""3"";""2"";""4"";""0"";""1022"";""0"";""0"";""pioggia neve """
"Venezia;7/1/2011;""2"";""0"";""3"";""2"";""100"";""1"";""2"";""2"";""0"";""1025"";""0"";""0"";""pioggia nebbia """
"Venezia;8/1/2011;""4"";""5"";""6"";""4"";""99"";""2"";""1"";""2"";""0"";""1023"";""0"";""0"";""nebbia """
"Venezia;9/1/2011;""5"";""5"";""6"";""5"";""100"";""1"";""1"";""2"";""0"";""1023"";""0"";""0"";""nebbia """
"Venezia;10/1/2011;""8"";""6"";""10"";""8"";""99"";""3"";""4"";""7"";""0"";""1020"";""0"";""0"";""pioggia nebbia """
"Venezia;11/1/2011;""8"";""7"";""9"";""8"";""99"";""2"";""3"";""6"";""0"";""1014"";""0"";""0"";""pioggia nebbia """
"Venezia;12/1/2011;""8"";""5"";""10"";""7"";""96"";""5"";""2"";""5"";""0"";""1018"";""0"";""0"";""nebbia """
"Venezia;13/1/2011;""5"";""4"";""5"";""4"";""97"";""1"";""2"";""5"";""0"";""1019"";""0"";""0"";""nebbia """
"Venezia;14/1/2011;""6"";""5"";""7"";""5"";""93"";""7"";""1"";""2"";""0"";""1020"";""0"";""0"";"""""
"Venezia;15/1/2011;""6"";""5"";""10"";""6"";""93"";""4"";""3"";""9"";""0"";""1024"";""0"";""0"";"""""
"Venezia;16/1/2011;""4"";""2"";""6"";""4"";""99"";""1"";""5"";""98"";""0"";""1030"";""0"";""0"";""nebbia """
"Venezia;17/1/2011;""3"";""2"";""4"";""3"";""99"";""0"";""1"";""2"";""0"";""1028"";""0"";""0"";""nebbia """
"Venezia;18/1/2011;""2"";""1"";""3"";""2"";""98"";""1"";""1"";""2"";""0"";""1026"";""0"";""0"";""nebbia """
"Venezia;19/1/2011;""4"";""1"";""6"";""4"";""95"";""3"";""5"";""22"";""0"";""1022"";""0"";""0"";""pioggia nebbia """
"Venezia;20/1/2011;""6"";""4"";""8"";""2"";""72"";""12"";""8"";""21"";""0"";""1020"";""0"";""0"";""pioggia """
"Venezia;21/1/2011;""4"";""2"";""7"";""0"";""62"";""13"";""12"";""24"";""31"";""1021"";""0"";""0"";"""""
"Venezia;22/1/2011;""3"";""0"";""6"";""0"";""60"";""19"";""12"";""25"";""0"";""1020"";""0"";""0"";"""""
"Venezia;23/1/2011;""2"";""0"";""6"";""0"";""61"";""26"";""5"";""14"";""0"";""1019"";""0"";""0"";"""""
"Venezia;24/1/2011;""1"";""-2"";""5"";""2"";""85"";""6"";""3"";""6"";""0"";""1019"";""0"";""0"";"""""
"Venezia;25/1/2011;""2"";""0"";""5"";""0"";""73"";""12"";""4"";""6"";""0"";""1017"";""0"";""0"";"""""
"Venezia;26/1/2011;""2"";""-1"";""6"";""1"";""81"";""7"";""2"";""5"";""0"";""1011"";""0"";""0"";"""""
"Venezia;27/1/2011;""4"";""1"";""8"";""2"";""79"";""8"";""5"";""10"";""0"";""1013"";""0"";""0"";"""""
"Venezia;28/1/2011;""4"";""2"";""7"";""1"";""62"";""12"";""15"";""66"";""0"";""1017"";""0"";""0"";"""""
"Venezia;29/1/2011;""3"";""1"";""6"";""0"";""58"";""11"";""10"";""20"";""0"";""1020"";""0"";""0"";"""""
"Venezia;30/1/2011;""4"";""0"";""6"";""0"";""65"";""10"";""6"";""13"";""0"";""1017"";""0"";""0"";""pioggia """
"Venezia;31/1/2011;""4"";""0"";""9"";""0"";""68"";""10"";""5"";""10"";""0"";""1019"";""0"";""0"";"""""
