LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/7/2012;""27"";""21"";""32"";""23"";""79"";""2"";""7"";""13"";""0"";""1013"";""0"";""0"";""nebbia """
"Venezia;2/7/2012;""28"";""23"";""31"";""21"";""68"";""10"";""10"";""19"";""0"";""1012"";""0"";""0"";"""""
"Venezia;3/7/2012;""27"";""24"";""31"";""21"";""68"";""9"";""10"";""17"";""0"";""1012"";""0"";""0"";"""""
"Venezia;4/7/2012;""27"";""22"";""30"";""19"";""63"";""8"";""9"";""17"";""0"";""1011"";""0"";""0"";"""""
"Venezia;5/7/2012;""27"";""22"";""31"";""20"";""65"";""10"";""7"";""19"";""0"";""1010"";""0"";""0"";"""""
"Venezia;6/7/2012;""26"";""21"";""30"";""18"";""63"";""10"";""10"";""30"";""0"";""1010"";""0"";""0"";"""""
"Venezia;7/7/2012;""26"";""20"";""31"";""17"";""62"";""10"";""9"";""19"";""0"";""1011"";""0"";""0"";"""""
"Venezia;8/7/2012;""26"";""22"";""30"";""20"";""67"";""7"";""11"";""17"";""0"";""1011"";""0"";""0"";"""""
"Venezia;9/7/2012;""26"";""21"";""31"";""19"";""67"";""10"";""10"";""24"";""0"";""1010"";""0"";""0"";"""""
"Venezia;10/7/2012;""27"";""22"";""31"";""17"";""57"";""10"";""13"";""22"";""0"";""1011"";""0"";""0"";"""""
"Venezia;11/7/2012;""27"";""21"";""31"";""19"";""63"";""10"";""15"";""28"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Venezia;12/7/2012;""25"";""18"";""29"";""17"";""63"";""10"";""11"";""17"";""0"";""0"";""0"";""0"";"""""
"Venezia;13/7/2012;""24"";""22"";""27"";""16"";""60"";""10"";""18"";""35"";""28"";""1009"";""0"";""0"";"""""
"Venezia;14/7/2012;""24"";""20"";""29"";""18"";""69"";""10"";""14"";""32"";""0"";""1007"";""0"";""0"";"""""
"Venezia;15/7/2012;""23"";""20"";""26"";""16"";""64"";""10"";""18"";""37"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Venezia;16/7/2012;""23"";""18"";""27"";""11"";""46"";""10"";""13"";""26"";""0"";""1019"";""0"";""0"";"""""
"Venezia;17/7/2012;""22"";""18"";""26"";""14"";""59"";""10"";""11"";""19"";""0"";""1021"";""0"";""0"";"""""
"Venezia;18/7/2012;""24"";""19"";""28"";""16"";""63"";""0"";""10"";""17"";""0"";""1018"";""0"";""0"";"""""
"Venezia;19/7/2012;""25"";""20"";""29"";""19"";""72"";""9"";""9"";""37"";""0"";""1012"";""0"";""0"";"""""
"Venezia;20/7/2012;""26"";""21"";""29"";""19"";""69"";""10"";""11"";""20"";""0"";""1010"";""0"";""0"";"""""
"Venezia;21/7/2012;""23"";""21"";""25"";""15"";""63"";""10"";""20"";""37"";""0"";""1011"";""0"";""0"";"""""
"Venezia;22/7/2012;""22"";""18"";""26"";""11"";""49"";""10"";""18"";""33"";""0"";""1016"";""0"";""0"";"""""
"Venezia;23/7/2012;""24"";""19"";""28"";""10"";""42"";""10"";""28"";""44"";""0"";""1018"";""0"";""0"";"""""
"Venezia;24/7/2012;""25"";""22"";""28"";""14"";""51"";""10"";""15"";""24"";""0"";""1015"";""0"";""0"";"""""
"Venezia;25/7/2012;""23"";""18"";""26"";""17"";""69"";""10"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Venezia;26/7/2012;""24"";""19"";""28"";""19"";""75"";""9"";""8"";""15"";""0"";""1014"";""0"";""0"";"""""
"Venezia;27/7/2012;""26"";""21"";""30"";""20"";""72"";""6"";""8"";""17"";""0"";""1014"";""0"";""0"";"""""
"Venezia;28/7/2012;""27"";""22"";""31"";""21"";""72"";""8"";""8"";""19"";""0"";""1010"";""0"";""0"";""temporale """
"Venezia;29/7/2012;""26"";""21"";""31"";""20"";""70"";""10"";""10"";""22"";""0"";""1008"";""0"";""0"";"""""
"Venezia;30/7/2012;""26"";""22"";""29"";""17"";""58"";""10"";""15"";""30"";""0"";""1013"";""0"";""0"";"""""
"Venezia;31/7/2012;""26"";""20"";""30"";""16"";""53"";""0"";""15"";""30"";""0"";""1015"";""0"";""0"";"""""
