LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/4/2013;""8"";""5"";""10"";""3"";""69"";""10"";""12"";""20"";""0"";""1005"";""0"";""0"";"""""
"Venezia;2/4/2013;""8"";""6"";""11"";""2"";""65"";""10"";""19"";""26"";""0"";""1002"";""0"";""0"";""pioggia """
"Venezia;3/4/2013;""9"";""6"";""13"";""4"";""72"";""10"";""7"";""13"";""0"";""1004"";""0"";""0"";""pioggia """
"Venezia;4/4/2013;""10"";""7"";""12"";""4"";""70"";""10"";""8"";""15"";""0"";""1008"";""0"";""0"";""pioggia """
"Venezia;5/4/2013;""9"";""8"";""10"";""7"";""87"";""8"";""21"";""32"";""0"";""1001"";""0"";""0"";""pioggia """
"Venezia;6/4/2013;""11"";""8"";""14"";""7"";""79"";""8"";""8"";""24"";""0"";""1009"";""0"";""0"";""pioggia """
"Venezia;7/4/2013;""10"";""6"";""13"";""3"";""60"";""10"";""19"";""30"";""0"";""1011"";""0"";""0"";"""""
"Venezia;8/4/2013;""9"";""7"";""10"";""1"";""55"";""10"";""9"";""20"";""0"";""1010"";""0"";""0"";""pioggia """
"Venezia;9/4/2013;""9"";""7"";""14"";""5"";""78"";""9"";""8"";""19"";""0"";""1008"";""0"";""0"";""pioggia """
"Venezia;10/4/2013;""10"";""7"";""14"";""8"";""84"";""7"";""5"";""11"";""0"";""1010"";""0"";""0"";""pioggia nebbia """
"Venezia;11/4/2013;""12"";""8"";""15"";""9"";""82"";""7"";""6"";""11"";""0"";""1014"";""0"";""0"";""nebbia """
"Venezia;12/4/2013;""14"";""11"";""18"";""11"";""86"";""7"";""9"";""17"";""0"";""1009"";""0"";""0"";""pioggia """
"Venezia;13/4/2013;""14"";""9"";""18"";""9"";""76"";""4"";""8"";""19"";""0"";""1017"";""0"";""0"";""temporale nebbia """
"Venezia;14/4/2013;""15"";""10"";""19"";""10"";""72"";""5"";""6"";""9"";""0"";""1026"";""0"";""0"";"""""
"Venezia;15/4/2013;""16"";""10"";""20"";""10"";""71"";""6"";""5"";""11"";""0"";""1022"";""0"";""0"";"""""
"Venezia;16/4/2013;""16"";""12"";""19"";""11"";""73"";""7"";""6"";""15"";""0"";""1021"";""0"";""0"";"""""
"Venezia;17/4/2013;""17"";""12"";""23"";""12"";""72"";""9"";""6"";""11"";""0"";""1022"";""0"";""0"";"""""
"Venezia;18/4/2013;""18"";""12"";""23"";""12"";""70"";""4"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Venezia;19/4/2013;""19"";""14"";""23"";""13"";""73"";""7"";""7"";""15"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Venezia;20/4/2013;""17"";""15"";""19"";""11"";""68"";""10"";""14"";""28"";""50"";""1014"";""0"";""0"";""pioggia temporale """
"Venezia;21/4/2013;""17"";""14"";""21"";""11"";""69"";""10"";""8"";""17"";""0"";""1014"";""0"";""0"";""pioggia """
"Venezia;22/4/2013;""13"";""11"";""15"";""11"";""90"";""9"";""11"";""20"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Venezia;23/4/2013;""14"";""10"";""18"";""11"";""80"";""8"";""5"";""11"";""0"";""1021"";""0"";""0"";"""""
"Venezia;24/4/2013;""15"";""9"";""19"";""10"";""74"";""9"";""6"";""13"";""0"";""1028"";""0"";""0"";"""""
"Venezia;25/4/2013;""17"";""10"";""22"";""12"";""73"";""6"";""6"";""13"";""0"";""1025"";""0"";""0"";"""""
"Venezia;26/4/2013;""17"";""14"";""21"";""12"";""72"";""7"";""5"";""19"";""0"";""1017"";""0"";""0"";""pioggia """
"Venezia;27/4/2013;""17"";""14"";""19"";""14"";""82"";""9"";""9"";""19"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Venezia;28/4/2013;""18"";""15"";""22"";""15"";""84"";""9"";""8"";""19"";""0"";""1011"";""0"";""0"";""pioggia """
"Venezia;29/4/2013;""18"";""15"";""22"";""14"";""80"";""9"";""10"";""22"";""0"";""1018"";""0"";""0"";""pioggia """
"Venezia;30/4/2013;""18"";""14"";""21"";""14"";""80"";""10"";""7"";""22"";""0"";""1018"";""0"";""0"";""pioggia """
