LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/11/2013;""13"";""9"";""17"";""8"";""72"";""10"";""4"";""7"";""0"";""1022"";""0"";""0"";"""""
"Venezia;2/11/2013;""13"";""11"";""15"";""11"";""85"";""6"";""5"";""11"";""0"";""1016"";""0"";""0"";"""""
"Venezia;3/11/2013;""14"";""12"";""16"";""12"";""92"";""4"";""6"";""19"";""0"";""1009"";""0"";""0"";""pioggia """
"Venezia;4/11/2013;""13"";""11"";""16"";""11"";""87"";""7"";""6"";""13"";""0"";""1004"";""0"";""0"";""pioggia nebbia """
"Venezia;5/11/2013;""13"";""11"";""17"";""10"";""84"";""9"";""7"";""11"";""0"";""997"";""0"";""0"";""pioggia """
"Venezia;6/11/2013;""12"";""8"";""16"";""8"";""79"";""8"";""4"";""7"";""0"";""1005"";""0"";""0"";"""""
"Venezia;7/11/2013;""12"";""8"";""17"";""9"";""84"";""8"";""4"";""7"";""0"";""1015"";""0"";""0"";"""""
"Venezia;8/11/2013;""14"";""12"";""16"";""11"";""83"";""7"";""4"";""9"";""0"";""1017"";""0"";""0"";""pioggia """
"Venezia;9/11/2013;""15"";""13"";""19"";""14"";""91"";""4"";""7"";""15"";""0"";""1011"";""0"";""0"";"""""
"Venezia;10/11/2013;""13"";""11"";""14"";""10"";""86"";""7"";""9"";""19"";""0"";""1005"";""0"";""0"";""pioggia nebbia """
"Venezia;11/11/2013;""14"";""11"";""17"";""4"";""42"";""10"";""17"";""28"";""33"";""1011"";""0"";""0"";"""""
"Venezia;12/11/2013;""13"";""10"";""17"";""5"";""58"";""10"";""16"";""30"";""0"";""1020"";""0"";""0"";"""""
"Venezia;13/11/2013;""13"";""9"";""16"";""8"";""71"";""10"";""10"";""17"";""0"";""1020"";""0"";""0"";"""""
"Venezia;14/11/2013;""12"";""9"";""13"";""6"";""70"";""9"";""12"";""24"";""0"";""1017"";""0"";""0"";""pioggia """
"Venezia;15/11/2013;""10"";""8"";""11"";""7"";""85"";""8"";""29"";""37"";""52"";""1018"";""0"";""0"";""pioggia """
"Venezia;16/11/2013;""11"";""8"";""14"";""6"";""71"";""10"";""12"";""20"";""0"";""1024"";""0"";""0"";"""""
"Venezia;17/11/2013;""10"";""7"";""14"";""5"";""71"";""10"";""8"";""15"";""0"";""1023"";""0"";""0"";"""""
"Venezia;18/11/2013;""12"";""9"";""14"";""7"";""72"";""10"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Venezia;19/11/2013;""12"";""10"";""13"";""11"";""92"";""9"";""19"";""32"";""0"";""1004"";""0"";""0"";""pioggia temporale """
"Venezia;20/11/2013;""11"";""9"";""15"";""8"";""83"";""10"";""7"";""17"";""0"";""1001"";""0"";""0"";""pioggia temporale """
"Venezia;21/11/2013;""9"";""8"";""12"";""6"";""77"";""9"";""10"";""32"";""44"";""999"";""0"";""0"";""pioggia temporale """
"Venezia;22/11/2013;""9"";""6"";""12"";""4"";""76"";""10"";""11"";""20"";""0"";""1000"";""0"";""0"";"""""
"Venezia;23/11/2013;""10"";""8"";""11"";""7"";""82"";""10"";""24"";""39"";""48"";""1000"";""0"";""0"";""pioggia """
"Venezia;24/11/2013;""10"";""8"";""13"";""5"";""73"";""10"";""10"";""17"";""0"";""1006"";""0"";""0"";"""""
"Venezia;25/11/2013;""7"";""2"";""11"";""4"";""52"";""10"";""15"";""37"";""0"";""1014"";""0"";""0"";""pioggia """
"Venezia;26/11/2013;""4"";""0"";""9"";""0"";""43"";""0"";""9"";""20"";""0"";""1021"";""0"";""0"";"""""
"Venezia;27/11/2013;""5"";""0"";""8"";""0"";""43"";""10"";""6"";""13"";""0"";""1026"";""0"";""0"";"""""
"Venezia;28/11/2013;""4"";""1"";""8"";""0"";""51"";""0"";""9"";""17"";""0"";""1029"";""0"";""0"";"""""
"Venezia;29/11/2013;""3"";""-1"";""7"";""1"";""72"";""8"";""3"";""6"";""0"";""1024"";""0"";""0"";"""""
"Venezia;30/11/2013;""5"";""2"";""8"";""2"";""74"";""9"";""8"";""19"";""0"";""1017"";""0"";""0"";"""""
