LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/2/2014;""10"";""9"";""11"";""9"";""98"";""5"";""14"";""22"";""0"";""1010"";""0"";""0"";""pioggia nebbia """
"Venezia;2/2/2014;""8"";""7"";""9"";""6"";""90"";""9"";""22"";""35"";""0"";""1009"";""0"";""0"";""pioggia """
"Venezia;3/2/2014;""6"";""5"";""8"";""4"";""86"";""9"";""25"";""39"";""0"";""1014"";""0"";""0"";""pioggia """
"Venezia;4/2/2014;""6"";""4"";""8"";""4"";""90"";""7"";""19"";""26"";""0"";""1015"";""0"";""0"";""pioggia """
"Venezia;5/2/2014;""8"";""7"";""8"";""7"";""94"";""6"";""6"";""15"";""0"";""1012"";""0"";""0"";""pioggia nebbia """
"Venezia;6/2/2014;""9"";""7"";""14"";""7"";""84"";""10"";""7"";""17"";""26"";""1012"";""0"";""0"";""pioggia """
"Venezia;7/2/2014;""8"";""5"";""10"";""6"";""90"";""6"";""9"";""22"";""0"";""1013"";""0"";""0"";""pioggia nebbia """
"Venezia;8/2/2014;""9"";""7"";""11"";""7"";""88"";""8"";""6"";""11"";""0"";""1008"";""0"";""0"";""pioggia """
"Venezia;9/2/2014;""9"";""7"";""11"";""7"";""84"";""9"";""14"";""26"";""0"";""1002"";""0"";""0"";""pioggia """
"Venezia;10/2/2014;""7"";""5"";""8"";""5"";""86"";""8"";""16"";""35"";""0"";""1005"";""0"";""0"";""pioggia """
"Venezia;11/2/2014;""8"";""7"";""9"";""7"";""93"";""7"";""4"";""13"";""0"";""1005"";""0"";""0"";""pioggia """
"Venezia;12/2/2014;""8"";""6"";""12"";""6"";""84"";""8"";""4"";""7"";""0"";""1007"";""0"";""0"";""nebbia """
"Venezia;13/2/2014;""7"";""2"";""12"";""6"";""92"";""3"";""7"";""19"";""0"";""1009"";""0"";""0"";""pioggia nebbia """
"Venezia;14/2/2014;""8"";""5"";""13"";""6"";""84"";""12"";""3"";""7"";""0"";""1010"";""0"";""0"";""nebbia """
"Venezia;15/2/2014;""8"";""5"";""12"";""5"";""78"";""12"";""5"";""9"";""0"";""1016"";""0"";""0"";"""""
"Venezia;16/2/2014;""11"";""8"";""14"";""8"";""82"";""8"";""4"";""9"";""0"";""1014"";""0"";""0"";"""""
"Venezia;17/2/2014;""11"";""9"";""14"";""9"";""87"";""6"";""8"";""15"";""0"";""1013"";""0"";""0"";""nebbia """
"Venezia;18/2/2014;""10"";""6"";""14"";""6"";""78"";""12"";""7"";""13"";""0"";""1020"";""0"";""0"";"""""
"Venezia;19/2/2014;""12"";""10"";""13"";""10"";""93"";""6"";""9"";""15"";""0"";""1013"";""0"";""0"";""pioggia """
"Venezia;20/2/2014;""10"";""9"";""10"";""7"";""80"";""11"";""14"";""32"";""0"";""1014"";""0"";""0"";""pioggia """
"Venezia;21/2/2014;""10"";""8"";""14"";""7"";""78"";""11"";""5"";""11"";""0"";""1012"";""0"";""0"";"""""
"Venezia;22/2/2014;""9"";""7"";""11"";""6"";""84"";""10"";""14"";""32"";""0"";""1013"";""0"";""0"";""pioggia """
"Venezia;23/2/2014;""9"";""4"";""14"";""3"";""71"";""26"";""4"";""7"";""0"";""1021"";""0"";""0"";"""""
"Venezia;24/2/2014;""9"";""4"";""14"";""3"";""68"";""40"";""6"";""9"";""0"";""1021"";""0"";""0"";"""""
"Venezia;25/2/2014;""9"";""3"";""14"";""4"";""75"";""8"";""6"";""11"";""0"";""1019"";""0"";""0"";"""""
"Venezia;26/2/2014;""10"";""6"";""13"";""6"";""80"";""7"";""6"";""11"";""0"";""1020"";""0"";""0"";""pioggia nebbia """
"Venezia;27/2/2014;""10"";""8"";""13"";""7"";""79"";""8"";""7"";""17"";""0"";""1019"";""0"";""0"";"""""
"Venezia;28/2/2014;""9"";""6"";""12"";""6"";""78"";""9"";""7"";""22"";""0"";""1011"";""0"";""0"";""pioggia """
