LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/3/2015;""8"";""3"";""12"";""4"";""76"";""6"";""10"";""19"";""0"";""1016"";""0"";""0"";"""""
"Venezia;2/3/2015;""9"";""7"";""11"";""7"";""91"";""3"";""10"";""19"";""0"";""1011"";""0"";""0"";""nebbia """
"Venezia;3/3/2015;""8"";""2"";""14"";""4"";""79"";""2"";""9"";""19"";""0"";""1020"";""0"";""0"";""nebbia """
"Venezia;4/3/2015;""9"";""5"";""13"";""3"";""67"";""11"";""16"";""44"";""56"";""1020"";""0"";""0"";""pioggia """
"Venezia;5/3/2015;""10"";""7"";""15"";""2"";""41"";""13"";""30"";""44"";""0"";""1020"";""0"";""0"";"""""
"Venezia;6/3/2015;""8"";""3"";""12"";""1"";""42"";""40"";""15"";""26"";""0"";""1029"";""0"";""0"";"""""
"Venezia;7/3/2015;""8"";""2"";""13"";""2"";""54"";""30"";""11"";""20"";""0"";""1031"";""0"";""0"";"""""
"Venezia;8/3/2015;""10"";""5"";""13"";""1"";""44"";""21"";""20"";""32"";""0"";""1027"";""0"";""0"";"""""
"Venezia;9/3/2015;""7"";""3"";""11"";""1"";""55"";""22"";""13"";""30"";""0"";""1026"";""0"";""0"";"""""
"Venezia;10/3/2015;""8"";""2"";""14"";""3"";""61"";""27"";""11"";""19"";""0"";""1024"";""0"";""0"";"""""
"Venezia;11/3/2015;""9"";""5"";""15"";""3"";""66"";""8"";""11"";""19"";""0"";""1020"";""0"";""0"";"""""
"Venezia;12/3/2015;""10"";""4"";""15"";""2"";""49"";""28"";""12"";""19"";""0"";""1021"";""0"";""0"";"""""
"Venezia;13/3/2015;""8"";""4"";""12"";""3"";""61"";""23"";""12"";""22"";""0"";""1019"";""0"";""0"";"""""
"Venezia;14/3/2015;""7"";""2"";""12"";""3"";""73"";""13"";""11"";""17"";""0"";""1021"";""0"";""0"";"""""
"Venezia;15/3/2015;""9"";""4"";""13"";""2"";""61"";""10"";""16"";""24"";""0"";""1026"";""0"";""0"";"""""
"Venezia;16/3/2015;""9"";""8"";""10"";""5"";""77"";""7"";""29"";""39"";""0"";""1028"";""0"";""0"";""pioggia """
"Venezia;17/3/2015;""11"";""9"";""15"";""5"";""67"";""10"";""20"";""30"";""0"";""1026"";""0"";""0"";"""""
"Venezia;18/3/2015;""10"";""5"";""15"";""4"";""65"";""17"";""11"";""19"";""0"";""1024"";""0"";""0"";"""""
"Venezia;19/3/2015;""10"";""5"";""17"";""4"";""67"";""11"";""9"";""13"";""0"";""1023"";""0"";""0"";"""""
"Venezia;20/3/2015;""10"";""6"";""13"";""6"";""78"";""10"";""10"";""19"";""0"";""1023"";""0"";""0"";"""""
"Venezia;21/3/2015;""9"";""4"";""13"";""6"";""80"";""9"";""12"";""19"";""0"";""1019"";""0"";""0"";""nebbia """
"Venezia;22/3/2015;""10"";""8"";""13"";""7"";""82"";""8"";""20"";""32"";""0"";""1016"";""0"";""0"";""pioggia """
"Venezia;23/3/2015;""11"";""7"";""16"";""4"";""64"";""9"";""14"";""20"";""0"";""1016"";""0"";""0"";"""""
"Venezia;24/3/2015;""11"";""6"";""15"";""6"";""72"";""10"";""11"";""20"";""0"";""1013"";""0"";""0"";"""""
"Venezia;25/3/2015;""11"";""10"";""13"";""8"";""84"";""8"";""30"";""52"";""0"";""1004"";""0"";""0"";""pioggia """
"Venezia;26/3/2015;""12"";""10"";""13"";""11"";""94"";""7"";""14"";""32"";""0"";""1005"";""0"";""0"";""pioggia """
"Venezia;27/3/2015;""11"";""10"";""14"";""8"";""81"";""11"";""16"";""37"";""0"";""1008"";""0"";""0"";""pioggia """
"Venezia;28/3/2015;""11"";""5"";""16"";""4"";""61"";""42"";""11"";""17"";""0"";""1015"";""0"";""0"";"""""
"Venezia;29/3/2015;""11"";""7"";""14"";""6"";""72"";""10"";""12"";""19"";""0"";""1012"";""0"";""0"";"""""
"Venezia;30/3/2015;""12"";""6"";""16"";""6"";""68"";""17"";""13"";""20"";""0"";""1004"";""0"";""0"";"""""
"Venezia;31/3/2015;""13"";""10"";""17"";""10"";""82"";""9"";""15"";""26"";""0"";""1007"";""0"";""0"";"""""
