LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/8/2017;""28"";""23"";""33"";""22"";""71"";""18"";""10"";""15"";""0"";""1017"";""0"";""0"";"""""
"Venezia;2/8/2017;""29"";""24"";""33"";""22"";""67"";""19"";""11"";""21"";""0"";""1016"";""0"";""0"";"""""
"Venezia;3/8/2017;""30"";""25"";""34"";""20"";""57"";""21"";""12"";""18"";""0"";""1015"";""0"";""0"";"""""
"Venezia;4/8/2017;""30"";""24"";""35"";""22"";""66"";""20"";""11"";""17"";""0"";""1011"";""0"";""0"";"""""
"Venezia;5/8/2017;""30"";""26"";""35"";""21"";""60"";""18"";""13"";""22"";""0"";""1010"";""0"";""0"";"""""
"Venezia;6/8/2017;""29"";""23"";""35"";""20"";""61"";""21"";""17"";""30"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Venezia;7/8/2017;""26"";""20"";""30"";""15"";""54"";""21"";""19"";""35"";""0"";""1016"";""0"";""0"";"""""
"Venezia;8/8/2017;""26"";""21"";""30"";""16"";""55"";""19"";""16"";""22"";""0"";""1014"";""0"";""0"";"""""
"Venezia;9/8/2017;""27"";""23"";""32"";""21"";""66"";""18"";""15"";""21"";""0"";""1012"";""0"";""0"";"""""
"Venezia;10/8/2017;""26"";""22"";""31"";""20"";""71"";""18"";""14"";""26"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Venezia;11/8/2017;""25"";""20"";""28"";""14"";""55"";""20"";""16"";""31"";""0"";""1010"";""0"";""0"";"""""
"Venezia;12/8/2017;""22"";""17"";""26"";""13"";""60"";""20"";""11"";""18"";""0"";""1013"";""0"";""0"";"""""
"Venezia;13/8/2017;""23"";""17"";""28"";""16"";""66"";""21"";""12"";""17"";""0"";""1017"";""0"";""0"";"""""
"Venezia;14/8/2017;""25"";""21"";""28"";""17"";""63"";""20"";""11"";""17"";""0"";""1019"";""0"";""0"";"""""
"Venezia;15/8/2017;""25"";""19"";""29"";""18"";""66"";""20"";""11"";""21"";""0"";""1019"";""0"";""0"";"""""
"Venezia;16/8/2017;""26"";""20"";""30"";""19"";""68"";""21"";""8"";""15"";""0"";""1017"";""0"";""0"";"""""
"Venezia;17/8/2017;""27"";""21"";""31"";""18"";""58"";""21"";""12"";""18"";""0"";""1017"";""0"";""0"";"""""
"Venezia;18/8/2017;""27"";""21"";""32"";""19"";""61"";""21"";""11"";""15"";""0"";""1016"";""0"";""0"";"""""
"Venezia;19/8/2017;""26"";""17"";""29"";""19"";""69"";""18"";""17"";""57"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Venezia;20/8/2017;""23"";""17"";""27"";""13"";""55"";""21"";""18"";""46"";""0"";""1017"";""0"";""0"";""pioggia """
"Venezia;21/8/2017;""23"";""19"";""26"";""10"";""45"";""21"";""13"";""24"";""0"";""1019"";""0"";""0"";"""""
"Venezia;22/8/2017;""22"";""17"";""25"";""11"";""53"";""21"";""14"";""18"";""0"";""1019"";""0"";""0"";"""""
"Venezia;23/8/2017;""22"";""17"";""26"";""14"";""62"";""20"";""11"";""17"";""0"";""1017"";""0"";""0"";"""""
"Venezia;24/8/2017;""23"";""17"";""27"";""18"";""72"";""21"";""11"";""18"";""0"";""1018"";""0"";""0"";"""""
"Venezia;25/8/2017;""25"";""20"";""29"";""18"";""69"";""19"";""11"";""15"";""0"";""1019"";""0"";""0"";"""""
"Venezia;26/8/2017;""26"";""20"";""30"";""20"";""71"";""19"";""10"";""17"";""0"";""1017"";""0"";""0"";"""""
"Venezia;27/8/2017;""27"";""21"";""32"";""21"";""71"";""20"";""10"";""21"";""0"";""1014"";""0"";""0"";"""""
"Venezia;28/8/2017;""25"";""20"";""30"";""19"";""69"";""20"";""13"";""46"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Venezia;29/8/2017;""23"";""18"";""28"";""16"";""64"";""22"";""13"";""24"";""0"";""1016"";""0"";""0"";"""""
"Venezia;30/8/2017;""24"";""19"";""28"";""17"";""65"";""20"";""11"";""17"";""0"";""1015"";""0"";""0"";"""""
"Venezia;31/8/2017;""24"";""20"";""28"";""21"";""79"";""19"";""11"";""15"";""0"";""1014"";""0"";""0"";"""""
