LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/12/2017;""4"";""0"";""7"";""1"";""79"";""20"";""18"";""24"";""0"";""1011"";""0"";""0"";"""""
"Venezia;2/12/2017;""5"";""2"";""8"";""0"";""63"";""19"";""26"";""41"";""0"";""1016"";""0"";""0"";"""""
"Venezia;3/12/2017;""3"";""1"";""6"";""0"";""62"";""19"";""12"";""21"";""0"";""1020"";""0"";""0"";"""""
"Venezia;4/12/2017;""1"";""-3"";""5"";""0"";""74"";""22"";""8"";""15"";""0"";""1026"";""0"";""0"";"""""
"Venezia;5/12/2017;""1"";""-2"";""7"";""0"";""77"";""18"";""7"";""11"";""0"";""1032"";""0"";""0"";"""""
"Venezia;6/12/2017;""2"";""-2"";""7"";""1"";""83"";""14"";""6"";""11"";""0"";""1032"";""0"";""0"";"""""
"Venezia;7/12/2017;""2"";""-1"";""7"";""2"";""91"";""4"";""6"";""11"";""0"";""1029"";""0"";""0"";"""""
"Venezia;8/12/2017;""4"";""2"";""5"";""3"";""94"";""3"";""9"";""13"";""0"";""1015"";""0"";""0"";""pioggia """
"Venezia;9/12/2017;""4"";""0"";""7"";""2"";""81"";""18"";""15"";""35"";""0"";""1011"";""0"";""0"";"""""
"Venezia;10/12/2017;""0"";""-3"";""1"";""0"";""84"";""13"";""12"";""24"";""0"";""1011"";""0"";""0"";""pioggia neve """
"Venezia;11/12/2017;""6"";""1"";""14"";""5"";""94"";""8"";""17"";""42"";""0"";""1000"";""0"";""0"";""pioggia """
"Venezia;12/12/2017;""9"";""6"";""14"";""7"";""89"";""19"";""13"";""41"";""0"";""1007"";""0"";""0"";""pioggia """
"Venezia;13/12/2017;""5"";""3"";""8"";""4"";""91"";""10"";""10"";""26"";""0"";""1015"";""0"";""0"";""nebbia """
"Venezia;14/12/2017;""4"";""2"";""6"";""3"";""94"";""9"";""7"";""15"";""0"";""1008"";""0"";""0"";""pioggia nebbia """
"Venezia;15/12/2017;""6"";""3"";""10"";""5"";""92"";""9"";""9"";""17"";""0"";""998"";""0"";""0"";""nebbia """
"Venezia;16/12/2017;""5"";""2"";""8"";""3"";""83"";""19"";""17"";""39"";""0"";""1006"";""0"";""0"";""pioggia """
"Venezia;17/12/2017;""3"";""-1"";""8"";""1"";""78"";""21"";""8"";""13"";""0"";""1019"";""0"";""0"";"""""
"Venezia;18/12/2017;""2"";""-2"";""5"";""0"";""73"";""21"";""12"";""17"";""0"";""1024"";""0"";""0"";"""""
"Venezia;19/12/2017;""2"";""-1"";""6"";""0"";""63"";""20"";""12"";""18"";""0"";""1031"";""0"";""0"";"""""
"Venezia;20/12/2017;""2"";""-1"";""6"";""0"";""70"";""22"";""8"";""13"";""0"";""1032"";""0"";""0"";"""""
"Venezia;21/12/2017;""1"";""-3"";""6"";""0"";""77"";""20"";""7"";""13"";""0"";""1033"";""0"";""0"";"""""
"Venezia;22/12/2017;""2"";""-1"";""6"";""0"";""80"";""10"";""8"";""11"";""0"";""1030"";""0"";""0"";"""""
"Venezia;23/12/2017;""3"";""-1"";""8"";""2"";""86"";""7"";""7"";""11"";""0"";""1030"";""0"";""0"";"""""
"Venezia;24/12/2017;""3"";""-1"";""8"";""1"";""87"";""9"";""6"";""9"";""0"";""1028"";""0"";""0"";"""""
"Venezia;25/12/2017;""2"";""-2"";""6"";""3"";""95"";""4"";""6"";""13"";""0"";""1026"";""0"";""0"";""nebbia """
"Venezia;26/12/2017;""5"";""2"";""7"";""3"";""87"";""5"";""9"";""15"";""0"";""1017"";""0"";""0"";""pioggia """
"Venezia;27/12/2017;""8"";""5"";""10"";""7"";""93"";""8"";""19"";""41"";""0"";""996"";""0"";""0"";""pioggia """
"Venezia;28/12/2017;""6"";""5"";""8"";""5"";""92"";""13"";""11"";""31"";""0"";""991"";""0"";""0"";""pioggia nebbia """
"Venezia;29/12/2017;""6"";""3"";""9"";""2"";""73"";""20"";""12"";""21"";""0"";""1009"";""0"";""0"";"""""
"Venezia;30/12/2017;""2"";""0"";""5"";""1"";""86"";""20"";""7"";""11"";""0"";""1016"";""0"";""0"";"""""
"Venezia;31/12/2017;""2"";""-1"";""5"";""1"";""83"";""17"";""6"";""11"";""0"";""1020"";""0"";""0"";"""""
