LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/10/2017;""15"";""13"";""18"";""8"";""63"";""19"";""15"";""22"";""0"";""1021"";""0"";""0"";"""""
"Venezia;2/10/2017;""16"";""13"";""20"";""9"";""63"";""19"";""12"";""17"";""0"";""1023"";""0"";""0"";"""""
"Venezia;3/10/2017;""16"";""13"";""18"";""12"";""81"";""10"";""8"";""15"";""0"";""1020"";""0"";""0"";""pioggia """
"Venezia;4/10/2017;""17"";""12"";""20"";""13"";""79"";""9"";""10"";""17"";""0"";""1024"";""0"";""0"";"""""
"Venezia;5/10/2017;""17"";""13"";""19"";""15"";""88"";""3"";""8"";""17"";""0"";""1017"";""0"";""0"";""nebbia """
"Venezia;6/10/2017;""17"";""13"";""20"";""13"";""77"";""11"";""14"";""33"";""0"";""1010"";""0"";""0"";"""""
"Venezia;7/10/2017;""14"";""9"";""19"";""9"";""73"";""20"";""8"";""13"";""0"";""1018"";""0"";""0"";"""""
"Venezia;8/10/2017;""15"";""11"";""20"";""10"";""73"";""19"";""9"";""17"";""0"";""1015"";""0"";""0"";"""""
"Venezia;9/10/2017;""15"";""10"";""19"";""11"";""78"";""21"";""10"";""15"";""0"";""1017"";""0"";""0"";"""""
"Venezia;10/10/2017;""16"";""11"";""20"";""12"";""83"";""16"";""10"";""15"";""0"";""1019"";""0"";""0"";"""""
"Venezia;11/10/2017;""15"";""11"";""19"";""13"";""87"";""13"";""8"";""13"";""0"";""1023"";""0"";""0"";""nebbia """
"Venezia;12/10/2017;""16"";""14"";""20"";""14"";""88"";""6"";""6"";""13"";""0"";""1024"";""0"";""0"";""nebbia """
"Venezia;13/10/2017;""15"";""13"";""18"";""14"";""94"";""1"";""8"";""13"";""0"";""1026"";""0"";""0"";""nebbia """
"Venezia;14/10/2017;""15"";""11"";""20"";""14"";""94"";""1"";""7"";""11"";""0"";""1027"";""0"";""0"";""nebbia """
"Venezia;15/10/2017;""15"";""10"";""20"";""13"";""91"";""2"";""7"";""13"";""0"";""1028"";""0"";""0"";""nebbia """
"Venezia;16/10/2017;""14"";""10"";""21"";""12"";""89"";""3"";""5"";""9"";""0"";""1027"";""0"";""0"";""nebbia """
"Venezia;17/10/2017;""13"";""10"";""19"";""13"";""97"";""1"";""7"";""11"";""0"";""1024"";""0"";""0"";""nebbia """
"Venezia;18/10/2017;""14"";""13"";""17"";""13"";""93"";""2"";""6"";""11"";""0"";""1019"";""0"";""0"";""nebbia """
"Venezia;19/10/2017;""13"";""12"";""15"";""12"";""92"";""2"";""6"";""9"";""0"";""1019"";""0"";""0"";""nebbia """
"Venezia;20/10/2017;""13"";""8"";""16"";""11"";""90"";""2"";""6"";""9"";""0"";""1020"";""0"";""0"";""nebbia """
"Venezia;21/10/2017;""15"";""13"";""17"";""12"";""82"";""4"";""7"";""11"";""0"";""1020"";""0"";""0"";"""""
"Venezia;22/10/2017;""15"";""10"";""17"";""11"";""80"";""7"";""16"";""39"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Venezia;23/10/2017;""13"";""9"";""18"";""9"";""77"";""20"";""11"";""22"";""0"";""1012"";""0"";""0"";""pioggia """
"Venezia;24/10/2017;""13"";""6"";""20"";""8"";""75"";""20"";""7"";""15"";""0"";""1018"";""0"";""0"";"""""
"Venezia;25/10/2017;""13"";""8"";""18"";""8"";""73"";""21"";""8"";""13"";""0"";""1025"";""0"";""0"";"""""
"Venezia;26/10/2017;""13"";""8"";""18"";""10"";""84"";""15"";""6"";""13"";""0"";""1025"";""0"";""0"";""nebbia """
"Venezia;27/10/2017;""12"";""8"";""17"";""10"";""85"";""7"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Venezia;28/10/2017;""11"";""8"";""15"";""9"";""87"";""5"";""7"";""13"";""0"";""1018"";""0"";""0"";"""""
"Venezia;29/10/2017;""10"";""7"";""13"";""7"";""82"";""10"";""11"";""22"";""0"";""1006"";""0"";""0"";"""""
"Venezia;30/10/2017;""14"";""11"";""17"";""5"";""58"";""19"";""13"";""21"";""0"";""1015"";""0"";""0"";"""""
"Venezia;31/10/2017;""12"";""8"";""16"";""5"";""57"";""20"";""15"";""21"";""0"";""1024"";""0"";""0"";"""""
