LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Venezia;1/9/2020;""20"";""15"";""25"";""15"";""75"";""20"";""13"";""21"";""0"";""1011"";""0"";""0"";""pioggia """
"Venezia;2/9/2020;""20"";""15"";""24"";""14"";""70"";""19"";""12"";""26"";""0"";""1015"";""0"";""0"";"""""
"Venezia;3/9/2020;""21"";""16"";""25"";""15"";""70"";""21"";""8"";""15"";""0"";""1020"";""0"";""0"";"""""
"Venezia;4/9/2020;""21"";""16"";""26"";""16"";""71"";""18"";""8"";""11"";""0"";""1025"";""0"";""0"";"""""
"Venezia;5/9/2020;""22"";""17"";""26"";""18"";""78"";""19"";""7"";""13"";""0"";""1018"";""0"";""0"";"""""
"Venezia;6/9/2020;""23"";""18"";""26"";""19"";""82"";""14"";""8"";""11"";""0"";""1013"";""0"";""0"";"""""
"Venezia;7/9/2020;""22"";""20"";""26"";""18"";""78"";""21"";""17"";""24"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Venezia;8/9/2020;""21"";""17"";""26"";""14"";""64"";""20"";""12"";""21"";""0"";""1024"";""0"";""0"";"""""
"Venezia;9/9/2020;""22"";""16"";""26"";""16"";""70"";""21"";""9"";""11"";""0"";""1022"";""0"";""0"";"""""
"Venezia;10/9/2020;""23"";""18"";""27"";""19"";""80"";""17"";""9"";""13"";""0"";""1016"";""0"";""0"";"""""
"Venezia;11/9/2020;""24"";""20"";""27"";""17"";""65"";""20"";""13"";""22"";""0"";""1014"";""0"";""0"";"""""
"Venezia;12/9/2020;""24"";""20"";""30"";""16"";""62"";""19"";""12"";""21"";""0"";""1017"";""0"";""0"";"""""
"Venezia;13/9/2020;""25"";""19"";""30"";""16"";""60"";""21"";""11"";""15"";""0"";""1022"";""0"";""0"";"""""
"Venezia;14/9/2020;""25"";""22"";""30"";""17"";""61"";""20"";""14"";""22"";""0"";""1025"";""0"";""0"";"""""
"Venezia;15/9/2020;""25"";""19"";""29"";""16"";""61"";""21"";""11"";""18"";""0"";""1021"";""0"";""0"";"""""
"Venezia;16/9/2020;""24"";""20"";""28"";""17"";""64"";""21"";""9"";""15"";""0"";""1016"";""0"";""0"";"""""
"Venezia;17/9/2020;""25"";""19"";""30"";""16"";""60"";""20"";""9"";""17"";""0"";""1015"";""0"";""0"";"""""
"Venezia;18/9/2020;""23"";""20"";""26"";""15"";""59"";""19"";""15"";""24"";""0"";""1019"";""0"";""0"";"""""
"Venezia;19/9/2020;""20"";""16"";""25"";""11"";""58"";""18"";""13"";""21"";""0"";""1019"";""0"";""0"";"""""
"Venezia;20/9/2020;""19"";""15"";""24"";""12"";""65"";""20"";""9"";""13"";""0"";""1016"";""0"";""0"";"""""
"Venezia;21/9/2020;""21"";""17"";""25"";""16"";""73"";""21"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Venezia;22/9/2020;""20"";""18"";""23"";""18"";""86"";""17"";""10"";""18"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Venezia;23/9/2020;""20"";""17"";""24"";""18"";""87"";""16"";""7"";""15"";""0"";""1009"";""0"";""0"";"""""
"Venezia;24/9/2020;""20"";""17"";""24"";""18"";""87"";""12"";""10"";""21"";""0"";""1010"";""0"";""0"";""pioggia temporale nebbia """
"Venezia;25/9/2020;""20"";""14"";""26"";""15"";""75"";""19"";""17"";""41"";""0"";""996"";""0"";""0"";""pioggia """
"Venezia;26/9/2020;""15"";""11"";""20"";""9"";""70"";""20"";""18"";""35"";""0"";""996"";""0"";""0"";""pioggia """
"Venezia;27/9/2020;""13"";""11"";""16"";""9"";""77"";""20"";""19"";""33"";""0"";""1004"";""0"";""0"";""pioggia temporale """
"Venezia;28/9/2020;""13"";""11"";""16"";""11"";""87"";""20"";""10"";""21"";""0"";""1006"";""0"";""0"";""pioggia """
"Venezia;29/9/2020;""14"";""9"";""19"";""11"";""84"";""20"";""7"";""13"";""0"";""1016"";""0"";""0"";"""""
"Venezia;30/9/2020;""15"";""10"";""20"";""13"";""88"";""18"";""9"";""11"";""0"";""1014"";""0"";""0"";"""""
