"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"6";"5";"8";"92"
"2010-01-02";"4";"1";"7";"87"
"2010-01-03";"1";"-2";"7";"65"
"2010-01-04";"-1";"-3";"1";"72"
"2010-01-05";"2";"0";"5";"74"
"2010-01-06";"4";"2";"7";"82"
"2010-01-07";"5";"2";"9";"79"
"2010-01-08";"6";"4";"7";"87"
"2010-01-09";"7";"5";"10";"89"
"2010-01-10";"6";"3";"10";"83"
"2010-01-11";"4";"2";"5";"89"
"2010-01-12";"5";"2";"7";"83"
"2010-01-13";"5";"3";"7";"68"
"2010-01-14";"4";"1";"7";"66"
"2010-01-15";"5";"1";"9";"60"
"2010-01-16";"3";"0";"7";"56"
"2010-01-17";"2";"0";"4";"63"
"2010-01-18";"1";"-2";"7";"74"
"2010-01-19";"0";"-2";"1";"99"
"2010-01-20";"1";"-1";"4";"95"
"2010-01-21";"2";"-1";"6";"79"
"2010-01-22";"1";"-2";"5";"65"
"2010-01-23";"1";"-2";"5";"60"
"2010-01-24";"0";"-3";"3";"76"
"2010-01-25";"1";"-1";"4";"69"
"2010-01-26";"0";"-2";"3";"64"
"2010-01-27";"0";"-3";"5";"61"
"2010-01-28";"0";"-3";"4";"72"
"2010-01-29";"-1";"-4";"3";"83"
"2010-01-30";"1";"0";"3";"98"
"2010-01-31";"1";"-1";"4";"88"
"2010-02-01";"-1";"-6";"4";"80"
"2010-02-02";"0";"-5";"6";"81"
"2010-02-03";"1";"-3";"6";"80"
"2010-02-04";"3";"-1";"6";"73"
"2010-02-05";"5";"2";"8";"93"
"2010-02-06";"7";"5";"10";"86"
"2010-02-07";"6";"3";"10";"77"
"2010-02-08";"2";"-1";"7";"73"
"2010-02-09";"2";"-2";"5";"78"
"2010-02-10";"4";"2";"6";"85"
"2010-02-11";"3";"2";"5";"80"
"2010-02-12";"4";"1";"9";"73"
"2010-02-13";"4";"0";"8";"84"
"2010-02-14";"4";"-1";"9";"81"
"2010-02-15";"3";"-1";"7";"74"
"2010-02-16";"5";"1";"8";"72"
"2010-02-17";"7";"5";"11";"74"
"2010-02-18";"8";"6";"11";"97"
"2010-02-19";"9";"7";"12";"97"
"2010-02-20";"7";"4";"10";"89"
"2010-02-21";"5";"1";"9";"88"
"2010-02-22";"6";"4";"9";"89"
"2010-02-23";"8";"5";"11";"91"
"2010-02-24";"7";"4";"12";"94"
"2010-02-25";"6";"2";"9";"98"
"2010-02-26";"9";"7";"11";"94"
"2010-02-27";"8";"4";"13";"92"
"2010-02-28";"9";"7";"12";"97"
"2010-03-01";"8";"4";"11";"93"
"2010-03-02";"8";"6";"13";"93"
"2010-03-03";"7";"5";"12";"91"
"2010-03-04";"7";"5";"10";"76"
"2010-03-05";"6";"2";"8";"65"
"2010-03-06";"3";"-2";"7";"82"
"2010-03-07";"3";"0";"7";"62"
"2010-03-08";"2";"-1";"5";"49"
"2010-03-09";"2";"-1";"5";"49"
"2010-03-10";"1";"-1";"4";"80"
"2010-03-11";"2";"-1";"6";"71"
"2010-03-12";"4";"0";"8";"72"
"2010-03-13";"4";"-2";"9";"79"
"2010-03-14";"5";"-1";"10";"83"
"2010-03-15";"4";"-1";"9";"91"
"2010-03-16";"5";"2";"10";"85"
"2010-03-17";"7";"2";"11";"81"
"2010-03-18";"8";"5";"13";"82"
"2010-03-19";"10";"6";"14";"78"
"2010-03-20";"10";"6";"12";"81"
"2010-03-21";"11";"9";"13";"87"
"2010-03-22";"11";"10";"13";"96"
"2010-03-23";"13";"10";"17";"89"
"2010-03-24";"14";"8";"18";"74"
"2010-03-25";"14";"12";"18";"73"
"2010-03-26";"12";"10";"15";"96"
"2010-03-27";"11";"7";"16";"84"
"2010-03-28";"12";"5";"17";"77"
"2010-03-29";"12";"8";"16";"80"
"2010-03-30";"13";"10";"15";"89"
"2010-03-31";"11";"9";"16";"81"
"2010-04-01";"10";"6";"14";"80"
"2010-04-02";"10";"6";"14";"74"
"2010-04-03";"10";"5";"15";"76"
"2010-04-04";"12";"9";"14";"84"
"2010-04-05";"12";"9";"16";"75"
"2010-04-06";"11";"6";"15";"75"
"2010-04-07";"11";"5";"16";"68"
"2010-04-08";"12";"6";"17";"57"
"2010-04-09";"15";"7";"21";"57"
"2010-04-10";"15";"10";"19";"67"
"2010-04-11";"12";"8";"15";"54"
"2010-04-12";"10";"5";"15";"57"
"2010-04-13";"10";"7";"14";"64"
"2010-04-14";"12";"9";"17";"69"
