Piemonte-VA,Liguria,Lombardia,Trentino-Alto Adige,Veneto,Friuli-Venezia Giulia,Emilia-Romagna,Toscana-U,Marche,Lazio,Puglia-B,Campania-M-A,Calabria,Sicilia,Sardegna
4585450,1616788,9742676,1045992,4847657,1230000,4432439,4657345,1553063,5561017,4679145,7497482,2011395,5002904,1675411
4585450,1616788,9742676,1045992,4847657,1230000,4432439,4657345,1553063,5561017,4679145,7497482,2011395,5002904,1675411
4585633,1573249,9838195,1047684,4915123,1235062,4405985,4662040,1549965,5502886,4640083,7486947,2009183,5050486,1661650
4585633,1576332,9849230,1055622,4857210,1230000,4405985,4652402,1546859,5561017,4640083,7479212,1980533,5054317,1661189
4551796,1570694,9877877,1055884,4907529,1227122,4395287,4651428,1543752,5571000,4634038,7505767,1982191,5056641,1658138
4522757,1565307,9922200,1055138,4915123,1228329,4452629,4645838,1541432,5572000,4656265,7504318,1976631,5052255,1658138
4504143,1556981,9973397,1054056,4900768,1221218,4452629,4634551,1531753,5562000,4649073,7492415,1959050,5050486,1658138
4504143,1543127,10008349,1053591,4905854,1221218,4442055,4627154,1525271,5560000,4646911,7474013,1945438,5047087,1648176
4488293,1540482,10036258,1057018,4903722,1216524,4461812,4622116,1525271,5555000,4628452,7449899,1937868,5022904,1644642
4482072,1535812,10060574,1057551,4902025,1215220,4459477,4612908,1515470,5540000,4582307,7405934,1933569,5011904,1639591
4482072,1527462,10103969,1060168,4902025,1211357,4459477,4599285,1510269,5530000,4550129,7384012,1924701,4990000,1632186
